"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Istatefips_2","10.04051",".001222","8216.205","4.4e-152","9.389966",".3940623","23.82863","1.33e-28","0",".",".",".","9.607696",".4996874","19.22741","1.79e-24","0",".",".",".","-2.237378","2.877298","-.7775969",".440545","-2.237378","2.877298","-.7775969",".440545"
"_Istatefips_4","2.347154",".0084407","278.0744","4.94e-80","1.237474",".3565912","3.470288",".0010943","-4.489133",".0517569","-86.73491","2.66e-55",".5234986",".5089845","1.028516",".3087578","-.3601887",".5391225","-.6681017",".5072036","-1.449621",".7680639","-1.887371",".065041","-1.449621",".7680639","-1.887371",".065041"
"_Istatefips_5",".3843404",".0012106","317.4696","7.52e-83","-.6058623",".3430536","-1.766086",".083611","-6.028394",".6378214","-9.45154","1.27e-12","-1.508818",".5053036","-2.985962",".0044034","-6.076218","1.726634","-3.519112",".0009455","-3.475864","1.851858","-1.876961",".0664841","-3.475864","1.851858","-1.876961",".0664841"
"_Istatefips_6","3.443309",".0020343","1692.623","1.8e-118","2.791908",".3958096","7.053663","5.48e-09","-9.722187",".0019701","-4934.831","3.1e-141","1.933972",".5016509","3.855215",".0003371","-2.55499","1.116264","-2.288876",".026436","-3.208178","1.972037","-1.626835",".1101868","-3.208178","1.972037","-1.626835",".1101868"
"_Istatefips_8","9.731559",".005192","1874.355","1.2e-120","8.622863",".3565777","24.18228","6.82e-29","2.525362",".0287985","87.69069","1.56e-55","7.537928",".5064756","14.8831","8.27e-20","2.920941",".7352591","3.97267",".0002328","4.043769",".8701022","4.647465",".0000256","4.043769",".8701022","4.647465",".0000256"
"_Istatefips_9","5.508506",".0006935","7943.591","2.3e-151","4.823516",".3369997","14.31312","3.95e-19","7.291906",".0082706","881.6609","1.4e-104","4.068083",".5099949","7.976714","2.07e-10","4.343505",".8342432","5.206522","3.80e-06","4.816426",".7362594","6.541752","3.40e-08","4.816426",".7362594","6.541752","3.40e-08"
"_Istatefips_10","5.541681",".0031873","1738.658","4.9e-119","4.734161",".4643705","10.19479","1.06e-13","0",".",".",".","5.061286",".5839082","8.667947","1.85e-11","14.48692","1.352326","10.71259","1.95e-14","0",".",".",".","0",".",".","."
"_Istatefips_12","-.048692",".0052268","-9.315905","2.00e-12","-.8548252",".4670871","-1.830119",".0733183","-11.98836",".0177505","-675.3832","6.54e-99","-2.820924",".5813153","-4.852658",".0000128","10.85611",".9594241","11.31523","2.85e-15","-2.26933","2.498657","-.9082197",".3682075","-2.26933","2.498657","-.9082197",".3682075"
"_Istatefips_13","5.541093",".0053211","1041.348","4.0e-108","4.736047",".466739","10.1471","1.24e-13","-5.540317",".0225421","-245.7762","2.09e-77","3.690568",".5800838","6.362129","6.46e-08","13.59318","2.119404","6.413678","5.37e-08","-.1985477","1.937274","-.1024882",".9187875","-.1985477","1.937274","-.1024882",".9187875"
