	(1)	(2)	(3)	(4)	(5)	(6)
	RF	RF	RF	RF	RF	RF
VARIABLES	dum	dum	doc	doc	safe	safe
						
1.post92	-0.056***	-0.055***	-0.063***	-0.063***	-0.044***	-0.044***
	(0.005)	(0.005)	(0.005)	(0.005)	(0.006)	(0.006)
1.post92#c.num_dev	0.000		0.000		-0.000	
	(0.000)		(0.000)		(0.000)	
1.post92#1.bdum	0.055***	0.040***				
	(0.004)	(0.005)				
1.post92#1.bdum#c.num_dev	0.014***					
	(0.003)					
1.post92#1.inp_pos		-0.001		-0.000		0.000
		(0.001)		(0.000)		(0.000)
1.post92#1.inp_pos#1.bdum		0.021***				
		(0.005)				
1.post92#1.bdoc			0.069***	0.060***		
			(0.005)	(0.007)		
1.post92#1.bdoc#c.num_dev			0.007*			
			(0.004)			
1.post92#1.inp_pos#1.bdoc				0.013**		
				(0.005)		
1.post92#1.bsafe					0.160***	0.126***
					(0.019)	(0.033)
1.post92#1.bsafe#c.num_dev					0.057**	
					(0.023)	
1.post92#1.inp_pos#1.bsafe						0.057
						(0.036)
						
Observations	59,130	59,130	59,130	59,130	39,420	39,420
R-squared	0.837	0.837	0.821	0.821	0.924	0.924
DepVar Mean	0.0993	0.0993	0.123	0.123	0.774	0.774
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
