	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
	Base	Pop	DVtr	Pre	Enrol	PreTr	Base	Pop	DVtr	Pre	Enrol	PreTr	Base	Pop	DVtr	Pre	Enrol	PreTr
VARIABLES	dum	dum	dum	dum	dum	dum	doc	doc	doc	doc	doc	doc	safe	safe	safe	safe	safe	safe
																		
post92						-0.005*						0.001						-0.005
						(0.003)						(0.003)						(0.005)
ye_3_1_num_dev						0.005						0.006*						0.005
						(0.003)						(0.003)						(0.004)
ye_3_2_num_dev						0.005						0.005						0.001
						(0.004)						(0.004)						(0.007)
ye_3_3_num_dev						0.005						0.001						0.003
						(0.004)						(0.005)						(0.007)
ye_3_4_num_dev						0.013***						0.007*						0.019**
						(0.003)						(0.004)						(0.008)
1.post92	-0.005*	-0.005*	-0.005*	-0.005*	-0.005*		0.001	0.001	0.000	0.000	0.001		-0.005	-0.005	0.000	-0.005	-0.005	
	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)		(0.003)	(0.003)	(0.003)	(0.003)	(0.003)		(0.005)	(0.005)	(0.004)	(0.005)	(0.005)	
1.post92#c.num_dev	0.012***	0.012***	0.014***	0.012***	0.012***		0.006*	0.006*	0.007*	0.006*	0.006*		0.018**	0.018**	0.013**	0.017**	0.017**	
	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)		(0.003)	(0.003)	(0.004)	(0.003)	(0.003)		(0.007)	(0.007)	(0.006)	(0.007)	(0.007)	
																		
Observations	59,130	59,130	59,130	59,130	59,106	59,130	59,130	59,130	59,130	59,130	59,106	59,130	39,420	39,420	39,420	39,420	39,404	39,420
R-squared	0.837	0.837	0.838	0.837	0.837	0.837	0.820	0.820	0.821	0.822	0.821	0.820	0.923	0.923	0.933	0.923	0.923	0.923
DepVar Mean	0.0993	0.0993	0.0993	0.0993	0.0993	0.0993	0.123	0.123	0.123	0.123	0.122	0.123	0.774	0.774	0.774	0.774	0.774	0.774
Pval						0.221						0.280						0.690
Robust standard errors in parentheses																		
*** p<0.01, ** p<0.05, * p<0.1																		
