"","est1","","","","est2","","","","owncorsup","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"trst13","","","","","","","","","","","","",".0176951",".0052917","3.343969",".0009318",".0172567",".0051459","3.353458",".0008998","","","",""
"trst14","","","","","","","","","","","","",".0045346",".0059115",".7670859",".4436398",".0043345",".0057268",".7568832",".4497099","","","",""
"trst15","","","","","","","","","","","","",".0167355",".0076723","2.181288",".0299462",".0173198",".0078937","2.194126",".0289879","","","",""
"trst16","","","","","","","","","","","","",".0185894",".0051954","3.578065",".0004041",".0179987",".0051168","3.517577",".0005024","","","",""
"trst17","","","","","","","","","","","","","-.0028004",".0113396","-.2469608",".8051092","-.0022686",".0111717","-.2030682",".8392185","","","",""
"trst18","","","","","","","","","","","","",".008957",".0069194","1.294476",".1965064",".0088612",".0066891","1.324727",".1862633","","","",""
"trst19","","","","","","","","","","","","","-.0067634",".0052404","-1.290627",".1978367","-.0069636",".0052295","-1.331608",".1839932","","","",""
"trst20","","","","","","","","","","","","",".0062402",".0051095","1.2213",".2229409",".0058389",".0048892","1.194243",".23332","","","",""
"trst21","","","","","","","","","","","","",".015358",".0073613","2.086322",".0378024",".0158376",".0074504","2.125747",".0343355","","","",""
"trst22","","","","","","","","","","","","",".0018761",".0075636",".2480479",".8042688",".0028581",".0074265",".3848556",".7006153","","","",""
"trst23","","","","","","","","","","","","",".00051",".00672",".0758936",".9395548",".0016453",".0062502",".2632372",".7925473","","","",""
"trst24","","","","","","","","","","","","",".0165884",".0106142","1.562843",".1191545",".0172381",".0101346","1.700926",".0899863","","","",""
"trst25","","","","","","","","","","","","",".0000222",".0057289",".0038715",".9969136","-.0000254",".0055725","-.0045563",".9963676","","","",""
"trst26","","","","","","","","","","","","",".0059362",".0061355",".9675212",".3340708",".0057809",".0060519",".9552193",".3402308","","","",""
"trst27","","","","","","","","","","","","","-.0017323",".0051765","-.3346547",".7381218","-.0015327",".004747","-.3228812",".7470086","","","",""
"trst28","","","","","","","","","","","","","-.0072863",".0059052","-1.233876",".2182247","-.0071162",".0057507","-1.237457",".2168787","","","",""
"trst29","","","","","","","","","","","","",".0043637",".00523",".8343615",".4047479",".0050838",".0054182",".9382698",".3488555","","","",""
"trst30","","","","","","","","","","","","","-.0033422",".0047308","-.7064817",".4804425","-.003124",".0048323","-.6464763",".5184619","","","",""
"trst31","","","","","","","","","","","","",".0034382",".0057812",".5947174",".5524852",".0034971",".0055549",".6295537",".5294626","","","",""
"trst32","","","","","","","","","","","","","-.0025342",".0052664","-.4812045",".6307255","-.0024639",".0050411","-.4887574",".6253682","","","",""
"trst33","","","","","","","","","","","","",".0043177",".0076298",".5658983",".5718902",".0038843",".0075587",".5138874",".6077065","","","",""
"trst34","","","","","","","","","","","","","-.000112",".005114","-.0219101",".9825344","-.0002362",".0047346","-.0498971",".9602374","","","",""
"trst35","","","","","","","","","","","","","-.0049809",".0068252","-.7297846",".466097","-.0050457",".0068321","-.7385228",".4607704","","","",""
"trst36","","","","","","","","","","","","",".0114613",".0078837","1.453796",".1470588",".011748",".0075927","1.54728",".1228429","","","",""
"trst37","","","","","","","","","","","","","-.0089045",".0043708","-2.037267",".0425096","-.0089191",".0042086","-2.119247",".0348854","","","",""
"trst38","","","","","","","","","","","","",".0159626",".0047911","3.331689",".0009724",".0167405",".0048834","3.428048",".0006924","","","",""
"trst39","","","","","","","","","","","","","-.0084537",".0067181","-1.258345",".2092555","-.0089297",".0066414","-1.344556",".1797777","","","",""
"trst40","","","","","","","","","","","","","-.0022437",".0062587","-.3584963",".7202266","-.0027649",".0058877","-.4696006",".6389793","","","",""
"trst41","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","",""
"trst42","","","","","","","","","","","","",".0134318",".0072511","1.852365",".0649655",".0137894",".0067826","2.033047",".0429221","","","",""
"trst43","","","","","","","","","","","","","-.0066271",".0049754","-1.331967",".1838924","-.0058054",".0048939","-1.186261",".2364515","","","",""
"trst44","","","","","","","","","","","","",".0117152",".0072375","1.618687",".106576",".0119021",".0067825","1.754817",".0803047","","","",""
"trst45","","","","","","","","","","","","",".0057411",".0050891","1.128118",".2601808",".0055691",".0050716","1.098094",".2730381","","","",""
"trst46","","","","","","","","","","","","","-.0016443",".0083649","-.1965655",".844302","-.0013338",".0087696","-.1520931",".8792151","","","",""
"trst47","","","","","","","","","","","","",".0028391",".0047409",".5988621",".5497213",".002696",".0049732",".5421145",".5881394","","","",""
"trst48","","","","","","","","","","","","",".0114508",".0060865","1.881336",".0609042",".0109019",".0057797","1.886248",".060221","","","",""
"trst49","","","","","","","","","","","","",".0184563",".0048222","3.82733",".000158",".0186201",".0048117","3.869714",".0001335","","","",""
"trst50","","","","","","","","","","","","",".0015867",".0055222",".2873347",".7740564",".0009409",".0048783",".1928779",".8471842","","","",""
"trst51","","","","","","","","","","","","",".0010442",".0052023",".2007211",".841054",".0006008",".0055618",".1080157",".9140549","","","",""
"_cons",".118488",".0470679","2.517384",".0122652",".272567",".0781183","3.489158",".000547",".2404382",".0399821","6.013644","4.54e-09",".1933239",".0604733","3.196847",".0015392",".1618517",".0461774","3.504997",".0005258",".1710516",".0200111","8.547818","3.78e-16"
"N","408","","","","408","","","","408","","","","408","","","","408","","","","408","","",""
"r2",".8765904","","","",".8876223","","","",".8858147","","","",".9296917","","","",".9280926","","","",".8805737","","",""
"df_m","54","","","","60","","","","55","","","","110","","","","105","","","","52","","",""
"df_r","353","","","","347","","","","352","","","","297","","","","302","","","","355","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
