"","est1","","",""
"","b","se","t","p"
"240480.unitid#c.year","-.0021214",".001295","-1.638165",".1018183"
"240727.unitid#c.year","-.0059036",".0011768","-5.016619","6.61e-07"
"243443.unitid#c.year","-.0071872",".001397","-5.144741","3.45e-07"
"243780.unitid#c.year","0",".",".","."
"instatetuition","-1.97e-06","1.23e-06","-1.604124",".1091193"
"faculty","6.54e-06",".0000123",".5307523",".5957519"
"costs",".000031",".0000234","1.328736",".1843502"
"per_urm",".0291567",".059126",".4931292",".6220696"
"per_white",".1048383",".0583828","1.795706",".0729547"
"per_fem",".2081293",".0231829","8.977699","2.32e-18"
"_cons","2.680378","1.66329","1.611492",".1075049"
"N","13889","","",""
"r2",".9812452","","",""
"df_m","26","","",""
"df_r","730","","",""
"df_b","","","",""
"df","","","",""
