"","m1","","","","m2","","","","m3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"RD_Estimate","-.3185393",".1092357","-2.916073",".0035447","-.1161139",".0521916","-2.224763",".0260971","","","",""
"0.DD_nonmodal_wins","","","","","","","","","0",".",".","."
"1.DD_nonmodal_wins","","","","","","","","","-.1268819",".0434257","-2.921818",".0038078"
"Margin","","","","","","","","","0",".",".","."
"0.DD_nonmodal_wins#c.Margin","","","","","","","","","0",".",".","."
"1.DD_nonmodal_wins#c.Margin","","","","","","","","","1.853501","1.258118","1.473233",".1419823"
"2006.datayear","","","","","","","","","0",".",".","."
"2007.datayear","","","","","","","","",".1173794",".0381084","3.080144",".002307"
"2008.datayear","","","","","","","","",".0360066",".0315224","1.142254",".2544726"
"2009.datayear","","","","","","","","",".0087641",".0312312",".280621",".7792399"
"2010.datayear","","","","","","","","",".0010007",".0345222",".0289875",".9768984"
"_cons","","","","","","","","","7.06946",".0191862","368.4656","0"
"N","338","","","","142","","","","372","","",""
"r2","","","","","","","","",".9365319","","",""
"df_m","","","","","","","","","6","","",""
"df_r","","","","","","","","","243","","",""
"df_b","","","","","","","","","","","",""
"df","","","","","","","","","","","",""
