"","est1","","","","t2_exceedquota_1","","","","t2_exceedquota_2","","","","t2_exceedquota_3","","","","t2_exceedquota_4","","","","t2_qrate_1","","","","t2_qrate_2","","","","t2_qrate_3","","","","t2_qrate_4","","","","t3_1","","","","t3_2","","","","t3_3","","","","t3_4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Iyi_29","","","","","","","","","","","","","","","","","-.0696633",".1833497","-.3799478",".7096859","","","","","","","","","","","","","-.0503302",".1206206","-.4172604",".6828159","-.2845377",".0785259","-3.623487",".0010622","-.4133196",".1430658","-2.889017",".0071109","-.2584107",".0863529","-2.992496",".0054926","-.2569544",".0878174","-2.926007",".0064867"
"_Iyi_30","","","","","","","","","","","","","","","","","-.367624",".2048958","-1.7942",".0943987","","","","","","","","","","","","","-.5334001",".1918736","-2.779955",".0147507",".3524358",".0503009","7.006552","8.71e-08","-.3125383",".0557555","-5.60552","4.22e-06","-.2558494",".0530129","-4.826172",".000038","-.2540321",".0549395","-4.623853",".0000672"
"_Iyi_31","","","","","","","","","","","","","","","","",".3741196",".1586367","2.358343",".0334274","","","","","","","","","","","","",".0604503",".0806896",".7491703",".4661568","-.4539891",".0785477","-5.779792","2.58e-06","-.5720779",".0793572","-7.208894","5.05e-08","-.4141631",".0930855","-4.449275",".0001097","-.413343",".0936742","-4.412561",".0001216"
"_Iyi_32","","","","","","","","","","","","","","","","",".1851157",".1197848","1.545403",".1445493","","","","","","","","","","","","","-.0143104",".0626519","-.2284108",".8226295","-.3953958",".0684648","-5.775173","2.62e-06","1.322538",".1148364","11.51671","1.55e-12","1.384535",".1008429","13.72962","1.80e-14","1.385482",".0993289","13.94843","1.19e-14"
"_Iyi_33","","","","","","","","","","","","","","","","",".1890813",".1317748","1.434883",".173282","","","","","","","","","","","","",".0662248",".0678106",".9766153",".3453342",".381611",".0526054","7.254214","4.47e-08","-.2054177",".0596312","-3.444805",".0017093","-.1800082",".0544575","-3.305478",".0024639","-.1805918",".0520149","-3.471925",".0015909"
"_Iyi_34","","","","","","","","","","","","","","","","",".1049781",".1151467",".91169",".3773634","","","","","","","","","","","","",".062503",".0513757","1.216586",".243875",".2751083",".0576726","4.770171",".0000446","-1.10194",".1081903","-10.1852","2.98e-11","-.6278734",".1053017","-5.962617","1.55e-06","-.6259755",".105965","-5.907383","1.81e-06"
"_Iyi_35","","","","","","","","","","","","","","","","",".0106001",".0980518",".1081068",".9154451","","","","","","","","","","","","",".0008535",".0624194",".0136729",".9892839",".2697414",".0594262","4.539096",".0000853",".0876899",".0684254","1.281541",".2098207",".2396439",".0557811","4.296145",".0001682",".2393725",".0549403","4.356956",".000142"
"_Iyi_36","","","","","","","","","","","","","","","","",".1676953",".1090923","1.537187",".1465368","","","","","","","","","","","","",".0689148",".0568402","1.212432",".2454109",".0891753",".0351937","2.533842",".0167409","-.2772802",".0576502","-4.809703",".0000399","-.2162912",".045043","-4.801886",".0000407","-.2139069",".0463149","-4.618535",".0000683"
"_Iyi_37","","","","","","","","","","","","","","","","",".1044563",".1024866","1.01922",".3253894","","","","","","","","","","","","",".0002687",".0574989",".0046726",".9963378","-.3851026",".1185806","-3.247603",".0028638","-.5936843",".1677527","-3.539044",".0013312","-.3255251",".1340691","-2.428041",".02139","-.3201158",".1368874","-2.338534",".026215"
"_Iyi_38","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","0",".",".",".",".2849073",".0473699","6.014519","1.34e-06","-.4517595",".0604387","-7.474677","2.48e-08","-.3201565",".0592566","-5.402887","7.47e-06","-.3170959",".0617016","-5.139186",".0000157"
"_Iyi_39","","","","","","","","","","","","","","","","",".050069",".2307167",".2170152",".8313272","","","","","","","","","","","","",".0191692",".1699929",".1127646",".9118182","-.5337392",".0877209","-6.084515","1.10e-06","-.796107",".088665","-8.978821","5.28e-10","-.490672",".0954062","-5.142976",".0000156","-.4880615",".0968399","-5.03988",".0000208"
"_Iyi_40","","","","","","","","","","","","","","","","","-.22477",".1699181","-1.322813",".2070987","","","","","","","","","","","","","-.1689226",".1270157","-1.329935",".2048015","-.5312288",".071503","-7.429459","2.80e-08","1.025895",".110772","9.261319","2.65e-10","1.24563",".1102073","11.3026","2.45e-12","1.245986",".1096097","11.36748","2.13e-12"
"_Iyi_41","","","","","","","","","","","","","","","","","-.2925601",".1426863","-2.050373",".0595386","","","","","","","","","","","","","-.3846163",".144086","-2.669353",".0183231",".3038588",".0498968","6.089748","1.09e-06","-.3436162",".063434","-5.416911","7.18e-06","-.2556912",".054895","-4.657825",".0000611","-.2552024",".0517757","-4.928999",".0000285"
"_Iyi_42","","","","","","","","","","","","","","","","","-.3049076",".145826","-2.090901",".055255","","","","","","","","","","","","","-.2727092",".1257591","-2.168505",".0478374",".1551726",".0437779","3.544543",".0013118","-1.299765",".1247457","-10.41931","1.74e-11","-.7297804",".1316267","-5.54432","5.01e-06","-.7266386",".1336608","-5.436437","6.79e-06"
"_Iyi_43","","","","","","","","","","","","","","","","","-.2659523",".1385336","-1.919767",".0754996","","","","","","","","","","","","","-.1334504",".1108986","-1.203355",".2487934",".2486543",".05557","4.474615",".0001022",".0596239",".0636853",".9362265",".3566325",".2257837",".0535303","4.217871",".0002092",".2252867",".0531338","4.239987",".0001967"
"_Iyi_44","","","","","","","","","","","","","","","","","-.1028382",".1774609","-.5794978",".5714613","","","","","","","","","","","","","-.0694571",".1253633","-.5540467",".588288","0",".",".",".","-.4206399",".0618782","-6.797872","1.54e-07","-.3045833",".0590844","-5.155056",".000015","-.3007435",".0623498","-4.823489",".0000383"
"_Iyi_45","","","","","","","","","","","","","","","","","-.0387627",".1684788","-.2300745",".8213616","","","","","","","","","","","","","-.0108102",".0828989","-.1304023",".8981033","-.4657473",".1302418","-3.57602",".0012061","-.8594051",".1419683","-6.053498","1.20e-06","-.4082734",".1523882","-2.679167",".0118638","-.4029682",".1558978","-2.584823",".0148507"
"_Iyi_46","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","0",".",".",".",".1943399",".048994","3.966608",".0004185","-.6475286",".0818142","-7.914624","7.82e-09","-.3992892",".0799368","-4.995063",".0000236","-.3965947",".0819608","-4.838834",".0000367"
"_Iyi_47","","","","","","","","","","","","","","","","",".1951175",".2067362",".9437991",".3612761","","","","","","","","","","","","",".1485552",".1022754","1.452502",".1684051","-.6551904",".1021551","-6.413682","4.41e-07","-1.042412",".1047735","-9.949193","5.15e-11","-.5960705",".1128581","-5.28159",".0000105","-.5929446",".1144543","-5.180623",".000014"
"_Iyi_48","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","0",".",".",".","-.5993544",".0831601","-7.207237","5.07e-08",".9678545",".103483","9.352786","2.12e-10","1.199285",".104095","11.52105","1.53e-12","1.199654",".103139","11.63143","1.21e-12"
"_Iyi_49","","","","","","","","","","","","","","","","",".2833029",".2364669","1.198066",".2507811","","","","","","","","","","","","",".1956094",".1078535","1.813659",".0912176",".2012231",".0486446","4.136597",".000262","-.5638709",".0780498","-7.224497","4.84e-08","-.347545",".0661668","-5.252556",".0000114","-.3463419",".0653534","-5.299527","1.00e-05"
"_Iyi_50","","","","","","","","","","","","","","","","",".2403981",".146239","1.643871",".1224629","","","","","","","","","","","","",".2060452",".0583074","3.533774",".0033058","0",".",".",".","-1.620845",".1435007","-11.29503","2.49e-12","-.8689887",".1554605","-5.589772","4.41e-06","-.8644557",".158211","-5.463941","6.29e-06"
"_Iyi_51","","","","","","","","","","","","","","","","",".2438258",".1835413","1.328452",".2052781","","","","","","","","","","","","",".1375991",".0512817","2.683199",".0178336",".1767445",".0488818","3.615748",".0010845","-.1202725",".0440688","-2.729198",".0105168",".1604208",".0485093","3.307008",".0024541",".1613578",".0456354","3.535799",".0013427"
"_Iyi_52","","","","","","","","","","","","","","","","","-.0606305",".1649508","-.3675673",".718693","","","","","","","","","","","","",".0521304",".0549405",".9488514",".3587888","1.248211",".2114566","5.902918","1.83e-06","1.031331",".2210303","4.666016",".0000597","1.328981",".2590744","5.129727",".0000162","1.33541",".2643056","5.052523",".0000201"
"_Iyi_53","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","0",".",".",".","0",".",".",".","-.5408349",".0963475","-5.613381","4.13e-06","-.575345",".0808558","-7.115688","6.49e-08","-.5731458",".0833917","-6.872939","1.25e-07"
"_Iyi_54","","","","","","","","","","","","","","","","",".0109961",".010804","1.017775",".3260521","","","","","","","","","","","","",".0097819",".0155739",".6280959",".5400525","-.9413702",".1175483","-8.008369","6.13e-09","-1.040109",".1190333","-8.73796","9.60e-10","-.8610374",".1026579","-8.387446","2.32e-09","-.8591505",".1023144","-8.397164","2.26e-09"
"_Iyi_55","","","","","","","","","","","","","","","","",".0816284",".0760607","1.0732",".301332","","","","","","","","","","","","",".0285171",".0243954","1.168955",".261941","-1.809921",".0885966","-20.42878","3.73e-19","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_56","","","","","","","","","","","","","","","","","-.0024749",".010999","-.2250093",".8252232","","","","","","","","","","","","","-.0148714",".0207175","-.717818",".4846762","0",".",".",".","-.4929059",".0946374","-5.20836",".0000129","-.5299425",".0648611","-8.170424","4.04e-09","-.5294619",".0657418","-8.053659","5.45e-09"
"_Iyi_57","","","","","","","","","","","","","","","","",".1031471",".0770058","1.339471",".2017575","","","","","","","","","","","","",".0269358",".0299502",".8993522",".3836734","-.1500269",".0678412","-2.211443",".0347671","-1.424534",".1633693","-8.719715","1.00e-09","-.9925144",".1429679","-6.942219","1.04e-07","-.9888745",".1467759","-6.737309","1.81e-07"
"_Iyi_58","","","","","","","","","","","","","","","","",".0602424",".0357691","1.684201",".1142968","","","","","","","","","","","","",".0802738",".0194825","4.120308",".0010401","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_59","","","","","","","","","","","","","","","","",".092547",".0541177","1.710105",".1093057","","","","","","","","","","","","",".0588923",".0507966","1.159374",".2656961","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"ln_reported_lag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".5623445",".0684065","8.220628","3.55e-09","","","","",".5488155",".0713964","7.686876","1.42e-08",".5447407",".082541","6.599638","2.64e-07"
"_Ipy_2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.072381",".0084788","-8.536672","1.59e-09",".000909",".0146507",".0620421",".9509409","-.0649624",".0107121","-6.064412","1.16e-06","0",".",".","."
"_Ipy_3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".",".",".064203",".012824","5.006492",".0000229"
"_Ipy_4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0393683",".0111171","3.541239",".0013234",".1563204",".0125113","12.4943","2.02e-13",".0456448",".0135598","3.366181",".0021023",".1095081",".0121256","9.031157","4.65e-10"
"_Ipy_5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1361974",".0070974","19.1898","2.14e-18",".1256217",".016046","7.828825","9.78e-09",".1240083",".0171461","7.23245","4.74e-08",".1878662",".0271724","6.913862","1.12e-07"
"_Ipy_6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1396234",".019117","7.303629","3.92e-08",".2424803",".0179265","13.52638","2.65e-14",".1287237",".0224777","5.726721","3.00e-06",".1897944",".0322779","5.880008","1.95e-06"
"_Ipy_7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".213782",".0295521","7.234074","4.72e-08",".3751991",".0304392","12.32618","2.85e-13",".1937535",".0358551","5.403788","7.45e-06",".257035",".0406525","6.322731","5.68e-07"
"_Ipy_8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".3183994",".0118715","26.82047","1.60e-22",".2164601",".0384501","5.629638","3.94e-06",".2850238",".0314036","9.076152","4.16e-10",".3470745",".0460509","7.536764","2.11e-08"
"_Ipy_9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Ipy_10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.0514655",".0130712","-3.937307",".0004535","-.093071",".0196776","-4.729798",".0000499","-.1726101",".0190397","-9.065797","4.27e-10","-.3916546",".035624","-10.99413","4.81e-12"
"_Ipy_11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","-.0011956",".0164979","-.0724712",".942708","-.1221162",".0224839","-5.431283","6.89e-06","-.3407822",".0325022","-10.48489","1.50e-11"
"_Ipy_12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".004044",".0192237",".2103674",".8348032","-.1072982",".0254482","-4.216339",".00021","-.1274935",".0124047","-10.27785","2.41e-11","-.3475059",".0360031","-9.652118","1.04e-10"
"_Ipy_13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1282126",".0195912","6.544386","3.08e-07","0",".",".",".","0",".",".",".","-.2207422",".037578","-5.87424","1.98e-06"
"_Ipy_14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".3036739",".0216181","14.04718","9.90e-15",".1537356",".0264392","5.814676","2.34e-06",".1711791",".0153555","11.14775","3.44e-12","-.0505296",".0402222","-1.25626",".2187167"
"_Ipy_15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".3644355",".0204562","17.81545","1.67e-17",".4125692",".0376325","10.96312","5.15e-12",".2216562",".0375786","5.898477","1.85e-06","0",".",".","."
"_Ipy_16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".4254428",".0235263","18.0837","1.11e-17",".1591479",".048157","3.304774",".0024684",".2640787",".0369832","7.140504","6.07e-08",".0428576",".0383849","1.116521",".2730621"
"_Ipy_17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Ipy_18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.2088979",".0170791","-12.23121","3.46e-13","-.1486278",".0350178","-4.24435",".0001943","-.1837588",".0336677","-5.458017","6.39e-06","-.1899144",".0360396","-5.269607",".0000109"
"_Ipy_19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.031274",".015578","-2.007576",".0537696","-.0488746",".025858","-1.890115",".0684386","-.015597",".0254432","-.6130116",".5444884","-.0251249",".0238869","-1.05183",".3012768"
"_Ipy_20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".003341",".0133773",".2497479",".8044845",".0597719",".0322172","1.855277",".0734069",".0117504",".0160777",".730847",".4705425","0",".",".","."
"_Ipy_21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".",".","-.0102506",".014466","-.7085965",".4840451"
"_Ipy_22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0552847",".0174499","3.1682",".0035147",".1350816",".0286796","4.710026",".0000528",".0578339",".0181367","3.188773",".0033336",".0468913",".0192816","2.431924",".0212004"
"_Ipy_23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1551406",".0295302","5.253625",".0000114",".2980641",".0333518","8.936978","5.86e-10",".1486818",".0295358","5.033961",".0000212",".137093",".0296507","4.6236",".0000673"
"_Ipy_24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".2115465",".0436646","4.844805",".0000361",".0604027",".0481663","1.254044",".2195098",".1901066",".0408734","4.651108",".0000623",".1796512",".0406688","4.41742",".0001199"
"_Ipy_25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Ipy_26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.1408655",".0082707","-17.03186","5.72e-17","0",".",".",".","-.376429",".0385559","-9.763211","7.97e-11","0",".",".","."
"_Ipy_27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".",".0635119",".0180845","3.51196",".0014306","-.2471708",".0275727","-8.964326","5.48e-10",".1288088",".013979","9.214423","2.97e-10"
"_Ipy_28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1246472",".0050008","24.92551","1.32e-21",".180481",".0197785","9.125088","3.69e-10","-.12941",".0205517","-6.296793","6.10e-07",".2462974",".0203805","12.08495","4.68e-13"
"_Ipy_29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1178788",".0064033","18.40894","6.77e-18",".1331434",".031909","4.172594",".0002371","-.1454278",".010397","-13.98748","1.11e-14",".2295309",".0345708","6.63944","2.37e-07"
"_Ipy_30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1683088",".0103765","16.22022","2.15e-16",".2441694",".0302812","8.063405","5.32e-09","-.09259",".0139757","-6.62509","2.47e-07",".281906",".0316978","8.893562","6.52e-10"
"_Ipy_31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".2712302",".0076579","35.41833","4.90e-26",".2800512",".0409813","6.833635","1.39e-07","0",".",".",".",".3740079",".0427038","8.758188","9.13e-10"
"_Ipy_32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".2242274",".022357","10.02942","4.27e-11",".0240208",".0436025",".5509047",".5857787","-.0542528",".0241338","-2.248002",".0320806",".3216302",".043741","7.353068","3.43e-08"
"_Ipy_33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Ipy_34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.1009943",".0121536","-8.309825","2.83e-09","-.1112464",".015726","-7.074063","7.26e-08","-.5921108",".0535271","-11.0619","4.15e-12","-.5935971",".0491834","-12.06905","4.83e-13"
"_Ipy_35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","-.4979412",".0535605","-9.296794","2.43e-10","-.4977705",".051017","-9.75695","8.09e-11"
"_Ipy_36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.0104572",".0053273","-1.962936",".0589843",".0075201",".0086338",".8710031",".3906694","-.5128127",".0513624","-9.984198","4.75e-11","-.5143592",".048143","-10.68399","9.59e-12"
