"","est1","","","","t2_exceedquota_1","","","","t2_exceedquota_2","","","","t2_exceedquota_3","","","","t2_exceedquota_4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Iyi_24","","","","","","","","","","","","","","","","","-.4556706",".1827396","-2.493552",".0257858"
"_Iyi_25","","","","","","","","","","","","","","","","","-.251705",".2096776","-1.200438",".2498882"
"_Iyi_26","","","","","","","","","","","","","","","","","-.2024749",".1657935","-1.221247",".2421604"
"_Iyi_27","","","","","","","","","","","","","","","","","-.2968529",".2345463","-1.265647",".2262975"
"_Iyi_28","","","","","","","","","","","","","","","","","-.073091",".1937225","-.3772974",".7116104"
"_Iyi_29","","","","","","","","","","","","","","","","","-.0696633",".1833497","-.3799478",".7096859"
"_Iyi_30","","","","","","","","","","","","","","","","","-.367624",".2048958","-1.7942",".0943987"
"_Iyi_31","","","","","","","","","","","","","","","","",".3741196",".1586367","2.358343",".0334274"
"_Iyi_32","","","","","","","","","","","","","","","","",".1851157",".1197848","1.545403",".1445493"
"_Iyi_33","","","","","","","","","","","","","","","","",".1890813",".1317748","1.434883",".173282"
"_Iyi_34","","","","","","","","","","","","","","","","",".1049781",".1151467",".91169",".3773634"
"_Iyi_35","","","","","","","","","","","","","","","","",".0106001",".0980518",".1081068",".9154451"
"_Iyi_36","","","","","","","","","","","","","","","","",".1676953",".1090923","1.537187",".1465368"
"_Iyi_37","","","","","","","","","","","","","","","","",".1044563",".1024866","1.01922",".3253894"
"_Iyi_38","","","","","","","","","","","","","","","","","0",".",".","."
"_Iyi_39","","","","","","","","","","","","","","","","",".050069",".2307167",".2170152",".8313272"
"_Iyi_40","","","","","","","","","","","","","","","","","-.22477",".1699181","-1.322813",".2070987"
"_Iyi_41","","","","","","","","","","","","","","","","","-.2925601",".1426863","-2.050373",".0595386"
"_Iyi_42","","","","","","","","","","","","","","","","","-.3049076",".145826","-2.090901",".055255"
"_Iyi_43","","","","","","","","","","","","","","","","","-.2659523",".1385336","-1.919767",".0754996"
