"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","","","est11","","","","est12","","","","est13","","","","est14","","","","est15","","","","est16","","","","est17","","","","est18","","","","est19","","","","est20","","","","est21","","","","est22","","","","est23","","","","est24","","","","est25","","","","est26","","","","est27","","","","est28","","","","est29","","","","est30","","","","est31","","","","est32","","","","est33","","","","est34","","","","est35","","","","est36","","","","est37","","","","est38","","","","est39","","","","est40","","","","est41","","","","est42","","","","est43","","","","est44","","","","est45","","","","est46","","","","est47","","","","est48","","","","est49","","","","est50","","","","est51","","","","est52","","","","est53","","","","est54","","","","est55","","","","est56","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"costequalgrants",".0520889",".047752","1.090821",".2753519","-.0592889",".0696506","-.8512336",".3946396","-.1639297",".1062064","-1.543502",".1227091",".0008766",".1330587",".006588",".9947435","-.1079241",".1372049","-.7865911",".4315213",".0389376",".1061869",".3666892",".7138508","-.0151543",".0568818","-.2664174",".7899178","-.2182865",".2108861","-1.035092",".3006258",".0300096",".0056768","5.286327","1.25e-07",".0297944",".0075031","3.970958",".0000716",".0288735",".0092859","3.109381",".0018748",".0498688",".0182614","2.730825",".0063176",".0414366",".0143957","2.878395",".003997",".0449057",".0162981","2.755279",".0058642",".0375303",".0073516","5.105085","3.31e-07",".0358334",".0222551","1.610122",".1073712",".0035278",".0066911",".5272443",".598024","-.0041727",".0088061","-.4738385",".6356151","-.0072068",".0129066","-.5583842",".5765821",".0341149",".0353764",".964342",".3348745","-.0059282",".0245926","-.2410575",".8095105",".0177281",".0227844",".778081",".4365212","-.0008109",".0106817","-.0759157",".9394862",".0127446",".0360045",".3539713",".7233604","-.013416",".0139634","-.9607934",".336656","-.0326597",".0205605","-1.588467",".1121807","-.0401534",".028477","-1.410028",".1585314","-.0541786",".0476685","-1.136571",".2557178","-.0601844",".0443748","-1.356275",".1750118","-.0339003",".0357427","-.9484514",".3428997","-.0306132",".0200079","-1.530054",".1260035","-.0964931",".0806087","-1.197056",".2312849",".0425417",".0287316","1.480657",".138698","-.0264104",".040993","-.6442655",".5194033","-.104522",".064218","-1.627612",".1036072","-.0627792",".0905392","-.6933929",".488063","-.1100645",".0886176","-1.242016",".2142305","-.0317797",".0771086","-.4121422",".6802352","-.0218055",".0355825","-.6128144",".5399991","-.1187999",".1282758","-.9261286",".3543791","-.0073001",".0032835","-2.223237",".0261998","-.0011648",".004652","-.2503831",".8022911",".0051808",".0069956",".7405784",".4589491",".0036852",".0126382",".2915908",".7705995",".0072017",".0114347",".6298137",".5288165","-.0025911",".0098306","-.2635701",".7921112",".0004148",".005155",".0804736",".9358606","-.0065931",".0160295","-.4113112",".6808444","-.0033261",".0157441","-.2112616",".8326831","-.0246927",".0217454","-1.135538",".25615","-.0461532",".0305963","-1.508454",".1314384",".0293053",".038863",".7540675",".4508087",".0188336",".0357028",".5275104",".5978392",".0435008",".030188","1.440997",".1495854",".00007",".0170073",".0041173",".9967148","-.0485402",".0544075","-.8921595",".3723074"
"forcing1",".6831636",".1067871","6.397436","1.58e-10","1.033338",".1561594","6.617204","3.66e-11","1.315987",".2384022","5.520029","3.39e-08",".863517",".3941753","2.190693",".028474","1.169703",".3872021","3.020911",".0025202",".807343",".3450553","2.33975",".0192967",".9112984",".173324","5.257775","1.46e-07","1.622436",".6642743","2.442419",".0145892",".0185029",".0077725","2.380572",".0172858",".0184364",".0153188","1.203512",".2287783",".0218312",".0210922","1.035034",".300653","-.0382249",".0534942","-.7145617",".4748799","-.0109831",".0399321","-.2750448",".7832818","-.0309",".0490517","-.6299478",".5287288","-.0078675",".018836","-.417684",".6761782",".0092253",".0713071",".1293736",".8970621","-.0886983",".0141842","-6.253321","4.02e-10","-.0658278",".0259384","-2.537849",".0111536","-.0572513",".0379777","-1.507498",".1316831","-.1738972",".0998309","-1.741918",".0815229","-.0605909",".0679441","-.8917763",".3725129","-.1497121",".0768962","-1.946937",".0515423","-.0858504",".0377081","-2.276712",".0228034","-.1062701",".1212696","-.876313",".3808599",".0677804",".0265876","2.549324",".0107932",".1300455",".0492955","2.638082",".0083376",".1461072",".0710977","2.055021",".039877",".1907839",".1359248","1.4036",".1604381",".1984272",".1210271","1.639527",".1011036",".1608553",".1115029","1.442611",".14913",".1380062",".0565029","2.442464",".0145874",".346788",".254389","1.363219",".1728134",".5347927",".0614271","8.706135","0",".7520301",".0869048","8.653488","0",".9656135",".1381096","6.991646","2.72e-12",".8546837",".2721817","3.140122",".0016888",".9800902",".2491724","3.933382",".0000838",".8089318",".2428476","3.331026",".0008653",".7376882",".1099973","6.706421","1.99e-11","1.058543",".4061702","2.606157",".0091564",".0021173",".0070562",".3000656",".7641271","-.0179082",".0120839","-1.481997",".138341","-.0344452",".0179192","-1.922257",".0545734","-.0315976",".0351064","-.9000549",".368091","-.0397238",".0300229","-1.323116",".1857968","-.0223346",".0301751","-.7401668",".4591988","-.0272177",".0151011","-1.802364",".0714881","-.0098733",".0507982","-.1943623",".8458922",".1485453",".0295596","5.025284","5.03e-07",".2163265",".0459124","4.711727","2.46e-06",".2740064",".0674657","4.061417",".0000488",".0639132",".1111728",".5748994",".5653594",".1042641",".0973646","1.070862",".2842314",".0429621",".0974005",".4410876",".6591495",".15632",".0485251","3.221426",".0012755",".3333666",".1761862","1.892126",".0584741"
"_Iyear_1997","-.624425",".1133685","-5.507924","3.63e-08","-.5665473",".138166","-4.100482",".0000412","-.6849015",".1281225","-5.345678","9.01e-08","-.5516553",".1380357","-3.996468",".0000643","-.6718967",".1234269","-5.443682","5.22e-08","-.5446719",".1341524","-4.060097",".0000491","-.6116322",".135359","-4.518593","6.23e-06","-.5293225",".2851606","-1.856226",".0634214",".02567",".0214601","1.196176",".2316278",".040001",".0234783","1.703746",".0884285",".0253519",".0215522","1.176307",".2394722",".0449698",".0244595","1.838541",".0659827",".0282692",".0217947","1.297069",".1946076",".0440592",".0243913","1.80635",".0708637",".0492549",".0271842","1.811893",".0700027",".0258137",".0366126",".7050488",".4807799","-.4487009",".0399653","-11.22726","0","-.4324916",".0471489","-9.172889","0","-.4517062",".0401808","-11.24184","0","-.4230147",".0472186","-8.958649","0","-.4514093",".0405643","-11.12823","0","-.4260213",".0470326","-9.057996","0","-.4329662",".0456592","-9.482572","0","-.5557297",".0702123","-7.914988","2.44e-15",".3527701",".0417268","8.454285","0",".3522267",".0509354","6.915169","4.67e-12",".3452847",".0431991","7.992865","1.33e-15",".3469004",".0540851","6.413977","1.42e-10",".3406334",".0452822","7.522465","5.37e-14",".350621",".0526452","6.660077","2.74e-11",".3212982",".0550119","5.840518","5.20e-09",".3034588",".0929482","3.264816",".0010954","-.3133722",".0745336","-4.20444",".0000262","-.310931",".0930474","-3.341643",".0008328","-.3545441",".0824621","-4.299479",".0000171","-.319933",".0965568","-3.313417",".0009216","-.3558311",".0827135","-4.301972",".0000169","-.3142452",".0946066","-3.321598",".000895","-.3180513",".0953913","-3.334175",".0008555","-.2308654",".209573","-1.101599",".270636",".0802688",".0389678","2.059876",".0394104",".0952751",".0423968","2.247221",".0246259",".083763",".0390938","2.142617",".0321439",".0964755",".0420332","2.295222",".0217204",".0842322",".0390057","2.159487",".0308124",".095324",".0420021","2.269507",".0232375",".0843256",".0432468","1.949872",".0511914",".1367927",".0544532","2.512114",".012001","-.3195286",".0381743","-8.370259","0","-.3087226",".0453662","-6.80512","1.01e-11","-.3315184",".041401","-8.007497","1.11e-15","-.2953571",".0438078","-6.742109","1.56e-11","-.3164281",".0377919","-8.372911","0","-.2927525",".0431122","-6.790475","1.12e-11","-.3133986",".0448138","-6.993351","2.68e-12","-.2072886",".0776059","-2.671041",".0075616"
"_Iyear_1998",".0044943",".1877568",".0239369",".980903","-.1212609",".2300879","-.5270198",".5981799","-.375961",".256626","-1.465015",".1429167","-.0242654",".2837425","-.085519",".9318488","-.2915323",".2807323","-1.038471",".2990509",".0313575",".2570972",".1219676",".9029246",".2062945",".2720548",".7582828",".4482817","-.3638243",".6854629","-.5307717",".595577",".1749246",".0305035","5.734577","9.78e-09",".1971635",".0331807","5.942122","2.81e-09",".1729237",".0333493","5.185219","2.16e-07",".2295263",".0419992","5.465021","4.63e-08",".1918626",".0366946","5.22863","1.71e-07",".2222732",".0402009","5.529057","3.22e-08",".230249",".0372972","6.17336","6.69e-10",".2401655",".0828345","2.899341",".0037395","-.5944249",".0531552","-11.18282","0","-.5684282",".0614325","-9.252886","0","-.6133309",".0582608","-10.52733","0","-.506703",".0802888","-6.311008","2.77e-10","-.6114034",".0672115","-9.09671","0","-.5306509",".0686759","-7.726887","1.11e-14","-.5581137",".0694949","-8.030997","8.88e-16","-.7593972",".1137978","-6.673218","2.50e-11",".9554043",".0601924","15.8725","0",".9073618",".0793028","11.44174","0",".908314",".0784893","11.57246","0",".8726703",".107255","8.136406","4.44e-16",".8781172",".0972842","9.026311","0",".9023054",".0938194","9.617475","0","1.008805",".0942651","10.70179","0",".7749667",".2463178","3.146206",".001654","-.3251325",".1157054","-2.810002",".0049541","-.4184523",".1325579","-3.156751",".0015954","-.5841434",".1523167","-3.835058",".0001255","-.4770842",".1871641","-2.549015",".0108028","-.5924987",".1749454","-3.386764",".0007072","-.431781",".1751106","-2.465762",".0136722","-.3509229",".1659314","-2.114867",".0344413","-.4281012",".40754","-1.050452",".2935104",".2225491",".0384737","5.784444","7.28e-09",".2326608",".0413613","5.625087","1.85e-08",".2445307",".0404061","6.051823","1.43e-09",".2404797",".0462114","5.203906","1.95e-07",".2475772",".0427647","5.789291","7.07e-09",".2313075",".0445036","5.197504","2.02e-07",".2336642",".0479948","4.86853","1.12e-06",".2745164",".0701067","3.915692",".0000901","-.4272669",".0593322","-7.201267","5.97e-13","-.4695859",".0719575","-6.525874","6.76e-11","-.5026945",".0751353","-6.690527","2.22e-11","-.3825332",".0840552","-4.550978","5.34e-06","-.4047266",".0768459","-5.26673","1.39e-07","-.3617876",".0775583","-4.66472","3.09e-06","-.3552627",".0764508","-4.646946","3.37e-06","-.4727703",".1755253","-2.69346",".0070715"
"_Iyear_1999",".9335837",".295801","3.15612",".0015988",".5315897",".3820118","1.391553",".1640578",".1590472",".4352285",".3654338",".7147876",".7433464",".5474006","1.357957",".1744774",".3286367",".5067633",".6485014",".5166607",".8627678",".4748645","1.816872",".0692368","1.058052",".3950074","2.678563",".0073939",".021175","1.071088",".0197696",".9842272",".2432941",".0356184","6.83057","8.46e-12",".2644519",".0431437","6.129567","8.81e-10",".2392206",".043694","5.474901","4.38e-08",".335105",".074118","4.521239","6.15e-06",".2772627",".0569469","4.868794","1.12e-06",".3195328",".0697697","4.579825","4.65e-06",".3222517",".0462602","6.966066","3.26e-12",".3390592",".1179126","2.875514",".0040337","-.8109371",".0694349","-11.6791","0","-.7991458",".0835638","-9.563296","0","-.8494264",".0840044","-10.11169","0","-.6643899",".1415194","-4.694692","2.67e-06","-.8455547",".1057703","-7.994251","1.33e-15","-.7158056",".1082818","-6.610584","3.83e-11","-.753169",".0954948","-7.887017","3.11e-15","-.8821615",".1779039","-4.95864","7.10e-07","1.506546",".0868578","17.34496","0","1.377082",".1199669","11.47885","0","1.410679",".1257642","11.21685","0","1.301345",".1948014","6.680367","2.38e-11","1.350023",".1684078","8.016393","1.11e-15","1.364971",".1636434","8.341128","0","1.476742",".1312763","11.24911","0","1.036511",".4065977","2.549229",".0107961",".4239144",".1764111","2.402992",".0162616",".1907737",".211785",".9007895",".3677002","-.1033836",".2540095","-.4070068",".684003",".062771",".3494838",".1796105",".8574583","-.1201667",".3060076","-.3926919",".6945471",".160036",".3156075",".5070729",".6121037",".3565906",".2334155","1.527708",".1265851",".0906023",".6288119",".1440849",".8854334",".1069403",".0393766","2.715833",".0066109",".1267886",".0441795","2.869854",".0041066",".1516906",".04498","3.372398",".0007452",".1438585",".0594567","2.419549",".0155398",".1578101",".0514648","3.066369",".0021668",".1241659",".0531808","2.33479",".0195544",".1277461",".0497628","2.567098",".0102554",".1237165",".0910271","1.359118",".1741092","-.534523",".0850756","-6.282919","3.32e-10","-.6262226",".1073898","-5.831305","5.50e-09","-.6880797",".12047","-5.711627","1.12e-08","-.4361726",".1587066","-2.748296",".0059906","-.4912943",".1337952","-3.671988",".0002407","-.3916323",".1368912","-2.860902",".0042244","-.4699039",".1051655","-4.468232","7.89e-06","-.7002663",".284246","-2.463593",".0137552"
"_Iyear_2000",".6921925",".3077271","2.249371",".0244889",".6114019",".3731799","1.638357",".1013473",".1881653",".3806414",".4943373",".621068",".7294468",".4279855","1.704373",".0883115",".2692754",".4117461",".6539842",".513122",".7650879",".4074134","1.877915",".0603927","1.065105",".4345117","2.45127",".0142353",".5340441",".8057794",".6627671",".5074797",".1053343",".0379912","2.772594",".0055611",".1169528",".0426336","2.743209",".0060842",".1026834",".0402552","2.550811",".0107473",".1563387",".0602198","2.596135",".0094279",".120878",".0473474","2.553001",".0106799",".1516913",".0583883","2.597975",".0093775",".1385298",".0513247","2.699084",".0069531",".1422125",".090339","1.57421",".115439","-1.10775",".0809247","-13.68865","0","-1.072401",".0934217","-11.47914","0","-1.132797",".089116","-12.71149","0","-.9972805",".1100085","-9.065483","0","-1.130945",".0946381","-11.95021","0","-1.012625",".1022745","-9.90105","0","-.9941864",".101888","-9.757639","0","-1.161867",".1455807","-7.98091","1.55e-15","1.825504",".0951902","19.17744","0","1.769303",".1241899","14.24675","0","1.763118",".1153217","15.2887","0","1.727083",".1528745","11.29739","0","1.734109",".1358029","12.7693","0","1.746072",".1416051","12.33058","0","1.869721",".1423859","13.13136","0","1.688555",".2789378","6.053516","1.42e-09",".3678759",".1816795","2.024862",".0428815",".2986754",".2013944","1.483037",".1380646",".0247383",".2147698",".1151853",".9082982",".2273196",".2737607",".8303588",".4063359",".0167114",".2435825",".0686068",".9453026",".2563482",".2604705",".9841736",".3250302",".4331569",".2640223","1.640607",".100879",".3971787",".4829284",".822438",".4108277",".2282291",".0447312","5.10224","3.36e-07",".2506466",".0488023","5.135961","2.81e-07",".2573503",".0458472","5.613215","1.99e-08",".2601623",".0526984","4.936818","7.94e-07",".2602771",".0472617","5.507148","3.65e-08",".2542851",".0515004","4.937533","7.91e-07",".2634087",".0543196","4.849236","1.24e-06",".2742891",".0743353","3.689893",".0002243","-.7250082",".0839987","-8.631183","0","-.7493762",".0976526","-7.673896","1.67e-14","-.8249347",".0981916","-8.401275","0","-.6434318",".1171392","-5.492883","3.95e-08","-.7308175",".1014397","-7.204455","5.83e-13","-.6301388",".1122121","-5.615604","1.96e-08","-.6428522",".1081734","-5.942792","2.80e-09","-.8124133",".2134563","-3.805993",".0001412"
"_Iyear_2001",".9129244",".3980433","2.29353",".0218175",".5753547",".4852364","1.18572",".2357328","-.0818741",".5494573","-.1490091",".8815465",".8230505",".6931681","1.187375",".2350797",".1163393",".6979603",".1666846",".8676182",".9415951",".6313041","1.491508",".1358281","1.244187",".5174255","2.404572",".0161914",".439917","1.199759",".3666712",".7138643",".1333562",".044371","3.005478",".0026516",".1489882",".0527663","2.823547",".0047495",".1281242",".0544107","2.35476",".0185347",".2316324",".1003333","2.30863",".0209641",".1725873",".0774544","2.228242",".0258644",".2161746",".097338","2.220865",".0263601",".1880658",".062408","3.013491",".0025826",".1375352",".1424181",".965714",".3341873","-1.097557",".0978206","-11.2201","0","-1.05542",".1159136","-9.105231","0","-1.146992",".1200855","-9.551463","0","-.8977936",".1804386","-4.97562","6.50e-07","-1.142467",".1457043","-7.840994","4.44e-15","-.9488319",".1488198","-6.375708","1.82e-10","-.9568849",".135335","-7.070492","1.54e-12","-1.122734",".2166654","-5.181881","2.20e-07","2.215601",".1152576","19.22304","0","2.10445",".157758","13.33974","0","2.092471",".1634381","12.80283","0","2.015859",".2447912","8.235012","2.22e-16","2.021578",".2243449","9.011025","0","2.079018",".2132506","9.749177","0","2.229697",".1693994","13.16237","0","2.079902",".4357867","4.772753","1.82e-06",".2708221",".2302354","1.176284",".2394815",".0236492",".2564207",".092228",".9265169","-.4064284",".3019952","-1.345811",".1783636","-.126078",".4620003","-.272896",".7849332","-.4260442",".4214931","-1.010797",".3121134","-.0295271",".4357206","-.0677661",".9459718",".2362555",".3155373",".7487405",".4540136",".0252064",".7269929",".0346721",".9723412",".2797123",".047445","5.895502","3.74e-09",".3205996",".0525332","6.102797","1.04e-09",".3371887",".0533055","6.325589","2.52e-10",".3405665",".069373","4.909207","9.14e-07",".3443411",".0602815","5.712219","1.12e-08",".3210185",".0627171","5.118516","3.08e-07",".3277457",".0586249","5.590558","2.26e-08",".3532635",".1019264","3.46587",".0005285","-.9046944",".1081177","-8.367681","0","-.9830507",".1267995","-7.752797","8.88e-15","-1.101919",".1418949","-7.765746","8.22e-15","-.7607457",".1933076","-3.935416",".0000831","-.87192",".1728422","-5.044601","4.54e-07","-.7165324",".174511","-4.105943",".0000403","-.7985786",".1303923","-6.124431","9.10e-10","-1.082579",".3168831","-3.416335",".0006347"
"_Iyear_2002","1.540417",".4854527","3.173155",".0015079",".9192071",".6068447","1.514732",".1298403",".0493479",".7333605",".0672901",".9463508","1.312615","1.03603","1.266966",".2051676",".3783461","1.055018",".3586157",".7198826","1.533655",".9175229","1.671517",".0946196","1.79058",".6415391","2.791069",".0052534",".6917226","1.765985",".3916923",".6952856",".2025296",".0481774","4.203827",".0000262",".2239521",".0623349","3.592727",".0003272",".1946876",".0684003","2.846297",".0044231",".3552135",".1418921","2.503406",".0123004",".2684882",".1090694","2.461626",".0138309",".3263906",".1374962","2.373815",".0176054",".2913148",".0732533","3.976816",".0000698",".2328048",".2010384","1.158011",".2468594","-.8385408",".1136423","-7.378773","1.60e-13","-.8252008",".1382035","-5.970912","2.36e-09","-.9126369",".1517102","-6.015661","1.79e-09","-.5748474",".2587089","-2.221985",".0262843","-.9051258",".2005051","-4.514228","6.35e-06","-.6700141",".1961608","-3.415638",".0006363","-.6931037",".1603254","-4.323106",".0000154","-.6632568",".3080974","-2.152751",".0313383","2.564986",".134032","19.13711","0","2.412583",".1897219","12.71641","0","2.380431",".214277","11.10913","0","2.271876",".357645","6.352322","2.12e-10","2.262761",".3267959","6.924081","4.39e-12","2.389643",".2972788","8.038391","8.88e-16","2.572421",".2054841","12.51883","0","2.129917",".643642","3.309164",".0009357",".4003944",".2834489","1.41258",".1577791","-.0256958",".3204563","-.0801852",".93609","-.6147128",".4021881","-1.528421",".1264081","-.2635031",".7021671","-.3752712",".7074588","-.6472714",".6504771","-.9950718",".3197013","-.0834727",".6581503","-.1268293",".8990755",".1975061",".3929068",".5026794",".6151897","-.0458397","1.040319","-.0440631",".9648541",".2456114",".0481763","5.098182","3.43e-07",".3046328",".0552663","5.512093","3.55e-08",".3317607",".0602486","5.506532","3.66e-08",".3363456",".0906713","3.709505",".0002077",".3436324",".0780573","4.402312",".0000107",".2998961",".0763735","3.926703",".0000861",".3197716",".0612063","5.224487","1.75e-07",".2972868",".1390873","2.137412",".0325645","-1.032125",".134993","-7.645765","2.09e-14","-1.168037",".1653275","-7.064989","1.61e-12","-1.327739",".1946559","-6.820952","9.04e-12","-.8149565",".2902764","-2.807519",".0049925","-.9459813",".2602428","-3.634995",".000278","-.7325157",".2511052","-2.917167",".0035323","-.8942549",".17455","-5.123203","3.00e-07","-1.281887",".4747578","-2.700087",".0069321"
"_Iyear_2003","1.56472",".530803","2.947835",".0032001",".8704049",".6621352","1.314543",".1886637","-.2279996",".8271979","-.2756288",".7828332","1.363793","1.249008","1.091901",".2748768",".187889","1.282657",".1464843",".8835391","1.653702","1.097544","1.506729",".1318802","1.494748",".7196735","2.076981",".0378033","-.1083388","2.208558","-.0490541",".9608762",".2673139",".0531094","5.033265","4.82e-07",".2921937",".0681868","4.285194",".0000183",".2578854",".0774209","3.330953",".0008655",".4568136",".1748024","2.613314",".0089669",".3511772",".1333673","2.633159",".0084595",".4190104",".170631","2.455652",".0140629",".408441",".0816846","5.000222","5.73e-07",".3091593",".2464975","1.254209",".2097661","-.7696885",".1220323","-6.307253","2.84e-10","-.7528878",".1515002","-4.969551","6.71e-07","-.8587746",".1700572","-5.049916","4.42e-07","-.4389099",".3092958","-1.419062",".1558809","-.8492798",".2360234","-3.598286",".0003203","-.5637274",".2259944","-2.494431",".0126159","-.619413",".1804479","-3.432641",".0005977","-.4667294",".3780952","-1.234423",".2170454","2.543572",".1477706","17.21298","0","2.409064",".2076866","11.59951","0","2.321681",".2429876","9.554731","0","2.232598",".4318921","5.169343","2.35e-07","2.172934",".3941666","5.512729","3.53e-08","2.387057",".3549169","6.72568","1.75e-11","2.486375",".2390346","10.40174","0","1.820192",".8336018","2.183527",".028997",".4917416",".3119012","1.576594",".1148889","-.0135689",".3543355","-.038294",".9694533","-.7287267",".4595414","-1.585769",".1127916","-.3118121",".8621521","-.3616671",".7176008","-.7698843",".8086907","-.9520133",".3410902","-.0756902",".8106606","-.0933686",".9256108",".0064619",".4380771",".0147506",".9882312","-.4928681","1.319778","-.3734477",".7088152",".3079373",".0525183","5.863429","4.53e-09",".3760763",".0599767","6.270371","3.60e-10",".411515",".0686163","5.997333","2.01e-09",".4158486",".1066383","3.89962",".0000963",".426522",".0927971","4.596286","4.30e-06",".3680427",".0867008","4.244974",".0000219",".3978603",".0671923","5.921221","3.20e-09",".3836329",".1644073","2.33343",".0196256","-1.273576",".1501199","-8.483727","0","-1.437297",".1824279","-7.878712","3.33e-15","-1.628994",".223096","-7.301762","2.84e-13","-.9944851",".348465","-2.853903",".0043186","-1.146412",".3127388","-3.665718",".0002466","-.8863584",".2950379","-3.004219",".0026626","-1.181877",".198888","-5.942424","2.81e-09","-1.690422",".5695524","-2.967983",".0029976"
