		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	Vote share of HSP et al.	Vote share of HSP et al.	Vote share of HDZ	Vote share of HDZ	Vote share of SDP	Vote share of SDP	Turnout	Turnout
									
radio1	At least 1 RTS radio available	0.026***		-0.041*		0.009		-0.009	
		[0.008]		[0.024]		[0.015]		[0.017]	
log_distance_full	Distance to Serbia, logged	-0.016	-0.006	-0.046***	-0.060***	0.034***	0.043***	-0.018*	-0.022**
		[0.010]	[0.008]	[0.011]	[0.010]	[0.009]	[0.009]	[0.010]	[0.010]
logpop	Population (logged)	-0.002	-0.007	-0.001	0.007	0.014	0.011	-0.011	-0.010
		[0.006]	[0.004]	[0.009]	[0.008]	[0.009]	[0.008]	[0.010]	[0.010]
male_share	% of male population	-0.214	-0.282	-0.661	-0.555	0.638	0.599	-0.390	-0.366
		[0.346]	[0.328]	[0.495]	[0.450]	[0.430]	[0.411]	[0.387]	[0.382]
z2	% of aged 21-40	0.571*	0.183	-1.583**	-0.977*	0.837*	0.618	-1.811***	-1.673***
		[0.336]	[0.269]	[0.646]	[0.498]	[0.433]	[0.421]	[0.621]	[0.561]
z3	% of aged 41-60	-0.093	0.005	-1.533***	-1.680***	0.944**	1.023***	-0.199	-0.235
		[0.236]	[0.208]	[0.423]	[0.397]	[0.396]	[0.369]	[0.383]	[0.359]
z6	% of aged 61+	0.149	0.023	-1.077***	-0.877***	0.565**	0.512**	-1.020***	-0.976***
		[0.171]	[0.142]	[0.332]	[0.264]	[0.225]	[0.198]	[0.322]	[0.282]
Croats	% of Croats	0.105**	0.099**	-0.008	-0.000	-0.224***	-0.229***	0.103	0.105*
		[0.047]	[0.039]	[0.069]	[0.067]	[0.046]	[0.046]	[0.062]	[0.061]
higher_educ	higher_educ	-0.511	-0.415	0.728	0.576	0.112	0.152	0.142	0.109
		[0.363]	[0.320]	[0.458]	[0.373]	[0.240]	[0.220]	[0.285]	[0.274]
ec_active	Economically active population, %	0.739**	0.682**	-0.607	-0.519	0.195	0.154	0.138	0.159
		[0.321]	[0.278]	[0.403]	[0.378]	[0.292]	[0.274]	[0.291]	[0.288]
disable_share2	Disabled after the war of independence, %	2.007***	1.339**	2.004**	3.032***	-1.579**	-2.021***	4.865***	5.107***
		[0.687]	[0.546]	[0.758]	[0.762]	[0.648]	[0.673]	[0.880]	[0.842]
war	Was important during the war	-0.005	0.002	-0.059**	-0.068***	0.016	0.021	0.040	0.038
		[0.016]	[0.015]	[0.025]	[0.024]	[0.020]	[0.018]	[0.025]	[0.025]
monument	Monument in the honor of died defendants of the town	0.000	0.003	0.033*	0.028*	0.011	0.012	0.005	0.004
		[0.011]	[0.010]	[0.017]	[0.016]	[0.016]	[0.015]	[0.013]	[0.013]
name_of_the_streets_cyrillic	Names of the streets in Cyrillic script	-0.005	-0.023	-0.122***	-0.094**	0.089***	0.079**	-0.050	-0.044
		[0.022]	[0.020]	[0.035]	[0.038]	[0.030]	[0.033]	[0.039]	[0.039]
name_of_the_streets_in_hungarian	Names of the streets in Hungarian	0.004	0.001	-0.035	-0.031	0.031	0.029	0.053*	0.054*
		[0.014]	[0.011]	[0.023]	[0.022]	[0.021]	[0.021]	[0.028]	[0.027]
pivo_Serb	Serbian beer in bars	-0.017	-0.024	-0.072	-0.061	0.084***	0.078**	0.030	0.032
		[0.017]	[0.016]	[0.046]	[0.048]	[0.029]	[0.030]	[0.035]	[0.035]
o.r2	county==County of Požega-Slavonia = o,	-	-	-	-	-	-	-	-
									
o.r3	county==County of Slavonski Brod-Posavina = o,	-	-	-	-	-	-	-	-
									
o.r4	county==County of Virovitica-Podravina = o,	-	-	-	-	-	-	-	-
									
o.r5	county==County of Vukovar-Sirmium = o,	-	-	-	-	-	-	-	-
									
bliz_forest	Large forest nearby	0.005	-0.000	0.005	0.014	-0.029**	-0.031***	-0.005	-0.004
		[0.008]	[0.007]	[0.020]	[0.020]	[0.011]	[0.011]	[0.016]	[0.016]
s1	Maximum signal strength of all RTS radios		2.678***		-4.099***		1.884**		-0.981
			[0.617]		[0.838]		[0.846]		[1.067]
									
Observations		139	139	139	139	139	139	139	139
R-squared		0.600	0.639	0.735	0.757	0.694	0.705	0.616	0.619
Persuasion rates		0.0495	0.0312	-0.128	-0.0581	0.0207	0.0244	-0.0373	-0.0160
ATT		0.0816	0.0522	-0.132	-0.0799	0.0277	0.0367	-0.0281	-0.0191
Effect of 1 st. dev. change			0.0461		-0.0706		0.0325		-0.0169
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
