"","est1","","",""
"","b","se","t","p"
"bond_numelec_prev14",".0419712",".0730009",".5749414",".5656517"
"bond_numelec_prev15",".0565671",".0523981","1.079565",".2809817"
"bond_numelec_prev16","-.0203948",".0458454","-.4448609",".6566591"
"bond_numelec_prev17","-.0673547",".0738613","-.9119079",".3623624"
"bond_numelec_prev18","-.1035693",".1099511","-.9419578",".3467786"
"_cons",".9162062",".1567593","5.844668","1.05e-08"
"N","7614","","",""
"r2",".671441","","",""
"df_m","237","","",""
"df_r","403","","",""
"df_b","","","",""
"df","","","",""
