"","m4","","",""
"","b","se","t","p"
"local_city",".038214",".0156814","2.436901",".0157923"
"male","-.0010482",".0113099","-.0926837",".9262585"
"age","-.0005735",".0013272","-.4321169",".6661766"
"tenure","-.0005504",".0032488","-.1694123",".8656636"
"tenure2",".0002444",".0002692",".9077212",".3652459"
"edulevel",".0022904",".0072279",".3168826",".7517019"
"edufin",".0121786",".0078942","1.542725",".1246637"
"fromaud","-.0003554",".009718","-.0365754",".9708643"
"fromfin","-.0094863",".0178801","-.5305507",".5963877"
"fromsup",".0019422",".0231489",".0839012",".9332288"
"fromcitygov",".0119059",".0146035",".8152764",".4159976"
"lnta",".0125472",".0111179","1.128555",".2605961"
"lev",".0419199",".0390542","1.073378",".2845466"
"roa","-.8045183",".0711803","-11.30254","1.06e-22"
"mb","-.0022876",".0014369","-1.59201",".1131469"
"largest","-.0157127",".0544409","-.2886187",".7732071"
"board","-.0007628",".0268675","-.0283923",".9773809"
"dual",".0008861",".0078371",".1130603",".9101095"
"indep",".1076805",".0591471","1.820554",".0703447"
"manshare","-.3401421",".3652614","-.9312293",".3529892"
"big4",".0316235",".0217551","1.453613",".1478046"
"lngdppc",".0258304",".0218913","1.179935",".239592"
"sec",".0223186",".0880787",".2533941",".8002545"
"lngovrev",".0024203",".0181029",".1336978",".8937918"
"govbalance",".0177138",".0110637","1.60108",".1111226"
"finv",".2296065",".2386121",".9622583",".337218"
"edu","-.0243103",".0176874","-1.374441",".1710232"
"_cons","-.4361918",".4407771","-.9895974",".3237068"
"N","5331","","",""
"r2",".6065867","","",""
"df_m","27","","",""
"df_r","179","","",""
"df_b","","","",""
"df","","","",""
