"","m1","","",""
"","b","se","t","p"
"local_city","-.4714656",".1430002","-3.296957",".0011059"
"male",".0553332",".0990811",".5584635",".5769823"
"age",".0106343",".0093969","1.131681",".2587544"
"tenure","-.0772334",".0308996","-2.499495",".0130202"
"tenure2",".0076656",".0028294","2.70927",".0071665"
"edulevel",".0367569",".0642435",".5721491",".5676884"
"edufin","-.3062969",".0715941","-4.278243",".000026"
"fromaud",".1247037",".0756456","1.648526",".1003866"
"fromfin","-.4180168",".1093207","-3.823765",".0001626"
"fromsup","-.0097608",".1384125","-.0705195",".9438314"
"fromcitygov",".2391786",".1039915","2.299983",".0221982"
"lngdppc",".2737215",".2934362",".9328142",".3517342"
"sec","-.9769841",".8222873","-1.18813",".2358073"
"lnpop","1.521825",".6791143","2.240897",".025831"
"lngovrev",".2061935",".1899829","1.085327",".2787274"
"govbalance",".0638057",".046527","1.37137",".1713776"
"finv","-1.568694","2.292433","-.684292",".494367"
"edu","-.1118973",".1558952","-.7177724",".4735069"
"_cons","-2.052131","5.459703","-.3758686",".7073044"
"N","2939","","",""
"r2",".8270488","","",""
"df_m","18","","",""
"df_r","275","","",""
"df_b","","","",""
"df","","","",""
