"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","","","est11","","","","est12","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"contest3P_","-.0527717",".0170682","-3.091807",".0020154","-.0663259",".0170593","-3.887954",".0001042","-.049541",".016947","-2.923295",".0035003","-.0422064",".0166731","-2.531408",".0114326","-.0401511",".0165821","-2.42135",".0155468","-.03266",".0132828","-2.458823",".0140191","-.005948",".0043572","-1.365101",".1723668","-.0045753",".0043363","-1.05512",".2914912","-.0030949",".004362","-.7095144",".4780837","-.0024843",".0043433","-.5719978",".5673845","-.0014245",".0042594","-.3344298",".7380885",".0013643",".0018953",".7198512",".4716964"
"scoreP1","","","","","-1.586733",".1931593","-8.214635","3.67e-16","-1.037581",".1993168","-5.205685","2.12e-07","-.5759842",".1888655","-3.049705",".0023191","-.6548228",".1905711","-3.436108",".0006016","-1.090188",".2008203","-5.428676","6.33e-08","","","","",".1541608",".0525262","2.93493",".0033723",".1885241",".0532909","3.537643",".0004124",".2233045",".0530647","4.208156",".0000268",".1820512",".0567519","3.207841",".0013574",".0212436",".0611588",".3473523",".7283613"
"gouv","","","","","","","","","","","","",".0650993",".0379237","1.716588",".0862012",".0616311",".0380294","1.62062",".1052485",".0243427",".0380406",".6399139",".522298","","","","","","","","","","","","","-.0020276",".0104311","-.1943816",".8458958","-.0038109",".0106471","-.3579237",".7204362","-.0009236",".0097638","-.0945918",".924648"
"entry","","","","","","","","","","","","",".1224056",".021568","5.675335","1.57e-08",".1218708",".0215471","5.65603","1.76e-08",".1218529",".0205604","5.926574","3.60e-09","","","","","","","","","","","","",".0047223",".004946",".9547665",".3398052",".004386",".0048944",".8961121",".3702952",".0010082",".0044345",".2273586",".8201669"
"incumbent","","","","","","","","","","","","","-.1115752",".0223309","-4.996438","6.32e-07","-.1086523",".0222485","-4.88359","1.12e-06","-.084651",".0219808","-3.851134",".0001211","","","","","","","","","","","","","-.0096134",".005462","-1.76005",".0785443","-.008138",".0055021","-1.479065",".1392723","-.0065442",".0051049","-1.281963",".1999966"
"_Ilocalmand_1","","","","","","","","","","","","","-.1098184",".0199453","-5.505985","4.12e-08","-.1118191",".0199478","-5.605598","2.35e-08","-.1043526",".0211962","-4.923167","9.18e-07","","","","","","","","","","","","",".0092525",".0047245","1.958396",".0503152",".0081411",".004718","1.725539",".0845769",".0015033",".0041016",".3665156",".7140171"
"_Ilocalmand_2","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".",".","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".","."
"age_ind_occ_egap","","","","","","","","","","","","","","","","","-.73768",".2324361","-3.173689",".0015268","-1.06113",".3357187","-3.160771",".0015958","","","","","","","","","","","","","","","","","-.385356",".0600463","-6.417652","1.70e-10","-.1902284",".0600489","-3.167894",".0015575"
"_cons",".3655166",".0110649","33.03398","2.9e-193",".7265815",".0445492","16.30965","2.05e-56",".5979791",".0459618","13.01035","2.78e-37",".5431003",".0476837","11.38965","3.29e-29",".660617",".0603669","10.94337","3.78e-27",".7891999",".0682972","11.55537","5.42e-30",".0866255",".0026958","32.13295","9.7e-185",".0515049",".0119655","4.304431",".0000175",".0433116",".0121507","3.564532",".0003726",".0310833",".0129121","2.407296",".0161565",".0925964",".0167214","5.537609","3.45e-08",".1065306",".0162695","6.547851","7.31e-11"
"N","3880","","","","3880","","","","3874","","","","3874","","","","3874","","","","3874","","","","3869","","","","3869","","","","3863","","","","3863","","","","3863","","","","3863","","",""
"r2",".0467865","","","",".0733013","","","",".1304649","","","",".1745744","","","",".1781092","","","",".3768187","","","",".0510376","","","",".0559043","","","",".0707566","","","",".0747756","","","",".0935378","","","",".5020446","","",""
"df_m","1","","","","2","","","","2","","","","6","","","","7","","","","7","","","","1","","","","2","","","","2","","","","6","","","","7","","","","7","","",""
"df_r","2111","","","","2111","","","","2111","","","","2111","","","","2111","","","","2111","","","","2109","","","","2109","","","","2109","","","","2109","","","","2109","","","","2109","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
