"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"inter","-.4182436",".0548691","-7.622573","3.26e-14","-.3693553",".0393769","-9.38","1.21e-20","-.2793197",".0368437","-7.581197","4.46e-14","-.1990081",".034988","-5.687895","1.40e-08","-.0799545",".0332675","-2.40338",".016301","","","",""
"F","-.0118794",".0068471","-1.734954",".0828456","","","","","","","","","","","","","","","","","","","",""
"inter3","","","","","","","","",".1117262",".0562992","1.984506",".047285",".0891258",".05764","1.546249",".1221437",".0744712",".0546439","1.362844",".173028",".0744824",".0546086","1.363932",".1726853"
"inter4","","","","","","","","",".059248",".0311516","1.901922",".0572714",".0380609",".0309077","1.231439",".2182494","-.0251166",".0307121","-.8178083",".4135278","-.0247236",".0307082","-.8051145",".4208136"
"inter4b","","","","","","","","","-.1647664",".0632024","-2.606964",".0091774","-.1737215",".0627755","-2.767347",".0056841","-.2034453",".0561242","-3.624911",".0002936","-.2040835",".0562152","-3.630397",".0002874"
"intermissage","","","","","","","","",".0961809",".0977499",".9839493",".3252151","-.0269459",".0951928","-.2830663",".7771444",".0228912",".0882077",".259515",".7952546",".0217574",".0880826",".2470109",".8049157"
"interage","","","","","","","","",".0084094",".0015199","5.532854","3.41e-08",".003108",".0016245","1.91327",".055803",".0022445",".0015207","1.47596",".1400534",".0022323",".0015207","1.467958",".1422142"
"interincumbent","","","","","","","","","","","","",".2950134",".0348549","8.464038","3.88e-17",".2315711",".0318793","7.264005","4.70e-13",".2323159",".0318353","7.297429","3.68e-13"
"intergouv","","","","","","","","","","","","",".0218846",".0857914",".2550912",".7986691",".0363689",".0825716",".4404524",".6596393",".0350867",".0826329",".4246089",".6711505"
"interentry","","","","","","","","","","","","",".0414858",".0381744","1.086745",".2772316",".0199899",".0351977",".5679305",".5701221",".0196999",".0352143",".5594287",".5759085"
"inter2","","","","","","","","","","","","","","","","",".3550062",".0219576","16.16783","1.42e-56",".3485069",".0282784","12.32413","3.97e-34"
"interR","","","","","","","","","","","","","","","","","","","","","-.0637607",".0464383","-1.373022",".1698421"
"interL","","","","","","","","","","","","","","","","","","","","","-.0893651",".0417667","-2.139625",".0324608"
"_cons",".2299603",".0015475","148.6057","0",".2251397",".0011946","188.4583","0",".1745396",".00905","19.28612","1.75e-78",".1882769",".0099883","18.84966","3.14e-75",".1770112",".0094293","18.77243","1.17e-74",".1774092",".009487","18.70016","3.96e-74"
"N","7.89e+08","","","","7.89e+08","","","","7.89e+08","","","","7.89e+08","","","","7.89e+08","","","","7.89e+08","","",""
"r2",".7013996","","","",".9135009","","","",".9142177","","","",".9148559","","","",".9166226","","","",".9166234","","",""
"df_m","2","","","","1","","","","6","","","","9","","","","10","","","","11","","",""
"df_r","3189","","","","3189","","","","3189","","","","3189","","","","3189","","","","3189","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
