"","pu3","","","","est2","","","","pr3","","","","est4","","","","to3","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Ileaid_2201290","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_2201740","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_2400090","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_2502790","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_2511130","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_2612000","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_2616440","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_2621150","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_2721240","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_2916400","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_2929280","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3174820","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3200060","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3407830","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3411340","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3605850","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3624750","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3702970","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3703330","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3904348","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3904375","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3904378","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3904380","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3904384","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_3904490","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4017250","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4022770","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4030240","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4110040","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4218990","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4219170","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4501440","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4502310","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4503360","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4702940","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4703180","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4808130","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4808940","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4816230","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4818000","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4818300","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4819700","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4823640","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4828500","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4838730","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_4844280","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_5102670","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_5103300","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_5307710","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_5308700","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_5509600","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_Ileaid_9999999","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"year","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_IleaXyea_102370","","","","",".0021733","2.82e-07","7693.22","2.6e-266","","","","","-.0332904",".",".",".","","","","",".0008428",".",".","."
"_IleaXyea_408800","","","","","-.0241869",".0003813","-63.42895","4.09e-77","","","","",".009288",".0009427","9.852208","5.20e-16","","","","","-.0101871",".0002393","-42.56832","7.13e-62"
"_IleaXyea_509000","","","","",".0305875","2.82e-07","108276.7","0","","","","","-.0231592",".",".",".","","","","",".0213084",".",".","."
"_IleaXyea_614550","","","","","-.0169629",".0003813","-44.4843","1.56e-63","","","","","-.0353854",".0009427","-37.53502","3.63e-57","","","","","-.0125919",".0002393","-52.61716","6.35e-70"
"_IleaXyea_622710","","","","","-.0333083",".0003813","-87.34951","1.48e-89","","","","",".0040752",".0009427","4.322792",".0000393","","","","","-.0211236",".0002393","-88.26836","5.79e-90"
"_IleaXyea_628050","","","","","-.0297788",".0003813","-78.09356","3.47e-85","","","","",".0188249",".0009427","19.96851","5.10e-35","","","","","-.0138629",".0002393","-57.92815","1.29e-73"
"_IleaXyea_633840","","","","","-.0005525","2.59e-07","-2133.767","1.3e-215","","","","",".0130208",".",".",".","","","","",".0053749",".",".","."
"_IleaXyea_634170","","","","","-.0050851",".0003813","-13.33531","4.02e-23","","","","",".0180288",".0009427","19.124","1.23e-33","","","","",".000884",".0002393","3.693737",".0003768"
"_IleaXyea_634320","","","","","-.0130739",".0003813","-34.28578","8.03e-54","","","","","-.0066821",".0009427","-7.088043","2.82e-10","","","","","-.0035378",".0002393","-14.78306","6.36e-26"
"_IleaXyea_634410","","","","","-.0545325","2.59e-07","-210588.5","0","","","","","-.0118037",".",".",".","","","","","-.0361391",".",".","."
"_IleaXyea_634590","","","","","-.0121862",".0003813","-31.95765","2.97e-51","","","","",".0392491",".0010198","38.4883","4.24e-58","","","","",".0055122",".0002393","23.03362","9.73e-40"
"_IleaXyea_640740","","","","","-.0262201","2.59e-07","-101254.5","0","","","","",".0432633",".",".",".","","","","","-.0132105",".",".","."
"_IleaXyea_803360","","","","","-.0213819","2.59e-07","-82570.73","0","","","","","-.0243628",".",".",".","","","","","-.0145701",".",".","."
"_IleaXyea_901920","","","","","-.0176407",".0003813","-46.26194","5.11e-65","","","","",".012753",".0009427","13.52774","1.68e-23","","","","","-.0128832",".0002393","-53.83436","8.45e-71"
"_IleaXyea_1200150","","","","",".0298758","2.82e-07","105757.2","0","","","","",".1019817",".",".",".","","","","",".0246612",".",".","."
"_IleaXyea_1200180","","","","",".0399082","2.82e-07","141270.9","0","","","","",".0676876",".",".",".","","","","",".0368522",".",".","."
"_IleaXyea_1200390","","","","",".0378136","2.82e-07","133856.1","0","","","","",".048482",".",".",".","","","","",".0310921",".",".","."
"_IleaXyea_1200480","","","","",".0115983","2.82e-07","41056.8","0","","","","",".032229",".",".",".","","","","",".009979",".",".","."
"_IleaXyea_1200870","","","","",".0245624","2.82e-07","86948.28","0","","","","",".0065075",".",".",".","","","","",".0181138",".",".","."
"_IleaXyea_1201080","","","","",".0354707","2.82e-07","125562.6","0","","","","",".0597029",".",".",".","","","","",".0263573",".",".","."
"_IleaXyea_1201440","","","","",".0332285","2.82e-07","117625.5","0","","","","",".0412336",".",".",".","","","","",".0278433",".",".","."
"_IleaXyea_1201500","","","","",".0258461","2.82e-07","91492.45","0","","","","",".0458013",".",".",".","","","","",".0195387",".",".","."
"_IleaXyea_1201590","","","","",".016563","2.82e-07","58631.24","0","","","","",".0374213",".",".",".","","","","",".009859",".",".","."
"_IleaXyea_1201920","","","","",".012083","2.82e-07","42772.62","0","","","","",".035231",".",".",".","","","","",".0112389",".",".","."
"_IleaXyea_1300120","","","","",".005146","2.82e-07","18216.15","2.3e-300","","","","","-.0134637",".",".",".","","","","",".005316",".",".","."
"_IleaXyea_1301830","","","","",".0218124",".0004552","47.91667","2.36e-66","","","","",".0983632",".0018639","52.77266","4.90e-70","","","","",".0174008",".0003718","46.80021","1.86e-65"
"_IleaXyea_1303870","","","","",".0171255","2.82e-07","60622.52","0","","","","",".01904",".",".",".","","","","",".0159321",".",".","."
"_IleaXyea_1709930","","","","","-.0346306",".0003813","-90.81723","4.46e-91","","","","","-.0041458",".0009427","-4.397704",".0000296","","","","","-.0268878",".0002393","-112.3546","2.06e-99"
"_IleaXyea_1734510","","","","","-.0038412","2.59e-07","-14833.74","3.0e-292","","","","","-.0002718",".",".",".","","","","","-.0025273",".",".","."
