"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"intervention","-.0216205",".0486975","-.4439765",".6597169",".5478938",".1230208","4.453667",".0000787","-.0084352",".1104684","-.0763584",".9395568",".3154497",".0884988","3.56445",".001051",".0362329",".0262325","1.381226",".1757234",".8115522",".1563896","5.189297","8.42e-06","-.0898896",".0413268","-2.175094",".0362713",".7156538",".1236665","5.786964","1.34e-06",".1354421",".052302","2.589616",".0137806",".5524256",".0950275","5.813325","1.23e-06"
"pacified","-.068847",".0340049","-2.024618",".0503735",".7145413",".094318","7.575878","5.85e-09","-.138257",".0653448","-2.115806",".0413455",".244561",".0671383","3.642645",".000843",".0156982",".017014",".9226637",".3623253",".7513917",".1286385","5.841109","1.13e-06","-.1649788",".0423564","-3.895015",".0004091",".8063639",".0924771","8.719605","2.11e-10",".1291066",".0340304","3.793866",".0005476",".5910894",".0662354","8.924071","1.19e-10"
"upp_timetrend1","-.0011566",".0011531","-1.002989",".3225603","-.0057388",".0016001","-3.586526",".0009878",".0038223",".0014552","2.626704",".0125847",".0006518",".0013365",".487715",".6287089",".0005614",".0005937",".9455078",".350703",".0003505",".001784",".1964704",".8453469",".0019635",".0009546","2.056885",".0469989","-.0040574",".0019881","-2.040865",".0486487",".0003138",".0011132",".281874",".7796542","-.0004414",".0011191","-.3944156",".6956012"
"upp_timetrend2",".0042084",".001153","3.64998",".0008256",".0062811",".0015991","3.927956",".0003718",".0048097",".001455","3.305623",".0021532",".0088331",".0013358","6.612677","1.06e-07",".0006763",".0005937","1.139039",".2622097",".0046679",".0017816","2.620051",".0127919",".0065378",".0009533","6.858345","5.04e-08","-.0054405",".0019886","-2.735855",".0095986",".0020735",".001113","1.862912",".0706501",".0154932",".0011182","13.85497","5.35e-16"
"upp_timetrend3","-.0016322",".0011465","-1.423635",".1631621","-6.82e-06",".0015668","-.0043499",".9965533","-.0196876",".0014441","-13.63285","8.73e-16","-.0093704",".0013143","-7.129629","2.22e-08",".0004636",".000591",".784469",".4378968","-.0079219",".0017386","-4.556441",".0000578","-.0042957",".000939","-4.574604",".0000547","-.011032",".0019569","-5.637391","2.12e-06","-.0017239",".0011072","-1.557079",".1282004","-.0097039",".0010907","-8.897036","1.28e-10"
"upp_timetrend4","-.0006757",".0011466","-.5893642",".5592977","-.0059561",".0015512","-3.839593",".0004801",".0032932",".0014539","2.265029",".0296274","-.004463",".0013001","-3.432706",".0015181",".0006312",".0005957","1.059685",".2963462",".0091075",".0016715","5.448651","3.79e-06",".0018411",".0008906","2.067243",".0459585","-.0094223",".0020104","-4.686836",".000039","-.0010083",".0011036","-.9136772",".3669655",".0077411",".0010761","7.193537","1.83e-08"
"upp_timetrend5",".0006832",".0011432",".597657",".55381","-.0090737",".0015465","-5.867167","1.05e-06","-.001523",".0014396","-1.057963",".29712","-.002819",".0013001","-2.168245",".0368278",".0011442",".0005904","1.937876",".0605127","-.0097206",".0017013","-5.713704","1.68e-06",".0022387",".0009211","2.430371",".0201957","-.0103514",".001953","-5.300255","5.99e-06","-.0003672",".0011032","-.3328445",".7411822","-.0068698",".0010731","-6.402058","2.02e-07"
"upp_timetrend6","-.0016166",".0011101","-1.456261",".1539873","-.0020997",".0013921","-1.508344",".1401934",".0010806",".0014009",".7713549",".4455303",".0005354",".0011994",".4464044",".6579789",".0004923",".0005712",".8618507",".3944744",".0001489",".0015735",".0946454",".9251214",".001762",".0008846","1.991942",".0540045","-.0075753",".0016994","-4.457673",".0000777",".0003955",".0010804",".3661111",".716425","-.0024533",".000934","-2.626585",".0125884"
"upp_timetrend7","-.0050792",".0011444","-4.438406",".0000824","-.0017023",".0015559","-1.094105",".2811756","-.0097746",".0014407","-6.784765","6.30e-08",".0002964",".001307",".2267871",".8218722",".0008801",".0005901","1.49144",".1445575","-.0084058",".0017236","-4.877005",".0000219","-.0016357",".0009337","-1.751973",".0882938","-.007188",".0019472","-3.69147",".0007339",".0008884",".0011052",".8038583",".4267552","-.004407",".0010813","-4.075708",".0002416"
"upp_timetrend8",".0019817",".0011432","1.733532",".0915594","-.0056756",".0015465","-3.669891",".0007803",".0094668",".0014396","6.576152","1.19e-07",".0066499",".0013001","5.114853",".0000106",".0002721",".0005904",".4608027",".6477119","-.0096775",".0017013","-5.688387","1.81e-06",".000151",".0009211",".1638977",".8707284","-.0079692",".001953","-4.080489",".0002382",".0004146",".0011032",".3758586",".7092278","-.0011159",".0010731","-1.039915",".3053134"
"upp_timetrend9","-.0018711",".0011303","-1.655316",".1065538","-.003843",".0014798","-2.596911",".0135374","-.0035656",".0014211","-2.509049",".0167465","-.0031514",".0012549","-2.511359",".0166539",".0006961",".0005859","1.188176",".2425437","-.005924",".001607","-3.686337",".0007447",".0005291",".0008853",".5975778",".5538623","-.0078787",".0018976","-4.15204",".000193","-.0005908",".0010913","-.5413631",".5915921","-.0050246",".0010135","-4.957691",".0000171"
"upp_timetrend10","-.0077386",".0011127","-6.954561","3.77e-08","-.0055326",".001398","-3.957456",".0003413","-.0152374",".001397","-10.90748","5.80e-13","-.0032925",".001202","-2.739158",".0095194",".0029859",".0005754","5.18969","8.41e-06","-.0091577",".0015407","-5.943724","8.26e-07","-.0045751",".0008693","-5.26313","6.71e-06","-.0067953",".0017635","-3.853343",".0004615",".0046316",".0010789","4.292959",".0001271","-.0074554",".0009387","-7.941994","1.99e-09"
"upp_timetrend11","-.0003082",".0011403","-.2702947",".7884771","-.0067761",".0015319","-4.423446",".0000861","-.0062508",".001435","-4.35613",".0001053","-.0036905",".0012903","-2.860168",".0070051",".0012198",".0005892","2.070207",".0456644","-.0079946",".0016817","-4.753783",".0000318",".0022655",".0009145","2.4774",".0180636","-.011429",".0019388","-5.894824","9.60e-07","-.0018712",".0011005","-1.700208",".0977172","-.0059667",".0010602","-5.627838","2.19e-06"
