	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	faculty	costs	instatetuition	totcohortsize	per_urm	per_white	per_fem
							
semester2	-0.282	6.435	346.717***	-33.185	-0.011	0.009	-0.003
	(6.733)	(7.961)	(115.741)	(40.368)	(0.008)	(0.008)	(0.004)
Constant	110,422.862***	78,648.717***	-452,410.752***	70,637.938***	1.845***	-3.289***	-2.453***
	(52.071)	(61.547)	(895.778)	(310.244)	(0.061)	(0.060)	(0.033)
							
Observations	13,889	13,889	13,889	13,889	13,889	13,889	13,889
R-squared	0.988	0.989	0.996	0.987	0.969	0.973	0.918
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
