------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  E:\Dropbox\Dropbox\Academic Calendar\AEJ Policy\Files for Publication\Replication\\Output\figure_A2a_DnD.txt
  log type:  text
 opened on:  20 Oct 2020, 16:09:19

. areg gradrate4yr  block1 block2     i.year c.year#i.unitid $timevar   [aw=meansize] , cluster(unitid) abs(unitid)
(sum of wgt is   1.5022e+07)
note: 243780.unitid#c.year omitted because of collinearity

Linear regression, absorbing indicators         Number of obs     =     13,836
                                                F(  25,    730)   =          .
                                                Prob > F          =          .
                                                R-squared         =     0.9814
                                                Adj R-squared     =     0.9792
                                                Root MSE          =     0.0304

                                 (Std. Err. adjusted for 731 clusters in unitid)
--------------------------------------------------------------------------------
               |               Robust
   gradrate4yr |      Coef.   Std. Err.      t    P>|t|     [95% Conf. Interval]
---------------+----------------------------------------------------------------
       174914  |   .0022782    .001384     1.65   0.100    -.0004388    .0049952
       175342  |  -.0099607   .0014234    -7.00   0.000    -.0127551   -.0071663
       175421  |  -.0036708   .0013725    -2.67   0.008    -.0063653   -.0009762
       175616  |    -.01203   .0014292    -8.42   0.000    -.0148358   -.0092242
       175856  |  -.0047601   .0012777    -3.73   0.000    -.0072684   -.0022517
       175980  |  -.0055129   .0014484    -3.81   0.000    -.0083564   -.0026694
       176017  |  -.0044036   .0010759    -4.09   0.000    -.0065159   -.0022913
       176035  |  -.0090953   .0014574    -6.24   0.000    -.0119565    -.006234
       176044  |   -.009394   .0013556    -6.93   0.000    -.0120554   -.0067326
       176080  |  -.0028135   .0009969    -2.82   0.005    -.0047707   -.0008563
       176406  |  -.0079457   .0013933    -5.70   0.000    -.0106811   -.0052103
       176628  |  -.0088166   .0014159    -6.23   0.000    -.0115963    -.006037
       176947  |  -.0012722   .0014231    -0.89   0.372     -.004066    .0015216
       176965  |   .0005835   .0013737     0.42   0.671    -.0021133    .0032803
       177418  |  -.0137368   .0013091   -10.49   0.000    -.0163068   -.0111668
       178059  |  -.0075708   .0014208    -5.33   0.000    -.0103601   -.0047814
       178341  |  -.0057716   .0014157    -4.08   0.000    -.0085509   -.0029924
       178387  |  -.0066179   .0014074    -4.70   0.000     -.009381   -.0038548
       178396  |  -.0000308   .0005572    -0.06   0.956    -.0011248    .0010631
       178402  |  -.0026422   .0011309    -2.34   0.020    -.0048625   -.0004219
       178411  |   .0010327   .0012937     0.80   0.425    -.0015071    .0035725
       178420  |  -.0012866    .001267    -1.02   0.310     -.003774    .0012008
       178615  |   .0033344   .0013792     2.42   0.016     .0006268     .006042
       179043  |   .0025315   .0014012     1.81   0.071    -.0002194    .0052824
       179159  |   .0023018   .0015143     1.52   0.129    -.0006711    .0052748
       179557  |  -.0034242   .0013358    -2.56   0.011    -.0060466   -.0008017
       179566  |   .0000106   .0012662     0.01   0.993    -.0024752    .0024963
       179867  |  -.0009292   .0015793    -0.59   0.556    -.0040297    .0021713
       179894  |  -.0013291   .0012993    -1.02   0.307      -.00388    .0012218
       179946  |  -.0023351   .0014053    -1.66   0.097     -.005094    .0004238
       180179  |  -.0083944   .0013551    -6.19   0.000    -.0110547   -.0057341
       180461  |   -.003028   .0011266    -2.69   0.007    -.0052398   -.0008163
       180522  |  -.0096869   .0014085    -6.88   0.000    -.0124522   -.0069217
       180984  |   .0007587    .001415     0.54   0.592    -.0020193    .0035367
       181002  |  -.0004631   .0013576    -0.34   0.733    -.0031284    .0022022
       181020  |  -.0066999   .0014131    -4.74   0.000     -.009474   -.0039257
       181127  |  -.0059089    .001386    -4.26   0.000    -.0086299   -.0031879
       181215  |  -.0009292   .0014089    -0.66   0.510    -.0036951    .0018367
       181394  |    -.00451   .0012977    -3.48   0.001    -.0070576   -.0019624
       181446  |   -.001893    .001427    -1.33   0.185    -.0046944    .0009084
       181464  |   .0040163   .0009329     4.31   0.000     .0021849    .0058477
       181534  |  -.0076525   .0014548    -5.26   0.000    -.0105087   -.0047963
       181783  |  -.0037743   .0014572    -2.59   0.010     -.006635   -.0009136
       182281  |   -.007269   .0010166    -7.15   0.000    -.0092647   -.0052733
       182290  |  -.0050444   .0009161    -5.51   0.000     -.006843   -.0032459
       182634  |  -.0064336   .0015721    -4.09   0.000    -.0095199   -.0033472
       182795  |  -.0073696   .0014459    -5.10   0.000    -.0102082    -.004531
       183062  |   .0105659   .0013522     7.81   0.000     .0079112    .0132206
       183080  |   .0042269   .0013496     3.13   0.002     .0015774    .0068765
       183239  |  -.0040355   .0015532    -2.60   0.010    -.0070848   -.0009862
       183822  |  -.0048288   .0013549    -3.56   0.000    -.0074887   -.0021688
       183974  |   .0148196   .0013699    10.82   0.000     .0121302    .0175089
       184348  |  -.0137687   .0016023    -8.59   0.000    -.0169144    -.010623
       184603  |    .001278   .0016024     0.80   0.425    -.0018679    .0044238
       184612  |   .0018987   .0014283     1.33   0.184    -.0009053    .0047028
       184782  |   .0065493   .0011561     5.67   0.000     .0042797    .0088189
       185129  |  -.0081096   .0013729    -5.91   0.000    -.0108049   -.0054143
       185572  |   .0080069   .0013412     5.97   0.000      .005374    .0106399
       185590  |   .0059313   .0011808     5.02   0.000     .0036132    .0082494
       185828  |   .0009806   .0012337     0.79   0.427    -.0014414    .0034026
       186131  |  -.0084026   .0011114    -7.56   0.000    -.0105845   -.0062208
       186201  |   .0190111   .0013487    14.10   0.000     .0163634    .0216589
       186283  |   .0014962   .0014646     1.02   0.307    -.0013792    .0043715
       186584  |   .0022926   .0014286     1.60   0.109    -.0005121    .0050974
       186876  |   .0022032   .0012896     1.71   0.088    -.0003286    .0047351
       187134  |   .0036956   .0013006     2.84   0.005     .0011421     .006249
       187444  |  -.0008963   .0012914    -0.69   0.488    -.0034317     .001639
       187985  |  -.0071447   .0007609    -9.39   0.000    -.0086386   -.0056508
       188030  |   -.005319   .0011383    -4.67   0.000    -.0075537   -.0030842
       188429  |   .0047028   .0013891     3.39   0.001     .0019757      .00743
       188641  |  -.0120743    .001359    -8.88   0.000    -.0147423   -.0094064
       190044  |  -.0050576   .0015167    -3.33   0.001    -.0080353     -.00208
       190099  |  -.0040927   .0016848    -2.43   0.015    -.0074002   -.0007851
       190150  |  -.0049657   .0029897    -1.66   0.097     -.010835    .0009037
       190248  |   -.003513   .0014991    -2.34   0.019    -.0064561     -.00057
       190415  |   -.005369   .0013753    -3.90   0.000    -.0080689    -.002669
       190512  |    .012862   .0013522     9.51   0.000     .0102073    .0155167
       190549  |  -7.62e-06   .0014581    -0.01   0.996    -.0028702    .0028549
       190558  |  -.0065599   .0013789    -4.76   0.000    -.0092671   -.0038528
       190567  |  -.0051905   .0013736    -3.78   0.000    -.0078871   -.0024938
       190594  |   .0031896   .0013069     2.44   0.015     .0006239    .0057553
       190637  |   -.000831   .0013446    -0.62   0.537    -.0034707    .0018088
       190664  |   .0006208   .0013935     0.45   0.656     -.002115    .0033565
       190691  |  -.0091978   .0014755    -6.23   0.000    -.0120946    -.006301
       190725  |  -.0006047    .001435    -0.42   0.674    -.0034219    .0022125
       191241  |   .0001831    .001548     0.12   0.906     -.002856    .0032222
       191515  |  -.0022869   .0017026    -1.34   0.180    -.0056294    .0010557
       191533  |   -.007652   .0015483    -4.94   0.000    -.0106916   -.0046123
       191630  |   .0010298   .0018138     0.57   0.570    -.0025311    .0045907
       191649  |   -.001094   .0013877    -0.79   0.431    -.0038182    .0016303
       191676  |  -.0015145   .0014693    -1.03   0.303     -.004399      .00137
       191931  |   .0074544   .0015387     4.84   0.000     .0044335    .0104753
       191968  |  -.0023609   .0015283    -1.54   0.123    -.0053612    .0006395
       192192  |  -.0029442   .0013987    -2.11   0.036    -.0056901   -.0001983
       192323  |  -.0116429   .0014775    -7.88   0.000    -.0145435   -.0087422
       192439  |  -.0061372   .0015798    -3.88   0.000    -.0092387   -.0030356
       192703  |  -.0021695   .0013892    -1.56   0.119    -.0048968    .0005578
       192749  |  -.0040815   .0014863    -2.75   0.006    -.0069994   -.0011636
       192819  |   .0040875   .0014368     2.84   0.005     .0012668    .0069082
       192925  |   .0006871   .0014143     0.49   0.627    -.0020895    .0034637
       193016  |  -.0001154   .0013417    -0.09   0.931    -.0027495    .0025187
       193292  |   .0022541   .0013901     1.62   0.105    -.0004749    .0049831
       193353  |  -.0054097   .0014024    -3.86   0.000     -.008163   -.0026565
       193399  |  -.0113274    .001395    -8.12   0.000     -.014066   -.0085887
       193584  |  -.0037847     .00143    -2.65   0.008    -.0065922   -.0009773
       193645  |  -.0053648   .0014907    -3.60   0.000    -.0082913   -.0024383
       193654  |    .000901   .0014889     0.61   0.545    -.0020221    .0038241
       193900  |  -.0033372   .0019145    -1.74   0.082    -.0070957    .0004213
       193973  |   .0045224   .0013947     3.24   0.001     .0017842    .0072605
       194161  |  -.0092969   .0013301    -6.99   0.000    -.0119081   -.0066857
       194310  |  -.0043919   .0016136    -2.72   0.007    -.0075598    -.001224
       194824  |    .003016   .0015733     1.92   0.056    -.0000728    .0061047
       195003  |    .001568   .0013873     1.13   0.259    -.0011555    .0042916
       195030  |  -.0127184   .0022429    -5.67   0.000    -.0171217    -.008315
       195164  |  -.0079698   .0014961    -5.33   0.000    -.0109069   -.0050326
       195173  |  -.0046386   .0013466    -3.44   0.001    -.0072823    -.001995
       195216  |  -.0001643   .0017056    -0.10   0.923    -.0035127    .0031842
       195234  |  -.0041226    .001353    -3.05   0.002    -.0067788   -.0014664
       195243  |   -.004716   .0014091    -3.35   0.001    -.0074824   -.0019496
       195304  |   .0030762   .0017201     1.79   0.074    -.0003008    .0064531
       195474  |  -.0065426   .0014384    -4.55   0.000    -.0093665   -.0037188
       195526  |    .003874   .0016807     2.31   0.021     .0005745    .0071735
       195544  |  -.0120957    .001356    -8.92   0.000    -.0147578   -.0094335
       195809  |   .0014553   .0015592     0.93   0.351    -.0016058    .0045164
       196413  |  -.0006444   .0013848    -0.47   0.642    -.0033631    .0020744
       196592  |  -.0060101   .0011586    -5.19   0.000    -.0082846   -.0037356
       197045  |   -.007105   .0014223    -5.00   0.000    -.0098973   -.0043126
       197133  |  -.0002659   .0016981    -0.16   0.876    -.0035996    .0030678
       197869  |   .0000844   .0011637     0.07   0.942    -.0022002     .002369
       197984  |  -.0069531   .0014513    -4.79   0.000    -.0098023   -.0041039
       198385  |  -.0043074   .0015477    -2.78   0.006    -.0073459   -.0012689
       198464  |  -.0015223   .0008199    -1.86   0.064    -.0031318    .0000873
       198507  |  -.0214217   .0014347   -14.93   0.000    -.0242383    -.018605
       198516  |   .0078098   .0013632     5.73   0.000     .0051336     .010486
       198835  |  -.0107649   .0014833    -7.26   0.000    -.0136769   -.0078528
       198969  |   -.008134   .0014355    -5.67   0.000    -.0109521   -.0053158
       199102  |  -.0118716   .0012689    -9.36   0.000    -.0143627   -.0093806
       199111  |  -.0037037   .0014167    -2.61   0.009     -.006485   -.0009225
       199120  |   .0002268   .0011535     0.20   0.844    -.0020378    .0024913
       199139  |  -.0051131   .0010619    -4.82   0.000    -.0071978   -.0030284
       199148  |  -.0048102   .0011744    -4.10   0.000    -.0071159   -.0025045
       199157  |  -.0135093   .0013153   -10.27   0.000    -.0160916    -.010927
       199193  |   .0016087   .0005278     3.05   0.002     .0005725    .0026449
       199218  |    .004899   .0012112     4.04   0.000     .0025211    .0072769
       199281  |  -.0096397   .0013787    -6.99   0.000    -.0123465    -.006933
       199306  |  -.0027699   .0014004    -1.98   0.048    -.0055193   -.0000205
       199412  |  -.0012817    .001391    -0.92   0.357    -.0040126    .0014492
       199582  |  -.0044247   .0013477    -3.28   0.001    -.0070704   -.0017789
       199643  |  -.0157029   .0013751   -11.42   0.000    -.0184025   -.0130033
       199847  |  -.0013067   .0016123    -0.81   0.418     -.004472    .0018586
       199962  |      .0036   .0014347     2.51   0.012     .0007834    .0064167
       199999  |  -.0120046   .0013275    -9.04   0.000    -.0146108   -.0093983
       200004  |  -.0001238   .0013362    -0.09   0.926    -.0027471    .0024995
       200059  |  -.0049851   .0014419    -3.46   0.001    -.0078159   -.0021543
       200156  |  -.0082639   .0014142    -5.84   0.000    -.0110403   -.0054874
       200217  |  -.0075366   .0013554    -5.56   0.000    -.0101976   -.0048756
       200226  |  -.0053781   .0014598    -3.68   0.000    -.0082441   -.0025121
       200253  |  -.0023207    .001418    -1.64   0.102    -.0051046    .0004632
       200280  |  -.0018725   .0012114    -1.55   0.123    -.0042507    .0005057
       200332  |   .0000624   .0011796     0.05   0.958    -.0022533    .0023782
       200572  |  -.0030784   .0014177    -2.17   0.030    -.0058616   -.0002952
       201104  |   .0011646   .0014361     0.81   0.418    -.0016547     .003984
       201371  |  -.0043918   .0015481    -2.84   0.005    -.0074311   -.0013525
       201548  |  -.0092803   .0014661    -6.33   0.000    -.0121585   -.0064021
       201645  |   .0016183   .0013582     1.19   0.234    -.0010482    .0042848
       201690  |  -.0053074    .001701    -3.12   0.002    -.0086469   -.0019679
       202134  |  -.0028902   .0014069    -2.05   0.040    -.0056522   -.0001282
       202480  |  -.0000867   .0015707    -0.06   0.956    -.0031704     .002997
       202523  |  -.0002102   .0015626    -0.13   0.893    -.0032779    .0028575
       202763  |  -.0048061   .0015465    -3.11   0.002    -.0078423     -.00177
       203085  |  -.0108091   .0014208    -7.61   0.000    -.0135984   -.0080198
       203128  |  -.0023835   .0014776    -1.61   0.107    -.0052844    .0005174
       203368  |  -.0060366   .0015455    -3.91   0.000    -.0090708   -.0030025
       203517  |  -.0013715   .0009941    -1.38   0.168    -.0033232    .0005803
       203535  |  -.0010369   .0016979    -0.61   0.542    -.0043702    .0022964
       203580  |  -.0050989   .0013809    -3.69   0.000      -.00781   -.0023879
       203775  |   .0021535   .0013705     1.57   0.117    -.0005371    .0048442
       203845  |  -.0043993   .0014434    -3.05   0.002     -.007233   -.0015656
       204024  |  -.0045781   .0010041    -4.56   0.000    -.0065494   -.0026067
       204185  |  -.0044443   .0013705    -3.24   0.001    -.0071348   -.0017538
       204194  |   .0037561   .0014017     2.68   0.008     .0010041     .006508
       204617  |  -.0043797   .0015031    -2.91   0.004    -.0073306   -.0014287
       204796  |   .0107877   .0050618     2.13   0.033     .0008502    .0207251
       204857  |  -.0058472   .0011608    -5.04   0.000    -.0081262   -.0035683
       206330  |  -.0019763   .0014204    -1.39   0.165    -.0047649    .0008123
       206589  |  -.0012525   .0016068    -0.78   0.436    -.0044071    .0019021
       206604  |  -.0023077   .0012498    -1.85   0.065    -.0047614     .000146
       206622  |   .0002295   .0014312     0.16   0.873    -.0025803    .0030393
       206695  |  -.0054678   .0014986    -3.65   0.000    -.0084099   -.0025258
       206914  |  -.0090575   .0014707    -6.16   0.000     -.011945   -.0061701
       207209  |  -.0088161    .001415    -6.23   0.000     -.011594   -.0060381
       207306  |   -.008134    .001458    -5.58   0.000    -.0109963   -.0052716
       207324  |  -.0007188    .001484    -0.48   0.628    -.0036322    .0021946
       207388  |   .0007157   .0009034     0.79   0.428    -.0010578    .0024893
       207500  |   .0047873   .0008049     5.95   0.000     .0032071    .0063675
       207722  |   .0040695   .0014865     2.74   0.006     .0011512    .0069877
       207847  |  -.0098103   .0014236    -6.89   0.000    -.0126052   -.0070154
       207865  |   -.006508   .0014436    -4.51   0.000     -.009342    -.003674
       208822  |  -.0008255   .0014316    -0.58   0.564    -.0036361    .0019851
       209056  |   .0046372   .0016042     2.89   0.004     .0014878    .0077867
       209065  |  -.0058777   .0015296    -3.84   0.000    -.0088805   -.0028748
       209542  |  -.0062535   .0009883    -6.33   0.000    -.0081938   -.0043132
       209551  |  -.0019828   .0009367    -2.12   0.035    -.0038218   -.0001439
       209612  |   .0009577   .0014915     0.64   0.521    -.0019705    .0038858
       209807  |  -.0064463    .001055    -6.11   0.000    -.0085176    -.004375
       209922  |   .0069932   .0016613     4.21   0.000     .0037316    .0102548
       210146  |  -.0049156   .0014559    -3.38   0.001    -.0077738   -.0020573
       210401  |  -.0043319   .0016314    -2.66   0.008    -.0075348   -.0011291
       210429  |  -.0059329   .0014019    -4.23   0.000    -.0086852   -.0031806
       210571  |  -.0138379   .0014978    -9.24   0.000    -.0167784   -.0108974
       210669  |  -.0005622   .0015299    -0.37   0.713    -.0035657    .0024414
       210775  |  -.0003038    .001491    -0.20   0.839    -.0032311    .0026234
       211088  |  -.0081154   .0015369    -5.28   0.000    -.0111328   -.0050981
       211158  |  -.0057985   .0013356    -4.34   0.000    -.0084205   -.0031766
       211291  |   -.005134   .0017395    -2.95   0.003    -.0085491   -.0017189
       211352  |  -.0099385    .001621    -6.13   0.000    -.0131208   -.0067561
       211361  |  -.0016865   .0014493    -1.16   0.245    -.0045317    .0011587
       211431  |   -.006261   .0013953    -4.49   0.000    -.0090002   -.0035217
       211440  |   .0001066   .0014386     0.07   0.941    -.0027177    .0029309
       211468  |  -.0096204   .0014406    -6.68   0.000    -.0124487   -.0067922
       211556  |  -.0066211   .0014676    -4.51   0.000    -.0095022   -.0037399
       211583  |  -.0153132   .0014417   -10.62   0.000    -.0181436   -.0124827
       211608  |  -.0091188   .0014736    -6.19   0.000    -.0120117   -.0062259
       211644  |  -.0038162   .0014312    -2.67   0.008    -.0066259   -.0010065
       211981  |    .000416   .0015263     0.27   0.785    -.0025804    .0034124
       212009  |  -.0009488   .0016697    -0.57   0.570    -.0042268    .0023292
       212054  |   .0021017   .0009826     2.14   0.033     .0001726    .0040308
       212106  |   .0002227   .0012579     0.18   0.860    -.0022469    .0026923
       212115  |   .0032389   .0013773     2.35   0.019     .0005351    .0059428
       212133  |  -.0078609   .0013291    -5.91   0.000    -.0104703   -.0052515
       212160  |  -.0060484   .0014414    -4.20   0.000    -.0088781   -.0032186
       212197  |   .0002566   .0015553     0.16   0.869    -.0027968      .00331
       212577  |   -.001689    .001581    -1.07   0.286    -.0047928    .0014149
       212601  |   -.003797   .0014475    -2.62   0.009    -.0066387   -.0009554
       212832  |  -.0192813   .0013509   -14.27   0.000    -.0219335   -.0166292
       212911  |  -.0047012   .0016665    -2.82   0.005    -.0079728   -.0014296
       213020  |  -.0020826    .001376    -1.51   0.131    -.0047839    .0006187
       213251  |  -.0029952   .0015308    -1.96   0.051    -.0060005    .0000101
       213321  |  -.0092285   .0014665    -6.29   0.000    -.0121076   -.0063494
       213349  |    .002838   .0013412     2.12   0.035      .000205    .0054711
       213358  |  -.0091172   .0014445    -6.31   0.000    -.0119532   -.0062813
       213367  |   -.009267   .0016783    -5.52   0.000    -.0125619    -.005972
       213385  |  -.0012529   .0015802    -0.79   0.428    -.0043553    .0018494
       213507  |   .0001186   .0015286     0.08   0.938    -.0028824    .0031196
       213543  |  -.0012636   .0015947    -0.79   0.428    -.0043944    .0018672
       213613  |  -.0048538   .0013994    -3.47   0.001    -.0076012   -.0021064
       213668  |  -.0030888   .0015364    -2.01   0.045    -.0061052   -.0000724
       213783  |  -.0093543   .0014456    -6.47   0.000    -.0121924   -.0065162
       213826  |   .0064734    .001445     4.48   0.000     .0036366    .0093101
       213996  |  -.0023679    .001474    -1.61   0.109    -.0052616    .0005259
       214041  |  -.0075417   .0013702    -5.50   0.000    -.0102317   -.0048517
       214069  |    .011808   .0013758     8.58   0.000      .009107     .014509
       214157  |  -.0067592   .0015356    -4.40   0.000    -.0097739   -.0037445
       214175  |  -.0018398   .0016234    -1.13   0.257    -.0050269    .0013473
       214272  |  -.0069406   .0013509    -5.14   0.000    -.0095927   -.0042885
       214777  |  -.0061683   .0036678    -1.68   0.093    -.0133689    .0010323
       215062  |  -.0092649   .0046089    -2.01   0.045    -.0183131   -.0002167
       215743  |  -.0002414   .0014882    -0.16   0.871     -.003163    .0026802
       215798  |  -.0019393   .0014696    -1.32   0.187    -.0048246    .0009459
       215929  |  -.0028886   .0016642    -1.74   0.083    -.0061557    .0003786
       216010  |  -.0070769   .0013778    -5.14   0.000    -.0097817    -.004372
       216038  |   .0088176    .001417     6.22   0.000     .0060357    .0115996
       216287  |   -.002297   .0015948    -1.44   0.150    -.0054279     .000834
       216339  |   .0045293   .0010531     4.30   0.000     .0024619    .0065968
       216524  |   -.002959   .0018792    -1.57   0.116    -.0066482    .0007302
       216694  |  -.0010377   .0014169    -0.73   0.464    -.0038193    .0017439
       216764  |   .0044621   .0013064     3.42   0.001     .0018973    .0070269
       216807  |  -.0067299   .0014897    -4.52   0.000    -.0096545   -.0038053
       216852  |  -.0042269   .0016402    -2.58   0.010     -.007447   -.0010067
       216931  |  -.0008609   .0014783    -0.58   0.560    -.0037631    .0020413
       217059  |  -.0072552   .0012935    -5.61   0.000    -.0097947   -.0047158
       217156  |  -.0038298   .0012786    -3.00   0.003    -.0063399   -.0013197
       217402  |  -.0053232   .0015951    -3.34   0.001    -.0084548   -.0021917
       217536  |   .0033973   .0015049     2.26   0.024     .0004428    .0063517
       217776  |   .0005777   .0014224     0.41   0.685    -.0022147    .0033702
       217819  |      .0057   .0014294     3.99   0.000     .0028938    .0085062
       217882  |   .0060962   .0009286     6.57   0.000     .0042732    .0079192
       217998  |  -.0143401    .001394   -10.29   0.000    -.0170769   -.0116034
       218061  |   -.007347   .0014702    -5.00   0.000    -.0102333   -.0044608
       218229  |  -.0043019   .0014159    -3.04   0.002    -.0070817   -.0015221
       218238  |  -.0042448   .0013535    -3.14   0.002     -.006902   -.0015876
       218399  |  -.0106568   .0013488    -7.90   0.000    -.0133048   -.0080088
       218414  |  -.0073384   .0014115    -5.20   0.000    -.0101095   -.0045674
       218663  |   .0074011   .0008615     8.59   0.000     .0057099    .0090923
       218724  |   .0006307   .0012393     0.51   0.611    -.0018024    .0030638
       218733  |  -.0106293   .0014266    -7.45   0.000      -.01343   -.0078285
       218742  |  -.0011605   .0013623    -0.85   0.395     -.003835    .0015141
       218973  |  -.0051014   .0015951    -3.20   0.001    -.0082329   -.0019699
       219000  |  -.0034442   .0014202    -2.43   0.016    -.0062323   -.0006561
       219046  |  -.0086579   .0014931    -5.80   0.000    -.0115893   -.0057266
       219082  |   -.001225   .0014242    -0.86   0.390    -.0040211    .0015711
       219198  |    .000771   .0013576     0.57   0.570    -.0018943    .0034363
       219259  |  -.0040023   .0015044    -2.66   0.008    -.0069558   -.0010488
       219356  |  -.0035525   .0013148    -2.70   0.007    -.0061336   -.0009713
       219471  |  -.0041286   .0014393    -2.87   0.004    -.0069542   -.0013029
       219602  |  -.0086895   .0013363    -6.50   0.000     -.011313    -.006066
       219709  |   .0097987   .0013444     7.29   0.000     .0071594     .012438
       219718  |  -.0031307   .0013397    -2.34   0.020    -.0057608   -.0005006
       219949  |  -.0037355   .0013702    -2.73   0.007    -.0064255   -.0010455
       220075  |  -.0026076   .0012097    -2.16   0.031    -.0049825   -.0002326
       220215  |  -.0010523   .0013673    -0.77   0.442    -.0037366    .0016321
       220613  |   .0015639    .001357     1.15   0.250    -.0011003    .0042281
       220631  |  -.0171081   .0013687   -12.50   0.000    -.0197952    -.014421
       220710  |  -.0051902    .001537    -3.38   0.001    -.0082077   -.0021727
       221351  |  -.0035765   .0015911    -2.25   0.025    -.0067002   -.0004527
       221519  |  -.0045542   .0016034    -2.84   0.005     -.007702   -.0014065
       221731  |  -.0014866   .0015224    -0.98   0.329    -.0044754    .0015023
       221847  |  -.0014056   .0013673    -1.03   0.304    -.0040899    .0012787
       221892  |   .0063436   .0013957     4.55   0.000     .0036035    .0090837
       222178  |     .00301   .0013538     2.22   0.026     .0003523    .0056678
       222983  |  -.0008272   .0015894    -0.52   0.603    -.0039475    .0022931
       223232  |   .0025837   .0013063     1.98   0.048     .0000191    .0051482
       224004  |  -.0063096   .0014531    -4.34   0.000    -.0091623   -.0034569
       224323  |   .0003157   .0014324     0.22   0.826    -.0024964    .0031277
       225432  |  -.0085962   .0012903    -6.66   0.000    -.0111294    -.006063
       225548  |   .0018998   .0014163     1.34   0.180    -.0008806    .0046803
       225627  |    .000478   .0013152     0.36   0.716    -.0021039    .0030599
       226231  |  -.0015873   .0014607    -1.09   0.278     -.004455    .0012804
       226833  |  -.0026407    .001495    -1.77   0.078    -.0055757    .0002944
       227216  |   .0014214   .0010139     1.40   0.161    -.0005691    .0034119
       227331  |  -.0031402   .0013907    -2.26   0.024    -.0058704   -.0004099
       227526  |  -.0094966   .0013212    -7.19   0.000    -.0120903   -.0069028
       227757  |    .000423   .0014619     0.29   0.772     -.002447     .003293
       227845  |   .0121491   .0014137     8.59   0.000     .0093738    .0149245
       227863  |  -.0006002   .0014072    -0.43   0.670    -.0033628    .0021624
       228042  |    .004435   .0013815     3.21   0.001     .0017228    .0071471
       228149  |  -.0007843   .0014307    -0.55   0.584    -.0035931    .0020244
       228246  |   .0002633   .0013015     0.20   0.840    -.0022918    .0028185
       228343  |  -.0018387   .0015835    -1.16   0.246    -.0049476    .0012701
       228431  |  -.0029531    .001378    -2.14   0.032    -.0056583   -.0002478
       228459  |   .0018161   .0009926     1.83   0.068    -.0001326    .0037648
       228501  |  -.0051802   .0014431    -3.59   0.000    -.0080134    -.002347
       228529  |  -.0028829   .0013679    -2.11   0.035    -.0055685   -.0001974
       228705  |  -.0014106   .0012953    -1.09   0.277    -.0039536    .0011325
       228723  |   .0032642   .0005256     6.21   0.000     .0022323     .004296
       228769  |  -.0021185   .0010926    -1.94   0.053    -.0042634    .0000265
       228778  |   .0033579   .0008422     3.99   0.000     .0017044    .0050115
       228787  |   .0062112   .0010265     6.05   0.000     .0041959    .0082266
       228796  |  -.0019844   .0010572    -1.88   0.061      -.00406    .0000912
       228875  |   .0075739   .0014481     5.23   0.000     .0047309    .0104169
       228981  |  -.0056201   .0014087    -3.99   0.000    -.0083857   -.0028544
       229018  |  -.0019811    .001409    -1.41   0.160    -.0047473    .0007851
       229027  |   -.005236   .0009682    -5.41   0.000    -.0071367   -.0033353
       229115  |   .0020911   .0008627     2.42   0.016     .0003976    .0037847
       229780  |  -.0065355   .0013056    -5.01   0.000    -.0090986   -.0039724
       229814  |  -.0001097   .0013607    -0.08   0.936    -.0027811    .0025616
       230603  |  -.0015689   .0014758    -1.06   0.288    -.0044662    .0013284
       230728  |  -.0023801   .0012459    -1.91   0.056     -.004826    .0000659
       230764  |  -.0040635   .0016915    -2.40   0.017    -.0073843   -.0007427
       230782  |  -.0049962   .0014318    -3.49   0.001    -.0078071   -.0021853
       231059  |  -.0030193   .0016692    -1.81   0.071    -.0062963    .0002576
       231174  |   .0007489   .0010168     0.74   0.462    -.0012472    .0027451
       231420  |  -.0005054   .0013359    -0.38   0.705     -.003128    .0021173
       231554  |  -.0092027    .001434    -6.42   0.000    -.0120179   -.0063876
       231624  |  -.0037972   .0012338    -3.08   0.002    -.0062195   -.0013749
       231712  |   .0230643   .0013129    17.57   0.000     .0204867    .0256419
       232025  |  -.0112188   .0015016    -7.47   0.000    -.0141669   -.0082708
       232043  |  -.0038199   .0014641    -2.61   0.009    -.0066941   -.0009456
       232089  |  -.0072139   .0015399    -4.68   0.000    -.0102371   -.0041906
       232186  |   .0049233   .0008113     6.07   0.000     .0033304    .0065161
       232265  |  -.0079508   .0012845    -6.19   0.000    -.0104726    -.005429
       232423  |  -.0042486   .0011662    -3.64   0.000    -.0065381   -.0019591
       232557  |  -.0020385   .0011985    -1.70   0.089    -.0043914    .0003144
       232566  |  -.0055193   .0013887    -3.97   0.000    -.0082456   -.0027931
       232609  |  -.0044101   .0014856    -2.97   0.003    -.0073267   -.0014935
       232681  |  -.0073768    .001441    -5.12   0.000    -.0102057   -.0045479
       232706  |   -.008428   .0014047    -6.00   0.000    -.0111858   -.0056703
       232937  |  -.0023483   .0014336    -1.64   0.102    -.0051628    .0004662
       232982  |   .0002055   .0012651     0.16   0.871    -.0022783    .0026892
       233277  |   .0021735   .0013729     1.58   0.114    -.0005218    .0048688
       233374  |  -.0021966   .0018642    -1.18   0.239    -.0058565    .0014633
       233426  |  -.0018442   .0014492    -1.27   0.204    -.0046893    .0010008
