------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  E:\Dropbox\Dropbox\Academic Calendar\AEJ Policy\Files for Publication\Replication\\Output\figure_A2a_DnD.txt
  log type:  text
 opened on:  20 Oct 2020, 16:09:19

. areg gradrate4yr  block1 block2     i.year c.year#i.unitid $timevar   [aw=meansize] , cluster(unitid) abs(unitid)
(sum of wgt is   1.5022e+07)
note: 243780.unitid#c.year omitted because of collinearity

Linear regression, absorbing indicators         Number of obs     =     13,836
                                                F(  25,    730)   =          .
                                                Prob > F          =          .
                                                R-squared         =     0.9814
                                                Adj R-squared     =     0.9792
                                                Root MSE          =     0.0304

                                 (Std. Err. adjusted for 731 clusters in unitid)
--------------------------------------------------------------------------------
               |               Robust
   gradrate4yr |      Coef.   Std. Err.      t    P>|t|     [95% Conf. Interval]
---------------+----------------------------------------------------------------
       123572  |  -.0017079   .0014353    -1.19   0.234    -.0045258      .00111
       126562  |   -.007734   .0006994   -11.06   0.000     -.009107    -.006361
       126580  |   -.001627   .0013129    -1.24   0.216    -.0042045    .0009506
       126614  |  -.0033392   .0007154    -4.67   0.000    -.0047436   -.0019348
       126818  |  -.0024099   .0008783    -2.74   0.006    -.0041343   -.0006855
       127060  |  -.0014298   .0014551    -0.98   0.326    -.0042865     .001427
       127185  |   .0008791   .0016023     0.55   0.583    -.0022666    .0040249
       127565  |  -.0076168   .0013677    -5.57   0.000     -.010302   -.0049317
       127741  |  -.0034482   .0013737    -2.51   0.012     -.006145   -.0007513
       128106  |  -.0033331   .0014633    -2.28   0.023    -.0062059   -.0004602
       128744  |  -.0094848   .0014313    -6.63   0.000    -.0122948   -.0066748
       128771  |  -.0004278   .0012656    -0.34   0.735    -.0029124    .0020568
       129020  |   .0111293   .0006379    17.45   0.000      .009877    .0123815
       129242  |  -.0053868   .0017201    -3.13   0.002    -.0087638   -.0020098
       129941  |   .0064303   .0016433     3.91   0.000     .0032041    .0096564
       130253  |   .0093797   .0016075     5.84   0.000     .0062239    .0125354
       130314  |  -.0092846   .0014822    -6.26   0.000    -.0121944   -.0063748
       130493  |  -.0069582   .0013829    -5.03   0.000    -.0096732   -.0042433
       130590  |  -.0040524   .0016108    -2.52   0.012    -.0072147     -.00089
       130697  |  -.0001972   .0016345    -0.12   0.904     -.003406    .0030116
