"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"d_tradeusch_pw","-.7460301",".0680391","-10.96473","0","-.6104351",".0940313","-6.491831","8.48e-11","-.5376416",".0909054","-5.914296","3.33e-09","-.5079711",".0811624","-6.258703","3.88e-10","-.5624622",".0962595","-5.843184","5.12e-09","-.5963601",".0987739","-6.037629","1.56e-09"
"l_shind_manuf_cbp","","","","","-.0354777",".0217963","-1.62769",".1035906","-.0521474",".020062","-2.599307",".0093412","-.0613266",".0169662","-3.61463",".0003008","-.0562963",".0164285","-3.426748",".0006109","-.0402193",".0131419","-3.060384",".0022105"
"l_sh_popedu_c","","","","","","","","","","","","","-.0082223",".0164643","-.4994011",".6174969","","","","",".01314",".0121955","1.077447",".2812805"
"l_sh_popfborn","","","","","","","","","","","","","-.0071058",".0078433","-.9059754",".3649489","","","","",".0303784",".0108416","2.802016",".0050784"
"l_sh_empl_f","","","","","","","","","","","","","-.0541371",".0247842","-2.184341",".0289372","","","","","-.0058603",".0244685","-.2395035",".8107151"
"l_sh_routine33","","","","","","","","","","","","","","","","","-.2301289",".0625811","-3.677294",".0002357","-.2448902",".0637471","-3.841592",".0001222"
"l_task_outsource","","","","","","","","","","","","","","","","",".2440166",".2519662",".9684496",".3328199","-.0590307",".2369742","-.2491016",".8032822"
"_cons","-1.217819",".1385799","-8.787845","0","-.6382355",".338799","-1.883817",".0595897","-.9751785",".3486813","-2.796762",".0051618","3.407019","1.16303","2.929434",".0033958","6.573279","2.099971","3.130176",".001747","6.278516","1.937265","3.240918",".0011915"
"N","1444","","","","1444","","","","1444","","","","1444","","","","1444","","","","1444","","",""
"r2",".0663536","","","",".1566855","","","",".2816922","","","",".3209842","","","",".3433673","","","",".3428837","","",""
"df_m","2","","","","3","","","","11","","","","14","","","","13","","","","16","","",""
"df_r","","","","","","","","","","","","","","","","","","","","","","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
