                              	gov_broad_base	gov_broad_ui	gov_broad_house	gov_broad_dem	gov_broad_budget
                              	b/se	b/se	b/se	b/se	b/se
ARRA FMAP Payouts per capita ($100k)	1.17***	1.26***	0.86***	1.22***	1.29***
                              	0.36	0.40	0.30	0.33	0.36
Constant                      	0.00*	0.00	0.00*	0.00	0.00
                              	0.00	0.00	0.00	0.00	0.00
Region 1                      	-0.00***	-0.00**	-0.00*	-0.00**	-0.00***
                              	0.00	0.00	0.00	0.00	0.00
Region 2                      	-0.00	0.00	0.00		0.00
                              	0.00	0.00	0.00		0.00
Region 3                      	-0.00	0.00	0.00	0.00	0.00
                              	0.00	0.00	0.00	0.00	0.00
Region 4                      	-0.00	0.00	0.00	0.00	0.00
                              	0.00	0.00	0.00	0.00	0.00
Region 5                      	-0.00**	-0.00	-0.00	-0.00	-0.00
                              	0.00	0.00	0.00	0.00	0.00
Region 6                      	-0.00*			-0.00	
                              	0.00			0.00	
Region 8                      	-0.00***	-0.00**	-0.00*	-0.00**	-0.00**
                              	0.00	0.00	0.00	0.00	0.00
Region 9                      	-0.00*	-0.00	-0.00	-0.00*	-0.00
                              	0.00	0.00	0.00	0.00	0.00
share kerry / 10000           	-1.01***	-1.10***	-0.58**	-1.30***	-1.12***
                              	0.32	0.36	0.25	0.42	0.35
union share/ 10000            	-0.26	-0.36	-0.16	-0.30	-0.24
                              	0.80	0.81	0.70	0.73	0.86
GDP per capita divided by 10000	0.06***	0.06***	0.07***	0.07***	0.07***
                              	0.02	0.02	0.02	0.02	0.02
per_empl_manu/10000           	-1.77**	-1.92**	-2.67***	-1.95**	-1.98**
                              	0.88	0.93	0.82	0.81	0.86
population estimate 2008 in billions	-0.11***	-0.11***	-0.08**	-0.10***	-0.11***
                              	0.03	0.03	0.03	0.03	0.04
sachange_gov_broad_lag_pc     	0.14	0.13	0.03	0.03	0.16
                              	0.17	0.18	0.16	0.21	0.20
Region 7                      		0.00	0.00	0.00	0.00**
                              		0.00	0.00	0.00	0.00
max_UI_week                   		0.00			
                              		0.00			
d_FHFA                        			-0.00***		
                              			0.00		
dummy for having a Democratic Gov as of Feb 1 2009				0.00	
                              				0.00	
state_budget_rule==0          					-0.00
                              					0.00
state_budget_rule==1          					0.00
                              					0.00
state_budget_rule==2          					-0.00
                              					0.00
Observations                  	51.00	51.00	51.00	51.00	51.00
R-squared                     	0.65	0.65	0.72	0.67	0.67
Mean Dep Var                  					
