                              	totalemp_base	totalemp_ui	totalemp_house	totalemp_dem	totalemp_budget
                              	b/se	b/se	b/se	b/se	b/se
ARRA FMAP Payouts per capita ($100k)	2.83***	2.49**	2.68***	2.22**	3.05***
                              	1.01	0.97	0.95	0.95	1.01
Constant                      	-0.01**	-0.01	-0.01	-0.01	-0.01
                              	0.00	0.01	0.01	0.01	0.01
Region 1                      	-0.00	-0.00*	-0.00**	-0.01***	-0.01**
                              	0.00	0.00	0.00	0.00	0.00
Region 2                      	0.01**	0.00*	0.00		0.00
                              	0.00	0.00	0.00		0.00
Region 3                      	0.00	-0.00	-0.00	-0.01***	-0.00
                              	0.00	0.00	0.00	0.00	0.00
Region 4                      	0.00	0.00	-0.00	-0.01**	-0.00
                              	0.00	0.00	0.00	0.00	0.00
Region 5                      	0.00	-0.00	-0.00	-0.01***	-0.00*
                              	0.00	0.00	0.00	0.00	0.00
Region 6                      	0.00			-0.00	
                              	0.00			0.00	
Region 8                      	-0.01	-0.01***	-0.01***	-0.01***	-0.01***
                              	0.00	0.00	0.00	0.00	0.00
Region 9                      	0.00	0.00	0.00	-0.00***	-0.00
                              	0.00	0.00	0.00	0.00	0.00
share kerry / 10000           	1.14	1.45	1.44	2.34	0.91
                              	1.14	1.21	1.33	1.46	1.22
union share/ 10000            	-4.29**	-3.95*	-4.26**	-3.95**	-4.38**
                              	2.01	2.05	2.00	1.97	2.15
GDP per capita divided by 10000	-0.04	-0.04	-0.03	-0.06	-0.03
                              	0.05	0.05	0.05	0.06	0.06
per_empl_manu/10000           	-6.83***	-6.29***	-7.93***	-5.61***	-7.20***
                              	2.12	2.13	2.85	2.10	2.20
population estimate 2008 in billions	-0.36***	-0.36***	-0.34***	-0.39***	-0.38***
                              	0.08	0.07	0.08	0.08	0.08
sachange_totalemp_lag_pc      	0.37**	0.39**	0.33	0.48***	0.36**
                              	0.17	0.17	0.21	0.15	0.18
Region 7                      		-0.00	-0.00	-0.01**	-0.00
                              		0.00	0.00	0.00	0.00
max_UI_week                   		-0.00			
                              		0.00			
d_FHFA                        			-0.00		
                              			0.00		
dummy for having a Democratic Gov as of Feb 1 2009				-0.00	
                              				0.00	
state_budget_rule==0          					-0.00
                              					0.00
state_budget_rule==1          					0.00
                              					0.00
state_budget_rule==2          					0.00
                              					0.00
Observations                  	51.00	51.00	51.00	51.00	51.00
R-squared                     	0.69	0.70	0.70	0.71	0.69
Mean Dep Var                  					
