"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"G","1.45653",".4919886","2.960495",".0030714","1.552405",".4284859","3.623002",".0002912"
"L1G",".7256348",".2062837","3.517654",".0004354",".7932095",".1897963","4.179266",".0000292"
"L2G",".1410954",".1067225","1.322078",".1861422",".1929382",".1077738","1.790215",".0734194"
"L1Y","","","","","-.1978548",".0642738","-3.078312",".0020818"
"L2Y","","","","","-.0201639",".0539066","-.3740523",".7083654"
"N","950","","","","950","","",""
"r2","-.2980742","","","","-.3101186","","",""
"df_m","24","","","","26","","",""
"df_r","","","","","","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
