"","m1","","",""
"","b","se","t","p"
"POST_close","-871.3826","327.9139","-2.657352",".0086954"
"poptot1999","-.063956","120.6863","-.0005299",".9995778"
"poptot2000","-.0588646","120.6876","-.0004877",".9996115"
"poptot2001","-.010456","120.6827","-.0000866",".999931"
"poptot2002","-.0158892","120.6856","-.0001317",".9998951"
"poptot2003","-.0040071","120.6835","-.0000332",".9999736"
"poptot2004","-.0159386","120.6867","-.0001321",".9998948"
"poptot2005","-.0028107","120.6849","-.0000233",".9999814"
"poptot2006",".0179497","120.6855",".0001487",".9998815"
"poptot2007","0","120.6834","0","1"
"poptot2008","-.004515","120.6821","-.0000374",".9999702"
"poptot2009","-.0472934","120.6875","-.0003919",".9996878"
"poptot2010","-.0662388","120.688","-.0005488",".9995628"
"poptot2011","-.0529918","120.6852","-.0004391",".9996502"
"poptot2012","-.0291977","120.6846","-.0002419",".9998073"
"popdensity1999",".0151805","3.101936",".0048939",".9961015"
"popdensity2000",".0140193","3.10105",".0045208",".9963987"
"popdensity2001",".0110389","3.101526",".0035592",".9971647"
"popdensity2002",".0103572","3.101333",".0033396",".9973397"
"popdensity2003",".0165259","3.101702",".005328",".9957557"
"popdensity2004",".0080176","3.100213",".0025861",".9979399"
"popdensity2005",".0075462","3.100776",".0024337",".9980613"
"popdensity2006","0","3.101122","0","1"
"popdensity2007",".0035025","3.100372",".0011297",".9991001"
"popdensity2008",".0062725","3.100125",".0020233",".9983882"
"popdensity2009",".0139032","3.100526",".0044842",".9964279"
"popdensity2010",".014605","3.101093",".0047096",".9962483"
"popdensity2011",".0131806","3.100333",".0042514",".9966134"
"popdensity2012",".0154069","3.100628",".004969",".9960417"
"pminority1999","167.1684","182.2967",".9170129",".3605514"
"pminority2000","-56.04586","131.4779","-.4262761",".6704943"
"pminority2001","285.0207","204.9872","1.390432",".1663783"
"pminority2002","428.9273","216.0794","1.985045",".0488927"
"pminority2003","-78.66931","254.8909","-.3086391",".7580078"
"pminority2004","-109.0604","266.8749","-.4086572",".6833516"
"pminority2005","-72.3691","190.2102","-.3804691",".7041148"
"pminority2006","0","215.3578","0","1"
"pminority2007","-155.6655","224.7848","-.692509",".4896473"
"pminority2008","-236.3483","239.7582","-.9857778",".3257686"
"pminority2009","-289.6102","264.7827","-1.093766",".2757438"
"pminority2010","226.517","255.7228",".8857914",".3770933"
"pminority2011","-150.9471","231.3785","-.6523818",".5151151"
"pminority2012","-48.73755","267.6879","-.1820685",".8557653"
"pcollege1999","-1207.296","36133.53","-.0334121",".9733887"
"pcollege2000","-1922.281","36237.93","-.0530461",".957763"
"pcollege2001","-653.3036","36146.55","-.0180737",".9856031"
"pcollege2002","628.0698","36142.99",".0173774",".9861578"
"pcollege2003","-333.6509","36127.12","-.0092355",".9926431"
"pcollege2004","-176.0713","36126.86","-.0048737",".9961176"
"pcollege2005","-282.8725","36117.8","-.0078319",".9937611"
"pcollege2006","0","36083.54","0","1"
"pcollege2007","-600.2331","36083.52","-.0166346",".9867494"
"pcollege2008","-1047.336","36018.23","-.0290779",".9768396"
"pcollege2009","-1823.096","35987.78","-.0506588",".9596622"
"pcollege2010","-1631.145","36081.93","-.0452067",".9640004"
"pcollege2011","-1623.4","36035.55","-.04505",".9641251"
"pcollege2012","-1783.617","36017.38","-.049521",".9605674"
"medincome1999","-.0010327","1.496421","-.0006901",".9994503"
"medincome2000",".0002862","1.495816",".0001913",".9998476"
"medincome2001","-.0011615","1.496121","-.0007763",".9993816"
"medincome2002","-.0022156","1.496038","-.001481",".9988202"
"medincome2003",".0025893","1.495908",".0017309",".9986211"
"medincome2004","-.0006563","1.496803","-.0004385",".9996507"
"medincome2005",".0027071","1.496293",".0018092",".9985588"
"medincome2006",".0019357","1.496076",".0012939",".9989693"
"medincome2007","0","1.496724","0","1"
"medincome2008",".0028755","1.496355",".0019217",".9984692"
"medincome2009",".0020498","1.496488",".0013698",".9989088"
"medincome2010",".0030192","1.497127",".0020167",".9983935"
"medincome2011",".0028324","1.496534",".0018927",".9984923"
"medincome2012",".0052299","1.497058",".0034934",".9972171"
"cont_totalbranches1999","5.690059","24.52805",".2319817",".8168562"
"cont_totalbranches2000","-6.195801","28.3942","-.2182066",".8275533"
"cont_totalbranches2001","17.94741","27.42113",".6545103",".5137469"
"cont_totalbranches2002","90.54908","27.84104","3.25236",".0014028"
"cont_totalbranches2003","106.7708","30.53676","3.496469",".0006142"
"cont_totalbranches2004","107.9991","24.90975","4.335616",".000026"
"cont_totalbranches2005","101.5526","28.24174","3.595834",".0004334"
"cont_totalbranches2006","91.09887","28.4819","3.198482",".0016733"
"cont_totalbranches2007","89.87932","35.09033","2.56137",".0113741"
"cont_totalbranches2008","88.49889","32.34505","2.736088",".0069386"
"cont_totalbranches2009","22.63128","28.26659",".8006372",".4245593"
"cont_totalbranches2010","-11.4308","29.15682","-.3920456",".6955596"
"cont_totalbranches2011","-8.968926","26.56481","-.3376243",".7361002"
"cont_totalbranches2012","-36.34178","27.85236","-1.304801",".1938823"
"cont_brgrowth1999","-291.7785","132.9849","-2.194073",".0297092"
"cont_brgrowth2000","-17.26431","142.3521","-.1212789",".9036262"
"cont_brgrowth2001","-458.1622","171.8307","-2.666359",".0084759"
"cont_brgrowth2002","-170.7139","118.0813","-1.445731",".1502585"
"cont_brgrowth2003","-594.0046","157.8782","-3.762424",".0002377"
"cont_brgrowth2004","-384.3722","135.8728","-2.828913",".0052846"
"cont_brgrowth2005","-72.40128","161.5933","-.4480463",".6547414"
"cont_brgrowth2006","150.5775","135.3601","1.112421",".2676684"
"cont_brgrowth2007","20.88009","116.2416",".1796267",".8576788"
"cont_brgrowth2008","182.255","135.9531","1.340573",".1820082"
"cont_brgrowth2009","240.273","142.6812","1.683985",".0941845"
"cont_brgrowth2010","350.2634","137.796","2.541898",".0120002"
"cont_brgrowth2011","303.3306","133.5983","2.270467",".024548"
"cont_brgrowth2012","336.3151","119.0395","2.825239",".0053426"
"N","43033","","",""
"r2",".01343","","",""
"df_m","94","","",""
"df_r","156","","",""
"df_b","","","",""
"df","","","",""
