Table 7: Re-unification				
	(1)	(2)	(3)	(4)
	g_pop			
treat	-0.477***	-0.127	-0.223	-0.007
	(0.156)	(0.128)	(0.202)	(0.136)
bzone	-0.141	-0.141	-0.236	-0.064
	(0.106)	(0.106)	(0.168)	(0.108)
Constant	-0.173***	0.073*	0.236***	-0.087*
	(0.053)	(0.039)	(0.052)	(0.050)
Observations	595	238	120	118
R-squared	0.30	0.15	0.21	0.14
Robust standard errors in parentheses				
* significant at 10%; ** significant at 5%; *** significant at 1%				
