Table 5: War Disruption			
	(1)	(2)	(3)
	g_pop		
bzone	0.136	0.129	0.029
	(0.139)	(0.146)	(0.167)
treat	-0.737***	-0.656***	-0.678***
	(0.182)	(0.191)	(0.211)
ru	-0.014		
	(0.011)		
(zy==1933)*ru	0.019		
	(0.017)		
(zy==1939)*ru	-0.001		
	(0.023)		
(zy==1960)*ru	0.073***		
	(0.015)		
(zy==1970)*ru	0.012		
	(0.017)		
(zy==1980)*ru	-0.014		
	(0.025)		
(zy==1988)*ru	0.007		
	(0.013)		
fl		-0.004	
		(0.006)	
(zy==1933)*fl		0.006	
		(0.007)	
(zy==1939)*fl		0.004	
		(0.009)	
(zy==1960)*fl		0.033***	
		(0.008)	
(zy==1970)*fl		0.009	
		(0.007)	
(zy==1980)*fl		0.004	
		(0.012)	
(zy==1988)*fl		0.002	
		(0.006)	
rf			0.004
			(0.020)
(zy==1933)*rf			-0.018
			(0.019)
(zy==1939)*rf			0.064**
			(0.028)
(zy==1960)*rf			-0.056**
			(0.026)
(zy==1970)*rf			-0.006
			(0.026)
(zy==1980)*rf			0.062*
			(0.034)
(zy==1988)*rf			0.009
			(0.020)
Constant	1.474***	1.271***	0.248
	(0.198)	(0.167)	(0.524)
Observations	777	756	833
R-squared	0.24	0.24	0.24
Robust standard errors in parentheses			
* significant at 10%; ** significant at 5%; *** significant at 1%			
