"","m1_allapps","","","","m1_DIonly","","","","m1_SSItotal","","","","m1_SSDItotal","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"23017.county","2.371671",".0501228","47.31725","4.93e-10",".8583311",".0086971","98.69156","2.89e-12","1.51334",".0448577","33.73647","5.21e-09","2.15465",".0499093","43.17128","9.34e-10"
"23019.county","2.32903",".0277677","83.87548","9.02e-12",".7037609",".004821","145.9787","1.87e-13","1.625269",".0248334","65.4468","5.11e-11","1.810388",".0276187","65.54928","5.05e-11"
"23025.county","3.302158",".0892143","37.01379","2.73e-09","1.122233",".0154762","72.51324","2.49e-11","2.179925",".0798567","27.29797","2.27e-08","2.760851",".0888711","31.06579","9.25e-09"
"23027.county","2.041034",".035901","56.85181","1.37e-10",".8815526",".0062255","141.6028","2.31e-13","1.159482",".0321313","36.08575","3.26e-09","1.805213",".0357548","50.48862","3.13e-10"
"23029.county","2.850334",".1129182","25.24246","3.91e-08",".8465554",".0195839","43.22707","9.26e-10","2.003779",".1010989","19.81999","2.08e-07","2.135297",".1125545","18.97123","2.81e-07"
"23031.county",".9183118",".0028368","323.7152","7.09e-16",".5275774",".000493","1070.153","1.64e-19",".3907344",".0025492","153.2767","1.33e-13",".9529924",".0028536","333.961","5.70e-16"
"25001.county",".9620264",".0242756","39.62941","1.70e-09",".4531751",".0054734","82.79569","9.87e-12",".5088513",".0236852","21.48389","1.19e-07",".9656683",".0318998","30.27188","1.11e-08"
"25003.county","2.016205",".0086816","232.2384","7.25e-15",".5220274",".003838","136.0172","3.06e-13","1.494178",".0097145","153.8094","1.30e-13","1.719117",".0158129","108.7164","1.47e-12"
"25005.county","1.981303",".0535493","36.99961","2.74e-09",".6086644",".0099032","61.46125","7.93e-11","1.372638",".0497685","27.58046","2.11e-08","1.595859",".0609085","26.20092","3.02e-08"
"25009.county","1.125085",".0262059","42.93251","9.71e-10",".2429922",".0057282","42.42022","1.06e-09",".8820932",".0253847","34.74899","4.24e-09",".9107246",".0337985","26.94574","2.49e-08"
"25011.county","2.072966",".0069706","297.3882","1.28e-15",".4119838",".0037346","110.3158","1.33e-12","1.660982",".0078801","210.7829","1.43e-14","1.728645",".0131579","131.377","3.90e-13"
"25013.county","3.885556",".0467153","83.17528","9.56e-12",".5608093",".0088053","63.69004","6.18e-11","3.324747",".0436658","76.14069","1.77e-11","2.466566",".0541237","45.57279","6.40e-10"
"25015.county",".5013768",".0113115","44.32436","7.77e-10",".1730608",".0040585","42.64181","1.02e-09",".328316",".0095306","34.44849","4.50e-09",".5493235",".0093352","58.84403","1.07e-10"
"25017.county",".0357317",".0116316","3.071956",".0180179",".0368231",".0040856","9.012798",".0000423","-.0010914",".0097711","-.1116963",".9141996",".1214384",".0094222","12.88854","3.93e-06"
"25021.county",".0123286",".0074394","1.657205",".1414457",".1295775",".0037684","34.38536","4.56e-09","-.1172489",".0070933","-16.5296","7.24e-07",".1412276",".0099489","14.19536","2.04e-06"
"25023.county",".7474771",".0211823","35.28779","3.81e-09",".3819985",".0050728","75.30367","1.92e-11",".3654786",".0209133","17.47588","4.94e-07",".6892681",".0288014","23.93174","5.66e-08"
"25025.county","1.604517",".0215714","74.38169","2.09e-11","-.0174252",".0051342","-3.393937",".0115374","1.621942",".0211923","76.53456","1.71e-11",".9207451",".0291749","31.55949","8.29e-09"
"25027.county","1.376043",".0281343","48.90973","3.91e-10",".4177495",".0059946","69.68802","3.29e-11",".9582936",".0270941","35.36907","3.75e-09","1.067961",".0356988","29.91591","1.20e-08"
"33001.county","1.135904",".0208216","54.55406","1.82e-10",".6411365",".0036125","177.4769","4.76e-14",".4947679",".018645","26.5362","2.76e-08","1.193063",".020768","57.44718","1.27e-10"
"33005.county",".934089",".0260104","35.9122","3.37e-09",".577701",".004513","128.009","4.68e-13",".356388",".0232991","15.29623","1.23e-06","1.075621",".0259505","41.4489","1.24e-09"
"33009.county",".544315",".0389626","13.97018","2.28e-06",".4545011",".0067552","67.28171","4.21e-11",".0898139",".0349026","2.573275",".0368316",".7012396",".0388864","18.03304","3.99e-07"
"33011.county",".743628",".0176394","42.15724","1.10e-09",".4556573",".0030593","148.9401","1.62e-13",".2879707",".0158048","18.22051","3.71e-07",".7911749",".0176138","44.91788","7.08e-10"
"33013.county",".9225342",".0286893","32.15606","7.27e-09",".455502",".0049752","91.55374","4.89e-12",".4670322",".0257041","18.16954","3.78e-07",".9246305",".0286448","32.27919","7.08e-09"
"33015.county",".1916634",".0072645","26.3835","2.88e-08",".4513182",".0012589","358.4999","3.47e-16","-.2596548",".006524","-39.80002","1.65e-09",".4263232",".0072926","58.45958","1.12e-10"
"33017.county",".8210241",".0267073","30.74153","9.95e-09",".473599",".0046286","102.3204","2.24e-12",".3474251",".0239475","14.50778","1.76e-06",".9304578",".0267075","34.83884","4.16e-09"
"34001.county","1.187568",".0450548","26.3583","2.90e-08",".4152083",".0078154","53.12666","2.19e-10",".7723593",".0403184","19.15651","2.63e-07","1.009888",".0448565","22.51375","8.63e-08"
"34003.county","-.3704754",".0136237","-27.19342","2.33e-08",".088335",".002363","37.38182","2.55e-09","-.4588104",".0121937","-37.62681","2.44e-09","-.1506267",".0135738","-11.09686",".0000107"
"34005.county",".4383789",".0057386","76.3908","1.73e-11",".4270867",".0009967","428.4921","9.96e-17",".0112921",".005135","2.199024",".0638229",".5367397",".0057153","93.91262","4.09e-12"
"34007.county","1.595181",".0247679","64.40528","5.72e-11",".4852566",".0042977","112.9102","1.13e-12","1.109924",".0221648","50.07592","3.32e-10","1.119348",".0246594","45.39241","6.58e-10"
"34009.county","1.203204",".0840001","14.32385","1.92e-06",".4297597",".014568","29.50027","1.32e-08",".7734446",".0752232","10.282",".0000178","1.058202",".0837769","12.6312","4.50e-06"
"34011.county","1.614652",".0751568","21.48378","1.19e-07",".4866124",".0130419","37.31147","2.58e-09","1.128039",".0672386","16.77666","6.54e-07","1.198761",".0747823","16.03","8.93e-07"
"34013.county","1.428991",".0439904","32.48414","6.78e-09",".0917051",".0076282","12.02179","6.28e-06","1.337286",".0393971","33.94379","4.99e-09",".6509219",".0438786","14.83461","1.52e-06"
"34015.county",".6394407",".0096603","66.19235","4.72e-11",".5602945",".0016845","332.623","5.86e-16",".0791462",".0085909","9.212749",".0000366",".7240565",".0094777","76.39548","1.73e-11"
"34017.county","1.08449",".035815","30.28035","1.11e-08",".0267132",".0062119","4.300345",".0035651","1.057776",".0320634","32.99013","6.09e-09",".5423146",".0356967","15.19229","1.29e-06"
"34021.county",".8090638",".0045925","176.1701","5.01e-14",".2073146",".0007963","260.3523","3.26e-15",".6017491",".0041171","146.1582","1.85e-13",".5877714",".0045943","127.9341","4.70e-13"
"34023.county","-.0168357",".0004015","-41.9274","1.15e-09",".2067785",".0000736","2810.765","1.91e-22","-.2236143",".0003738","-598.2978","9.62e-18",".1026277",".000432","237.5473","6.19e-15"
"34025.county",".1675541",".0043833","38.22553","2.18e-09",".2411091",".0007586","317.8549","8.06e-16","-.0735551",".0039485","-18.62854","3.19e-07",".2306925",".0044208","52.18386","2.49e-10"
"34027.county","-.5442394",".0279838","-19.4484","2.37e-07",".0377372",".0048545","7.773654",".0001094","-.5819767",".0250525","-23.2303","6.95e-08","-.2702409",".0278952","-9.687717",".0000264"
"34029.county",".8239204",".0184969","44.54366","7.51e-10",".7156274",".0032131","222.7206","9.71e-15",".108293",".0165248","6.553349",".0003178",".8843027",".0183457","48.20214","4.33e-10"
"34031.county",".8361515",".0418105","19.99859","1.96e-07",".1924595",".0072516","26.54035","2.76e-08",".643692",".0374352","17.19483","5.53e-07",".5097763",".0416787","12.23109","5.59e-06"
"34033.county","1.395965",".024903","56.05619","1.51e-10",".6485916",".0043188","150.1787","1.53e-13",".7473734",".0222815","33.54228","5.42e-09","1.236297",".024778","49.89496","3.40e-10"
"34035.county","-.4293326",".0251604","-17.06379","5.82e-07",".1059709",".0043613","24.29801","5.09e-08","-.5353036",".0225478","-23.74079","5.98e-08","-.1765003",".0251408","-7.020482",".0002077"
"34037.county",".1804659",".0038812","46.49782","5.56e-10",".3949576",".0006756","584.627","1.13e-17","-.2144917",".0034696","-61.81969","7.61e-11",".3449404",".0038617","89.3234","5.81e-12"
"34039.county",".3218911",".0174536","18.44268","3.42e-07",".2304785",".0030265","76.15291","1.77e-11",".0914126",".015632","5.847801",".000632",".2936518",".0174072","16.86956","6.30e-07"
"34041.county",".4346824",".0055349","78.53471","1.43e-11",".4058024",".0009593","423.0094","1.09e-16",".0288801",".0049569","5.826244",".000646",".5116052",".0055281","92.54709","4.53e-12"
"36001.county","1.096685",".005265","208.2959","1.55e-14",".2647408",".000912","290.2937","1.52e-15",".8319438",".0047285","175.9429","5.06e-14",".8268644",".0052777","156.6716","1.14e-13"
"36003.county","1.421375",".0434018","32.74922","6.41e-09",".6283798",".0075268","83.4851","9.31e-12",".7929954",".0388624","20.40521","1.70e-07","1.195124",".0432697","27.62032","2.09e-08"
"36005.county","2.830783",".0824769","34.32211","4.62e-09",".1426316",".0143155","9.963445",".0000219","2.688151",".0737974","36.42607","3.05e-09","1.179546",".0820996","14.36725","1.88e-06"
"36007.county","2.05328",".0182933","112.2421","1.17e-12",".6090823",".0031728","191.9705","2.75e-14","1.444197",".0163738","88.20182","6.34e-12","1.492874",".0182278","81.90095","1.06e-11"
"36009.county","1.99453",".0345545","57.72125","1.23e-10",".8229921",".0059904","137.3862","2.86e-13","1.171538",".0309618","37.83821","2.34e-09","1.691705",".0345049","49.02788","3.84e-10"
"36011.county","1.14453",".0178395","64.15723","5.87e-11",".6451064",".0030935","208.5356","1.54e-14",".4994237",".0159847","31.2438","8.89e-09",".9716402",".0178107","54.55388","1.82e-10"
"36013.county","2.294278",".0166653","137.668","2.81e-13",".758387",".0028898","262.4335","3.08e-15","1.535891",".0149316","102.8617","2.16e-12","1.707182",".0166402","102.5939","2.20e-12"
"36015.county","2.51936",".0241847","104.1719","1.98e-12",".9254497",".0041936","220.6817","1.04e-14","1.59391",".0216597","73.58888","2.25e-11","1.924228",".0241279","79.7511","1.28e-11"
"36017.county","1.961427",".0289751","67.69358","4.04e-11",".837071",".0050247","166.5905","7.41e-14","1.124356",".0259453","43.33559","9.10e-10","1.637052",".0288873","56.67023","1.40e-10"
"36019.county","1.571869",".0419974","37.42772","2.53e-09","1.062654",".0072856","145.857","1.88e-13",".5092148",".0375815","13.54963","2.80e-06","1.361533",".0418149","32.56097","6.67e-09"
"36021.county","1.760186",".0066297","265.501","2.84e-15",".6345935",".0011543","549.7751","1.74e-17","1.125592",".0059197","190.1439","2.94e-14","1.429552",".0065645","217.7703","1.14e-14"
"36023.county","1.119537",".0378761","29.5579","1.31e-08",".4751213",".0065716","72.2992","2.55e-11",".6444159",".0339036","19.00732","2.78e-07","1.003322",".0377388","26.58593","2.73e-08"
"36025.county","1.738117",".0116641","149.0146","1.62e-13",".7828417",".0020179","387.9416","2.00e-16",".9552755",".0104612","91.31575","4.98e-12","1.428344",".0116718","122.3761","6.42e-13"
"36027.county",".7394909",".0038025","194.477","2.51e-14",".5688164",".0006599","861.9267","7.47e-19",".1706745",".0034066","50.10047","3.30e-10",".6924589",".0038","182.2276","3.96e-14"
"36029.county","1.803335",".026575","67.85843","3.97e-11",".8807225",".0046076","191.1443","2.83e-14",".9226124",".0238031","38.76011","1.98e-09","1.382714",".0265187","52.14105","2.50e-10"
"36031.county","1.231831",".0446987","27.55856","2.13e-08",".9131709",".0077518","117.8011","8.38e-13",".31866",".0400274","7.961043",".000094","1.13819",".0445718","25.5361","3.61e-08"
"36033.county","1.301929",".0501148","25.97891","3.20e-08",".8740756",".0086933","100.546","2.54e-12",".4278533",".044863","9.536894",".0000292",".9505702",".049935","19.03614","2.75e-07"
"36035.county","2.253835",".0413535","54.50165","1.84e-10",".9447593",".0071722","131.7251","3.83e-13","1.309076",".0370167","35.36444","3.75e-09","1.827426",".0412008","44.35416","7.73e-10"
"36037.county","1.385695",".0191425","72.38836","2.53e-11",".8066657",".0033184","243.0857","5.26e-15",".5790291",".0171537","33.7554","5.19e-09","1.304391",".0191199","68.22169","3.82e-11"
"36039.county","1.800867",".0225593","79.82798","1.27e-11",".7469861",".0039104","191.0256","2.84e-14","1.053881",".020195","52.18528","2.49e-10","1.463344",".022473","65.11562","5.29e-11"
"36043.county","2.078251",".0312589","66.48516","4.58e-11",".9110883",".0054189","168.131","6.95e-14","1.167163",".027997","41.68881","1.19e-09","1.770332",".0311843","56.76991","1.38e-10"
"36045.county","1.408449",".0518456","27.16624","2.35e-08",".8873273",".0089892","98.70999","2.89e-12",".5211213",".0463546","11.24207","9.84e-06","1.204076",".0515347","23.36438","6.68e-08"
"36047.county","1.042154",".0421281","24.73775","4.50e-08",".1059356",".0073153","14.48146","1.79e-06",".9362179",".0376728","24.85133","4.36e-08",".3776877",".0418767","9.019039",".0000421"
"36051.county",".9329404",".0262503","35.54011","3.62e-09",".6032622",".0045543","132.4596","3.69e-13",".3296782",".0235133","14.02093","2.22e-06",".9040946",".0261884","34.52276","4.44e-09"
"36053.county",".966744",".0225193","42.92961","9.71e-10",".5838569",".0039064","149.4613","1.58e-13",".3828872",".0201569","18.9953","2.79e-07",".9314683",".0224346","41.51928","1.23e-09"
"36055.county","1.717193",".0125181","137.1768","2.89e-13",".5080918",".0021736","233.7612","6.92e-15","1.209101",".0111984","107.9711","1.54e-12","1.135726",".0124567","91.17407","5.03e-12"
