"","m1_allapps","","","","m1_DIonly","","","","m1_SSItotal","","","","m1_SSDItotal","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"42025.county","2.0218",".0484284","41.74822","1.18e-09","1.305245",".0084055","155.2855","1.21e-13",".716555",".0433075","16.54575","7.19e-07","1.874729",".0481432","38.9407","1.92e-09"
"42027.county","-.1242252",".0114882","-10.81329",".0000127",".0269737",".0019887","13.56347","2.78e-06","-.1511988",".0103338","-14.63154","1.66e-06",".0328301",".0115563","2.840886",".0250128"
"42029.county","-.1695958",".0248028","-6.837781",".0002447",".1124595",".0042965","26.17466","3.04e-08","-.2820554",".0222535","-12.67466","4.40e-06",".0268306",".0248478","1.079797",".3160266"
"42031.county","1.729042",".025586","67.57762","4.08e-11",".4307092",".0044394","97.01953","3.26e-12","1.298333",".0229154","56.65766","1.40e-10","1.330942",".0255252","52.14238","2.50e-10"
"42033.county","2.545424",".0460669","55.25492","1.67e-10",".8831773",".0079955","110.4591","1.31e-12","1.662247",".041236","40.31054","1.51e-09","2.035318",".0458898","44.35228","7.74e-10"
"42035.county","1.958888",".0446947","43.82816","8.41e-10",".6624663",".0077518","85.4594","7.91e-12","1.296422",".0400058","32.40588","6.89e-09","1.642272",".0445308","36.87943","2.80e-09"
"42037.county","1.909617",".0389485","49.02921","3.84e-10",".6211281",".0067588","91.89865","4.76e-12","1.288488",".0348566","36.96538","2.76e-09","1.656108",".038784","42.70081","1.01e-09"
"42039.county","2.623855",".0326804","80.28834","1.22e-11",".6614654",".0056691","116.679","8.96e-13","1.96239",".0292583","67.07115","4.30e-11","2.096541",".0325717","64.36689","5.74e-11"
"42041.county",".2386207",".0203228","11.7415","7.36e-06",".4643395",".0035198","131.923","3.79e-13","-.2257189",".0182327","-12.3799","5.16e-06",".4302422",".0203532","21.13875","1.33e-07"
"42043.county","1.827769",".0033322","548.5201","1.77e-17",".5273094",".0005763","914.9664","4.92e-19","1.300459",".003006","432.6181","9.31e-17","1.436285",".0033742","425.6648","1.04e-16"
"42045.county","1.225254",".0046134","265.5876","2.83e-15",".4887448",".0008008","610.3262","8.37e-18",".7365089",".0041226","178.6536","4.54e-14",".8904868",".004579","194.4736","2.51e-14"
"42047.county","2.316937",".0199281","116.2651","9.18e-13",".9825059",".0034529","284.5418","1.75e-15","1.334431",".0178746","74.65514","2.04e-11","2.031493",".0199491","101.8338","2.32e-12"
"42049.county","2.721393",".0280038","97.17933","3.22e-12",".5059132",".0048595","104.1078","1.99e-12","2.215479",".0250649","88.38985","6.25e-12","1.866901",".0278976","66.91964","4.37e-11"
"42051.county","4.338877",".0648767","66.87876","4.39e-11",".966663",".0112517","85.91296","7.62e-12","3.372214",".0580773","58.06419","1.18e-10","2.89176",".0646465","44.7319","7.29e-10"
"42055.county",".969517",".0227865","42.54786","1.03e-09",".5650574",".0039457","143.2084","2.14e-13",".4044596",".0204565","19.77173","2.12e-07",".9864213",".0228583","43.15381","9.37e-10"
"42059.county","2.839446",".0431662","65.77938","4.93e-11",".659984",".0074901","88.11455","6.39e-12","2.179462",".0386538","56.38409","1.45e-10","1.867237",".0430263","43.39761","9.01e-10"
"42061.county","1.73958",".0422064","41.21604","1.29e-09",".655212",".0073213","89.49363","5.73e-12","1.084368",".0377801","28.70214","1.60e-08","1.414385",".0420515","33.63463","5.32e-09"
"42063.county","1.607906",".0264234","60.85153","8.50e-11",".5957969",".0045828","130.0059","4.20e-13","1.012109",".0236581","42.7807","9.95e-10","1.277401",".0263425","48.49202","4.15e-10"
"42065.county","2.356712",".025156","93.68397","4.16e-12",".9062152",".0043637","207.6702","1.58e-14","1.450497",".0225281","64.38599","5.73e-11","1.886776",".0250846","75.21645","1.93e-11"
"42069.county","2.382186",".0267513","89.04929","5.93e-12",".8690227",".0046423","187.1983","3.28e-14","1.513163",".0239377","63.21249","6.51e-11","1.961325",".0266326","73.64373","2.24e-11"
"42071.county","1.155763",".0189269","61.06443","8.29e-11",".3016853",".0032781","92.02944","4.71e-12",".8540775",".0169786","50.30311","3.21e-10","1.039788",".018949","54.87311","1.75e-10"
"42073.county","3.391078",".0407752","83.16515","9.57e-12",".7718551",".0070695","109.1817","1.43e-12","2.619223",".0365175","71.7251","2.69e-11","2.489939",".0406763","61.21355","8.15e-11"
"42075.county","1.152208",".0201761","57.10753","1.32e-10",".620433",".0034946","177.5407","4.75e-14",".5317748",".0180998","29.38011","1.36e-08","1.057635",".0202028","52.35095","2.43e-10"
"42077.county","1.919655",".0166341","115.4047","9.67e-13",".4842384",".0028919","167.447","7.15e-14","1.435416",".0148482","96.67272","3.34e-12","1.50702",".0164612","91.54957","4.89e-12"
"42079.county","2.513935",".0389453","64.55041","5.63e-11",".9529797",".0067569","141.0376","2.38e-13","1.560955",".0348548","44.78454","7.23e-10","2.055728",".0387864","53.00126","2.23e-10"
"42081.county","1.871352",".0318717","58.71514","1.09e-10",".6752512",".0055275","122.1632","6.49e-13","1.196101",".0285353","41.91651","1.15e-09","1.467799",".0317704","46.20022","5.82e-10"
"42083.county","2.62653",".0334799","78.45084","1.44e-11",".8403714",".0058068","144.7222","1.98e-13","1.786159",".0299826","59.57315","9.86e-11","2.050895",".0333924","61.4181","7.97e-11"
"42085.county","2.668815",".0489111","54.56464","1.82e-10",".837212",".0084817","98.70846","2.89e-12","1.831603",".0438008","41.8167","1.17e-09","2.136824",".0487764","43.80853","8.43e-10"
"42087.county","3.019232",".0384045","78.61664","1.42e-11",".6771369",".0066591","101.6854","2.34e-12","2.342095",".034354","68.17534","3.84e-11","2.336068",".0382246","61.11426","8.25e-11"
"42089.county","1.645272",".0318973","51.58034","2.70e-10","1.048407",".0055333","189.4712","3.01e-14",".596865",".0285237","20.92521","1.43e-07","1.537289",".0316936","48.50465","4.14e-10"
"42091.county",".0988598",".0154628","6.393385",".0003696",".2598321",".0026807","96.92605","3.28e-12","-.1609723",".0138553","-11.61807","7.90e-06",".2213797",".0154395","14.33855","1.91e-06"
"42095.county","1.17085",".0158739","73.75933","2.21e-11",".6064878",".0027578","219.9198","1.06e-14",".5643624",".0141671","39.83622","1.64e-09","1.086164",".0157051","69.15994","3.47e-11"
"42097.county","2.115886",".0374005","56.57369","1.41e-10",".8551934",".0064865","131.8415","3.81e-13","1.260692",".0334872","37.64697","2.43e-09","1.852342",".037288","49.67665","3.51e-10"
"42101.county","4.890763",".0657239","74.41374","2.08e-11",".4792895",".0114004","42.04152","1.12e-09","4.411473",".0588316","74.98476","1.97e-11","2.366976",".0654902","36.14246","3.22e-09"
"42103.county","1.318664",".0433688","30.40584","1.07e-08",".9535097",".0075325","126.5857","5.06e-13",".3651549",".0387446","9.424661",".0000316","1.270863",".0429957","29.55789","1.31e-08"
"42107.county","2.368337",".039634","59.75511","9.65e-11","1.197835",".0068766","174.1898","5.42e-14","1.170502",".0354693","33.00042","6.07e-09","1.997783",".0394686","50.61707","3.08e-10"
"42109.county",".807707",".010814","74.69074","2.03e-11",".41166",".0018762","219.4117","1.08e-14",".3960469",".0096723","40.94644","1.35e-09",".8067234",".0107548","75.01063","1.97e-11"
"42111.county","1.870646",".0454182","41.18711","1.30e-09",".9570235",".0078774","121.4896","6.75e-13",".9136222",".040667","22.46591","8.76e-08","1.456563",".0452826","32.16609","7.26e-09"
"42115.county","2.083555",".0182321","114.2796","1.04e-12",".8053279",".0031579","255.0229","3.76e-15","1.278227",".016343","78.2127","1.47e-11","1.745325",".0182178","95.80344","3.56e-12"
"42117.county","2.337221",".0404614","57.76427","1.22e-10",".9581447",".0070158","136.5705","2.98e-13","1.379077",".0362373","38.05678","2.25e-09","2.058502",".0403632","50.99943","2.92e-10"
"42121.county","2.928303",".0303874","96.36581","3.41e-12",".7892095",".0052683","149.8047","1.56e-13","2.139094",".0272215","78.58097","1.42e-11","2.233133",".0303286","73.63122","2.24e-11"
"42123.county","2.228382",".0200644","111.0614","1.26e-12",".9208846",".0034785","264.7367","2.90e-15","1.307498",".0179905","72.67709","2.46e-11","1.830886",".0200651","91.2472","5.00e-12"
"42125.county","2.268493",".022972","98.75051","2.88e-12",".8291815",".0039864","208.0034","1.57e-14","1.439312",".0205541","70.02554","3.18e-11","1.821438",".0228628","79.6682","1.29e-11"
"42127.county","1.943855",".0094316","206.1006","1.67e-14",".9706383",".0016452","589.9949","1.06e-17",".9732163",".0083892","116.0077","9.33e-13","1.655197",".0092616","178.7157","4.53e-14"
"42129.county","1.74353",".0232422","75.01573","1.97e-11",".7150795",".0040307","177.4081","4.77e-14","1.028451",".020815","49.40918","3.64e-10","1.458908",".02318","62.93816","6.71e-11"
"42131.county","1.779497",".0332538","53.51261","2.09e-10",".8124824",".0057672","140.8802","2.40e-13",".9670148",".0297723","32.48031","6.78e-09","1.530025",".0331443","46.16261","5.85e-10"
"42133.county","1.075676",".00501","214.7045","1.26e-14",".5034866",".0008665","581.0708","1.18e-17",".572189",".0045411","126.003","5.23e-13",".9526691",".0051372","185.446","3.50e-14"
"50003.county","1.530429",".0111225","137.598","2.82e-13",".496948",".0019311","257.3346","3.53e-15","1.033481",".0099468","103.9012","2.02e-12","1.307043",".0110622","118.1539","8.20e-13"
"50007.county",".2186028",".028351","7.710583",".0001152",".1203149",".0049131","24.48866","4.82e-08",".0982879",".0254123","3.867731",".0061497",".270697",".0283273","9.556063",".0000288"
"50011.county","1.273253",".0025871","492.1502","3.78e-17",".5496787",".0004485","1225.598","6.36e-20",".7235746",".002328","310.8122","9.42e-16","1.148205",".0026132","439.38","8.35e-17"
"50019.county","1.781161",".0423896","42.01878","1.13e-09",".3539577",".0073502","48.15643","4.36e-10","1.427203",".0379501","37.60739","2.44e-09","1.378227",".0422387","32.62948","6.57e-09"
"50021.county","1.421816",".0027613","514.9025","2.75e-17",".4165364",".0004789","869.71","7.02e-19","1.00528",".0024746","406.2352","1.45e-16","1.260956",".0027594","456.963","6.35e-17"
"50023.county",".8109385",".0101573","79.83776","1.27e-11",".2602515",".0017635","147.5739","1.73e-13",".5506869",".0090916","60.5712","8.78e-11",".7859596",".0101241","77.6327","1.55e-11"
"50025.county","1.102253",".013883","79.39589","1.32e-11",".3733626",".0024112","154.8462","1.24e-13",".7288908",".0124145","58.71288","1.09e-10","1.056823",".0137982","76.5911","1.70e-11"
"50027.county",".9665857",".0321429","30.07151","1.16e-08",".5054025",".0055795","90.58143","5.26e-12",".4611831",".0287557","16.03799","8.90e-07",".9633428",".0319839","30.1196","1.15e-08"
"_cons","1.706283",".1448476","11.77985","7.20e-06",".5998992",".0228257","26.28171","2.96e-08","1.106384",".1332363","8.303923",".0000718","1.244526",".141001","8.826363",".0000484"
"N","2912","","","","2912","","","","2912","","","","2912","","",""
"r2",".9711726","","","",".8877386","","","",".9773906","","","",".9490113","","",""
"df_m","6","","","","6","","","","6","","","","6","","",""
"df_r","7","","","","7","","","","7","","","","7","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
