"","m2_allapps","","","","m2_DIonly","","","","m2_SSItotal","","","","m2_SSDItotal","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"MAXpost1","-.061701",".0047929","-12.87355","3.96e-06",".004816",".0111483",".431995",".6787396","-.0665171",".0120996","-5.497454",".000909","-.0469646",".0083854","-5.600787",".0008153"
"MAXpost2","-.0610351",".0089795","-6.797194",".0002539",".044841",".0107863","4.157227",".0042565","-.1058761",".007297","-14.50959","1.76e-06","-.0266004",".0079969","-3.326359",".0126541"
"post1","-.0551987",".0435906","-1.266298",".2459158","-.0219328",".0151834","-1.444523",".1918208","-.033266",".029256","-1.137063",".2929328","-.047614",".0382666","-1.244272",".2534446"
"post2",".0358487",".0423079",".847329",".4248313","-.0322189",".0224455","-1.435429",".1943014",".0680676",".0228507","2.978797",".0205499",".0039708",".0365714",".1085764",".9165853"
"ue","-.0026842",".0164843","-.1628323",".8752516",".0093631",".0067502","1.387092",".2079737","-.0120473",".0155919","-.7726629",".465006","-.0081247",".015652","-.519088",".6197023"
"qnum1","-.1301482",".036457","-3.569909",".009098","-.0073197",".0182176","-.4017913",".6998221","-.1228286",".0409172","-3.001882",".0198891","-.0946859",".0438907","-2.157313",".0678767"
"qnum2",".0914428",".0502426","1.820027",".1115641",".0740865",".0176808","4.190214",".004085",".0173563",".0370231",".468796",".6534644",".0653832",".0675176",".9683886",".3651105"
"qnum3",".052198",".0614211",".8498385",".4235252",".0746554",".0235368","3.171858",".0156673","-.0224574",".045349","-.4952135",".6356142",".0420774",".0653895",".6434877",".540408"
"qnum4","-.0196073",".0564781","-.347166",".7386701",".0102402",".006409","1.597793",".1541209","-.0298474",".0528034","-.5652564",".5895485","-.0144061",".0520296","-.2768834",".7898674"
"qnum5","-.2640321",".0425297","-6.208186",".0004417","-.0650306",".0139351","-4.666658",".0022965","-.1990016",".0509713","-3.904191",".0058671","-.1976777",".0313613","-6.303233",".0004029"
"qnum6",".1309299",".0280005","4.675991",".0022715",".0684227",".0050098","13.65789","2.66e-06",".0625071",".0253922","2.461663",".0433595",".0861665",".0304664","2.828245",".0254702"
"qnum7",".0906745",".0205838","4.405141",".0031372",".0699285",".0199773","3.500395",".0099877",".0207459",".005648","3.673163",".007931",".0958792",".020362","4.708731",".0021861"
"qnum8","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"qnum9","-.1833992",".0161027","-11.38931","9.02e-06","-.0522172",".0184867","-2.824586",".0256042","-.131182",".0114723","-11.43465","8.78e-06","-.1442022",".0243911","-5.912089",".0005922"
"qnum10",".0572884",".0171585","3.338768",".0124406",".0461156",".0086122","5.354708",".0010588",".0111729",".0116129",".9621053",".3680455",".0469715",".0143815","3.266118",".0137478"
"qnum11",".069137",".0234153","2.952643",".0213267",".0436988",".0132496","3.298129",".0131545",".0254383",".0111371","2.284104",".0562947",".0513566",".0208293","2.465598",".0431102"
"qnum12","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"qnum13","-.3187001",".0165323","-19.27744","2.52e-07","-.08551",".0181177","-4.719693",".0021583","-.23319",".0229997","-10.13885",".0000195","-.2302016",".0151012","-15.24397","1.26e-06"
"qnum14","-.0087621",".0140777","-.6224125",".5533968",".0285387",".0136646","2.088518",".0751342","-.0373008",".0144756","-2.576804",".0366426",".0119406",".0063623","1.876783",".10265"
"qnum15","-.0312775",".0282014","-1.109078",".3040404",".0237461",".022192","1.070033",".3201068","-.0550236",".0087854","-6.263083",".0004188","-.0115007",".0259118","-.4438399",".6705539"
"qnum16","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"9001.county","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"23003.county","2.767793",".0381503","72.54962","2.49e-11","1.613146",".0156451","103.1089","2.13e-12","1.154647",".0360931","31.99077","7.54e-09","2.331811",".0362229","64.37392","5.73e-11"
"23007.county","1.505246",".0298225","50.47351","3.14e-10",".5548794",".0122021","45.4741","6.50e-10",".9503665",".0281774","33.72795","5.22e-09","1.370611",".028337","48.36816","4.22e-10"
"23009.county","1.127062",".0221192","50.95403","2.94e-10",".4774969",".0090639","52.68116","2.33e-10",".6495649",".0209113","31.0628","9.25e-09","1.043586",".0210096","49.67176","3.51e-10"
"23013.county","1.677997",".0021924","765.3626","1.72e-18",".5977546",".0008995","664.5774","4.61e-18","1.080242",".0020711","521.5794","2.51e-17","1.357601",".0020815","652.2255","5.26e-18"
"23029.county","2.865964",".062344","45.97015","6.03e-10",".8485004",".0255633","33.19209","5.83e-09","2.017464",".058984","34.2036","4.73e-09","2.194526",".0591927","37.0743","2.70e-09"
"25009.county","1.165956",".0148509","78.51084","1.43e-11",".2436053",".0106015","22.97838","7.49e-08",".922351",".0156276","59.02075","1.05e-10",".9533043",".0140117","68.03653","3.90e-11"
"25015.county",".5376245",".0054072","99.42683","2.74e-12",".1730811",".0037252","46.46173","5.59e-10",".3645434",".004682","77.8605","1.52e-11",".5739038",".0060627","94.66107","3.87e-12"
"25017.county",".0720487",".0055895","12.89003","3.93e-06",".0368311",".003672","10.03025",".000021",".0352176",".0048053","7.328972",".0001588",".1458875",".0062031","23.51851","6.38e-08"
"25025.county","1.646451",".0123357","133.4699","3.50e-13","-.0169201",".0096094","-1.760787",".1216624","1.663371",".0131053","126.9238","4.97e-13",".9617872",".011667","82.43671","1.02e-11"
"33001.county","1.133057",".0114921","98.59477","2.91e-12",".6407775",".0047161","135.8706","3.09e-13",".4922795",".0108834","45.23217","6.75e-10","1.182148",".0109095","108.36","1.50e-12"
"33005.county",".9305162",".0143646","64.7783","5.49e-11",".5772474",".0059035","97.77992","3.08e-12",".3532688",".0136098","25.95693","3.22e-08","1.061966",".0136286","77.92162","1.51e-11"
"33009.county",".5389766",".0215021","25.06626","4.10e-08",".4538228",".0088384","51.34684","2.78e-10",".0851538",".0203716","4.180014",".0041372",".6807802",".0204015","33.36909","5.62e-09"
"33011.county",".7412272",".0097352","76.13908","1.77e-11",".4553485",".0040054","113.6846","1.07e-12",".2858787",".009232","30.96611","9.46e-09",".7819124",".0092331","84.68571","8.43e-12"
"33017.county",".8174024",".0147355","55.47168","1.62e-10",".4731262",".0060901","77.68747","1.54e-11",".3442762",".0139827","24.6215","4.65e-08",".9163901",".0139721","65.58726","5.03e-11"
"34001.county","1.193863",".0248832","47.97863","4.47e-10",".415978",".0101742","40.88543","1.37e-09",".7778846",".0235163","33.07851","5.97e-09","1.033492",".0236345","43.72815","8.54e-10"
"34003.county","-.3723565",".0075201","-49.51498","3.59e-10",".0881001",".0030736","28.66386","1.62e-08","-.4604566",".0071197","-64.67355","5.55e-11","-.1577573",".0071348","-22.11082","9.78e-08"
"34005.county",".437592",".0031692","138.0747","2.76e-13",".4269877",".0012927","330.3057","6.16e-16",".0106042",".0030034","3.530751",".0095881",".5337434",".0030056","177.5856","4.74e-14"
"34007.county","1.598636",".013682","116.8419","8.87e-13",".4856817",".0055921","86.85075","7.06e-12","1.112954",".0129383","86.01999","7.56e-12","1.132318",".0129894","87.17269","6.88e-12"
"34009.county","1.21476",".0463673","26.19862","3.02e-08",".4312135",".019028","22.66201","8.25e-08",".783546",".0439037","17.84694","4.28e-07","1.102269",".0440069","25.04765","4.12e-08"
"34011.county","1.625181",".0415189","39.14317","1.85e-09",".4878912",".0169517","28.7812","1.57e-08","1.13729",".0392244","28.99443","1.49e-08","1.238099",".0394413","31.39092","8.60e-09"
"34013.county","1.435048",".0242822","59.09885","1.04e-10",".0924658",".009973","9.271586",".0000351","1.342583",".022986","58.40865","1.13e-10",".6740135",".0230512","29.23985","1.41e-08"
"34015.county",".6409334",".0053595","119.5889","7.54e-13",".5604403",".00212","264.3629","2.93e-15",".0804931",".0049953","16.11371","8.62e-07",".7290369",".0051234","142.2955","2.23e-13"
"34017.county","1.089441",".0197719","55.10056","1.70e-10",".0273288",".0081031","3.372642",".0118774","1.062112",".0187064","56.77811","1.38e-10",".5610916",".0187733","29.88775","1.21e-08"
"34021.county",".8084549",".0025318","319.3205","7.80e-16",".2072322",".0010411","199.05","2.13e-14",".6012228",".0024113","249.3324","4.41e-15",".5853637",".0023946","244.4524","5.06e-15"
