"","m_allapps","","","","m_DIonly","","","","m_SSItotal","","","","m_SSDItotal","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"188.qnum",".0571901",".0209784","2.726147",".0260003",".0438734",".0098623","4.448617",".0021432",".0133167",".0221282",".6017968",".5639708",".0531002",".0206276","2.574224",".0329106"
"189.qnum",".0718274",".0351795","2.04174",".0754697",".0378315",".0151964","2.489512",".0375508",".0339958",".0220346","1.54284",".1614439",".0578125",".0181508","3.185128",".0128976"
"190.qnum","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"191.qnum","-.3401122",".052424","-6.487719",".0001906","-.1014169",".0379208","-2.674436",".0281679","-.2386953",".0449682","-5.308091",".0007213","-.2594679",".0425194","-6.102336",".0002887"
"192.qnum","-.0212801",".0157774","-1.348777",".2143427",".0221315",".0153723","1.439698",".187911","-.0434116",".0146193","-2.969464",".0178858",".0002079",".0134718",".0154349",".9880632"
"193.qnum","-.0527158",".039736","-1.32665",".2212422",".0072873",".0269761",".2701406",".7938901","-.0600031",".0254491","-2.357772",".0461183","-.0309566",".0281214","-1.100817",".3029927"
"194.qnum","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"195.qnum","-.461286",".1221793","-3.775483",".005423","-.2140228",".0520785","-4.109616",".0033924","-.247263",".1098652","-2.250604",".0545159","-.4195708",".0997492","-4.206258",".002971"
"196.qnum","-.0117276",".0344389","-.3405333",".7422247","-.0148429",".0143154","-1.036852",".3301259",".0031153",".0266919",".116714",".9099636","-.0317223",".0388631","-.8162582",".4379803"
"197.qnum","-.0432827",".0391893","-1.104452",".3015052","-.0142922",".0111543","-1.281318",".2359721","-.0289905",".0366192","-.7916746",".4513832","-.0392185",".0258141","-1.519269",".1671794"
"198.qnum","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_cons","2.549057",".2685999","9.490161",".0000125",".9011468",".1139413","7.90887",".0000474","1.64791",".280212","5.880939",".0003696","1.994057",".2576827","7.738421",".0000554"
"N","279","","","","279","","","","279","","","","279","","",""
"r2",".961595","","","",".9168855","","","",".9581999","","","",".96004","","",""
"df_m","7","","","","7","","","","7","","","","7","","",""
"df_r","8","","","","8","","","","8","","","","8","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
