"","m3_allapps","","","","m3_DIonly","","","","m3_SSItotal","","","","m3_SSDItotal","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"MAXpost1",".0404911",".036051","1.123161",".3042907",".0078176",".0081703",".9568294",".3756015",".0326735",".0300091","1.088788",".3180352",".0371686",".0351217","1.058281",".330661"
"MAXpost2",".1334743",".0393089","3.395521",".0145761",".054036",".013419","4.026817",".0069052",".0794382",".0396366","2.004165",".0918944",".1365199",".0458258","2.979102",".0246653"
"post1","-.0458952",".0709667","-.6467149",".54175","-.0210393",".0172638","-1.218694",".2686982","-.0248559",".0552161","-.4501574",".6684046","-.0713577",".05273","-1.353264",".224731"
"post2",".0919794",".0543024","1.693837",".141236","-.0118395",".0090804","-1.303861",".240068",".103819",".055658","1.865302",".1114019","-.044545",".0509299","-.8746336",".4154067"
"ue","-.0023991",".0701376","-.0342063",".9738222",".0049629",".0163402",".3037251",".7715943","-.0073621",".0581246","-.1266611",".9033466",".0296624",".0602807",".4920707",".6401531"
"qnum1","-.2840987",".0313661","-9.057505",".0001016","-.0074722",".0280343","-.2665385",".798748","-.2766264",".0348001","-7.94902",".0002108","-.1584257",".0298011","-5.316094",".0018019"
"qnum2",".0678194",".0445628","1.521883",".1788616",".1124508",".016036","7.012402",".0004194","-.0446313",".0378103","-1.1804",".2825124",".0490498",".04618","1.062143",".3290404"
"qnum3","-.0237755",".0323965","-.7338927",".490686",".0593977",".0214054","2.77489",".0322137","-.0831731",".0416821","-1.995414",".0930156",".0113852",".0371529",".3064408",".7696246"
"qnum4",".0070454",".0787863",".0894245",".9316549",".0317735",".0095876","3.314022",".0161238","-.024728",".0850986","-.2905808",".7811542",".0130256",".0577906",".2253937",".8291539"
"qnum5","-.3082405",".0848572","-3.632461",".0109329","-.0917714",".0043427","-21.13252","7.32e-07","-.216469",".0872371","-2.481388",".0477155","-.2325006",".0645262","-3.603197",".011323"
"qnum6",".210447",".0427971","4.917314",".002664",".0984137",".0086542","11.37181",".0000277",".1120333",".0424429","2.639624",".0385598",".1118919",".0326711","3.424801",".0140606"
"qnum7",".0699466",".0563372","1.24157",".2607284",".0605279",".017636","3.43206",".0139359",".0094188",".0446277",".2110526",".8398319",".0709668",".0466191","1.52227",".1787671"
"qnum8","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"qnum9","-.2953304",".0515585","-5.728069",".0012285","-.0938912",".0337578","-2.781322",".0319412","-.2014392",".0279708","-7.20176",".0003628","-.1848445",".0455575","-4.057389",".0066702"
"qnum10",".0962513",".0460124","2.091855",".0813892",".0493123",".0278482","1.770751",".126992",".0469391",".0314122","1.494296",".1857183",".0611197",".0468539","1.304475",".2398718"
"qnum11",".0751755",".0402428","1.868049",".1109786",".0392865",".0192371","2.042223",".0871756",".035889",".0278799","1.287272",".2454238",".0879695",".0195524","4.499156",".0041076"
"qnum12","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"qnum13","-.5375104",".1047741","-5.130183",".0021566","-.1426395",".0070379","-20.2673","9.38e-07","-.3948711",".1019373","-3.873666",".0082308","-.3051248",".0794844","-3.8388",".0085709"
"qnum14","-.0874773",".0327868","-2.668062",".0371224",".013495",".01249","1.080461",".3214412","-.1009723",".0408635","-2.470964",".0483944","-.0181737",".0286107","-.6352084",".5487354"
"qnum15","-.1603028",".0564673","-2.838863",".0296111","-.0241674",".0181943","-1.328298",".2323683","-.1361353",".058993","-2.307652",".060463","-.0559961",".0371618","-1.50682",".1825755"
"qnum16","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"9003.county","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"9005.county","-.6258021",".0490122","-12.76829",".0000142",".2395865",".011447","20.93003","7.75e-07","-.8653887",".0405909","-21.31978","6.94e-07","-.1318382",".0421081","-3.130947",".0203002"
"9007.county","-.8987578",".0765558","-11.73991",".0000231","-.0173537",".0178121","-.974266",".3675505","-.8814042",".0634641","-13.88823","8.68e-06","-.4138522",".0658152","-6.288096",".0007531"
"9009.county",".172978",".0038052","45.45788","7.59e-09",".1226457",".000885","138.5879","9.52e-12",".0503322",".0031549","15.95359","3.85e-06",".1202294",".003273","36.73415","2.72e-08"
"9011.county","-.147222",".0520758","-2.827072",".0300732",".2291006",".0121465","18.86144","1.43e-06","-.3763225",".0431529","-8.720675",".0001257",".2219241",".0447588","4.958223",".0025568"
"9013.county","-1.31401",".0765629","-17.1625","2.51e-06","-.1068212",".0178238","-5.993167",".0009703","-1.207189",".0634612","-19.02246","1.36e-06","-.7181833",".065817","-10.91182",".0000351"
"9015.county",".0858387",".0231491","3.708085",".0099922",".4239541",".0054261","78.13287","2.96e-10","-.3381154",".0191542","-17.6523","2.12e-06",".3330367",".0198602","16.76909","2.87e-06"
"23001.county","1.091421",".0256925","42.48011","1.14e-08",".4528801",".0060065","75.39782","3.66e-10",".6385411",".0212719","30.01802","9.07e-08","1.115627",".0220706","50.54813","4.02e-09"
"23005.county","-.3417094",".1133844","-3.013724",".023587",".083074",".0264041","3.146257",".0199091","-.4247834",".0939749","-4.520181",".0040168",".0415579",".0974592",".4264134",".6846814"
"23011.county","1.156483",".0299659","38.59329","2.02e-08",".4844869",".0069817","69.39366","6.03e-10",".6719955",".0248324","27.06125","1.68e-07","1.217481",".0257545","47.27255","6.01e-09"
