"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","-0.028","0.007","0.035","0.120***","0.125***","0.105**"
"estimates","RM","std.error","(0.068)","(0.055)","(0.042)","(0.027)","(0.025)","(0.029)"
"estimates","RM","statistic","(-0.415)","(0.119)","(0.826)","(4.474)","(5.029)","(3.578)"
"estimates","RM","p.value","(0.681)","(0.906)","(0.416)","(<0.001)","(<0.001)","(0.001)"
"gof","N Obs.","","12091","10602","9115","7732","6399","5121"
"gof","Adjusted R2","","0.95","0.96","0.97","0.98","0.98","0.98"
"gof","Adjusted within R2","","0.01","0.01","0.01","0.01","0.01","0.00"
