"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","-0.002","0.043","0.062","0.128***","0.118***","0.093**"
"estimates","RM","std.error","(0.065)","(0.048)","(0.036)","(0.024)","(0.023)","(0.027)"
"estimates","RM","statistic","(-0.036)","(0.890)","(1.712)","(5.367)","(5.135)","(3.497)"
"estimates","RM","p.value","(0.972)","(0.379)","(0.094)","(<0.001)","(<0.001)","(0.001)"
"gof","N Obs.","","18881","16525","14197","12014","9948","7953"
"gof","Adjusted R2","","0.95","0.97","0.97","0.98","0.98","0.98"
"gof","Adjusted within R2","","0.00","0.01","0.01","0.01","0.01","0.00"
