"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","0.043","0.063","0.099","0.142**","0.138*","0.097"
"estimates","RM","std.error","(0.072)","(0.058)","(0.051)","(0.049)","(0.052)","(0.048)"
"estimates","RM","statistic","(0.597)","(1.087)","(1.942)","(2.906)","(2.657)","(2.032)"
"estimates","RM","p.value","(0.556)","(0.287)","(0.064)","(0.008)","(0.014)","(0.053)"
"gof","N Obs.","","13858","12038","10290","8666","7111","5607"
"gof","Adjusted R2","","0.92","0.93","0.94","0.94","0.95","0.96"
"gof","Adjusted within R2","","0.01","0.01","0.01","0.00","0.00","0.00"
