"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","-0.146","0.747","2.480*","0.614","0.590","1.222"
"estimates","RM","std.error","(0.815)","(0.988)","(0.974)","(0.547)","(1.276)","(1.568)"
"estimates","RM","statistic","(-0.179)","(0.756)","(2.547)","(1.122)","(0.462)","(0.779)"
"estimates","RM","p.value","(0.859)","(0.457)","(0.017)","(0.272)","(0.648)","(0.443)"
"gof","N Obs.","","9267","9323","8492","7654","6817","5969"
"gof","Adjusted R2","","0.86","0.86","0.87","0.87","0.88","0.88"
"gof","Adjusted within R2","","0.00","0.00","0.00","0.00","0.00","0.00"
