"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","1.965","0.950","2.380","3.802*","5.087**","5.599***"
"estimates","RM","std.error","(2.577)","(2.895)","(1.944)","(1.492)","(1.569)","(0.934)"
"estimates","RM","statistic","(0.762)","(0.328)","(1.224)","(2.548)","(3.243)","(5.995)"
"estimates","RM","p.value","(0.453)","(0.745)","(0.232)","(0.017)","(0.003)","(<0.001)"
"gof","N Obs.","","4946","4867","4368","3887","3411","2940"
"gof","Adjusted R2","","0.76","0.76","0.77","0.79","0.80","0.81"
"gof","Adjusted within R2","","0.01","0.01","0.00","0.01","0.01","0.01"
