"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","-0.027","-0.007","0.037","0.069","0.058","0.031"
"estimates","RM","std.error","(0.091)","(0.076)","(0.070)","(0.060)","(0.060)","(0.055)"
"estimates","RM","statistic","(-0.293)","(-0.092)","(0.531)","(1.138)","(0.970)","(0.562)"
"estimates","RM","p.value","(0.771)","(0.927)","(0.599)","(0.262)","(0.337)","(0.577)"
"gof","N Obs.","","22224","19253","16422","13790","11291","8887"
"gof","Adjusted R2","","0.92","0.93","0.94","0.94","0.95","0.96"
"gof","Adjusted within R2","","0.01","0.01","0.01","0.00","0.00","-0.00"
