"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","0.419","1.413","2.037","0.632","0.035","-0.659"
"estimates","RM","std.error","(0.947)","(0.703)","(1.100)","(0.591)","(1.744)","(1.216)"
"estimates","RM","statistic","(0.443)","(2.010)","(1.852)","(1.070)","(0.020)","(-0.542)"
"estimates","RM","p.value","(0.660)","(0.051)","(0.071)","(0.291)","(0.984)","(0.591)"
"gof","N Obs.","","14852","14966","13627","12286","10926","9566"
"gof","Adjusted R2","","0.81","0.82","0.82","0.82","0.83","0.83"
"gof","Adjusted within R2","","0.00","0.00","0.00","0.00","0.00","0.00"
