"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","3.064","2.615","0.911","0.645","0.859","0.889"
"estimates","RM","std.error","(1.898)","(1.681)","(1.527)","(1.036)","(0.951)","(1.506)"
"estimates","RM","statistic","(1.614)","(1.555)","(0.597)","(0.622)","(0.903)","(0.591)"
"estimates","RM","p.value","(0.119)","(0.132)","(0.556)","(0.539)","(0.375)","(0.560)"
"gof","N Obs.","","4946","4867","4368","3887","3411","2940"
"gof","Adjusted R2","","0.84","0.84","0.84","0.85","0.85","0.85"
"gof","Adjusted within R2","","0.02","0.01","0.01","0.01","0.01","-0.00"
