"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","2.005","0.654","1.496","2.262","3.615","3.283*"
"estimates","RM","std.error","(1.876)","(2.575)","(1.937)","(1.745)","(2.030)","(1.573)"
"estimates","RM","statistic","(1.069)","(0.254)","(0.773)","(1.297)","(1.781)","(2.087)"
"estimates","RM","p.value","(0.291)","(0.801)","(0.444)","(0.202)","(0.082)","(0.043)"
"gof","N Obs.","","8084","7980","7154","6350","5564","4789"
"gof","Adjusted R2","","0.78","0.79","0.80","0.81","0.82","0.82"
"gof","Adjusted within R2","","0.01","0.01","0.00","0.01","0.01","0.01"
