"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","0.593","1.857*","2.744*","1.007","0.832","-0.243"
"estimates","RM","std.error","(1.113)","(0.828)","(1.073)","(0.695)","(1.954)","(1.476)"
"estimates","RM","statistic","(0.533)","(2.243)","(2.556)","(1.449)","(0.426)","(-0.165)"
"estimates","RM","p.value","(0.599)","(0.034)","(0.017)","(0.160)","(0.674)","(0.870)"
"gof","N Obs.","","9267","9323","8492","7654","6817","5969"
"gof","Adjusted R2","","0.82","0.83","0.83","0.83","0.84","0.84"
"gof","Adjusted within R2","","0.00","0.00","0.00","0.00","0.00","0.00"
