"part","term","statistic","Lead 1","Lead 2","Lead 3","Lead 4","Lead 5","Lead 6"
"estimates","RM","estimate","-0.517","-0.063","1.277","-0.148","-0.635","0.115"
"estimates","RM","std.error","(0.736)","(0.904)","(0.975)","(0.596)","(1.217)","(1.477)"
"estimates","RM","statistic","(-0.702)","(-0.070)","(1.310)","(-0.249)","(-0.522)","(0.078)"
"estimates","RM","p.value","(0.486)","(0.945)","(0.197)","(0.805)","(0.605)","(0.938)"
"gof","N Obs.","","14852","14966","13627","12286","10926","9566"
"gof","Adjusted R2","","0.86","0.86","0.86","0.87","0.87","0.87"
"gof","Adjusted within R2","","0.00","0.00","0.00","0.00","0.00","0.00"
