"name","value","note","date"
"epiSignParityFPRRoundedEpsTenLaplaceAlphaOne","0\%",NA,2026-09-04
"signFlipEpsTenGaussianAlphaOne","0.0\%",NA,2026-09-04
"signFlipRoundedEpsTenGaussianAlphaOne","0\%",NA,2026-09-04
"signFlipEpsTenLaplaceAlphaOne","0.1\%",NA,2026-09-04
"signFlipRoundedEpsTenLaplaceAlphaOne","0\%",NA,2026-09-04
"epiParityEpsTenGaussianAlphaFive","94.5\%",NA,2026-09-04
"epiParityRoundedEpsTenGaussianAlphaFive","94\%",NA,2026-09-04
"epiDisparityEpsTenGaussianAlphaFive","5.5\%",NA,2026-09-04
"epiDisparityRoundedEpsTenGaussianAlphaFive","6\%",NA,2026-09-04
"epiParityEpsTenLaplaceAlphaFive","92.5\%",NA,2026-09-04
"epiParityRoundedEpsTenLaplaceAlphaFive","92\%",NA,2026-09-04
"epiDisparityEpsTenLaplaceAlphaFive","7.5\%",NA,2026-09-04
"epiDisparityRoundedEpsTenLaplaceAlphaFive","8\%",NA,2026-09-04
"epiSignParityEpsTenGaussianAlphaFive","93.5\%",NA,2026-09-04
"epiSignParityRoundedEpsTenGaussianAlphaFive","93\%",NA,2026-09-04
"epiSignDisparityEpsTenGaussianAlphaFive","6.5\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenGaussianAlphaFive","7\%",NA,2026-09-04
"epiSignParityEpsTenLaplaceAlphaFive","92.2\%",NA,2026-09-04
"epiSignParityRoundedEpsTenLaplaceAlphaFive","92\%",NA,2026-09-04
"epiSignDisparityEpsTenLaplaceAlphaFive","7.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenLaplaceAlphaFive","8\%",NA,2026-09-04
"ciCoverageEpsTenGaussianAlphaFive","97.9\%",NA,2026-09-04
"ciCoverageRoundedEpsTenGaussianAlphaFive","98\%",NA,2026-09-04
"ciCoverageEpsTenLaplaceAlphaFive","94.8\%",NA,2026-09-04
"ciCoverageRoundedEpsTenLaplaceAlphaFive","95\%",NA,2026-09-04
"epiSignParityFPREpsTenGaussianAlphaFive","0.3\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenGaussianAlphaFive","0\%",NA,2026-09-04
"epiSignParityFPREpsTenLaplaceAlphaFive","0.6\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenLaplaceAlphaFive","1\%",NA,2026-09-04
"signFlipEpsTenGaussianAlphaFive","0.0\%",NA,2026-09-04
"signFlipRoundedEpsTenGaussianAlphaFive","0\%",NA,2026-09-04
"signFlipEpsTenLaplaceAlphaFive","0.2\%",NA,2026-09-04
"signFlipRoundedEpsTenLaplaceAlphaFive","0\%",NA,2026-09-04
"epiParityEpsTenGaussianAlphaTen","95.8\%",NA,2026-09-04
"epiParityRoundedEpsTenGaussianAlphaTen","96\%",NA,2026-09-04
"epiDisparityEpsTenGaussianAlphaTen","4.2\%",NA,2026-09-04
"epiDisparityRoundedEpsTenGaussianAlphaTen","4\%",NA,2026-09-04
"epiParityEpsTenLaplaceAlphaTen","93.9\%",NA,2026-09-04
"epiParityRoundedEpsTenLaplaceAlphaTen","94\%",NA,2026-09-04
"epiDisparityEpsTenLaplaceAlphaTen","6.1\%",NA,2026-09-04
"epiDisparityRoundedEpsTenLaplaceAlphaTen","6\%",NA,2026-09-04
"epiSignParityEpsTenGaussianAlphaTen","94.3\%",NA,2026-09-04
"epiSignParityRoundedEpsTenGaussianAlphaTen","94\%",NA,2026-09-04
"epiSignDisparityEpsTenGaussianAlphaTen","5.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenGaussianAlphaTen","6\%",NA,2026-09-04
"epiSignParityEpsTenLaplaceAlphaTen","93.2\%",NA,2026-09-04
"epiSignParityRoundedEpsTenLaplaceAlphaTen","93\%",NA,2026-09-04
"epiSignDisparityEpsTenLaplaceAlphaTen","6.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenLaplaceAlphaTen","7\%",NA,2026-09-04
"ciCoverageEpsTenGaussianAlphaTen","97.2\%",NA,2026-09-04
"ciCoverageRoundedEpsTenGaussianAlphaTen","97\%",NA,2026-09-04
"ciCoverageEpsTenLaplaceAlphaTen","93.2\%",NA,2026-09-04
"ciCoverageRoundedEpsTenLaplaceAlphaTen","93\%",NA,2026-09-04
"epiSignParityFPREpsTenGaussianAlphaTen","0.5\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenGaussianAlphaTen","1\%",NA,2026-09-04
"epiSignParityFPREpsTenLaplaceAlphaTen","0.8\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenLaplaceAlphaTen","1\%",NA,2026-09-04
"signFlipEpsTenGaussianAlphaTen","0.0\%",NA,2026-09-04
"signFlipRoundedEpsTenGaussianAlphaTen","0\%",NA,2026-09-04
"signFlipEpsTenLaplaceAlphaTen","0.3\%",NA,2026-09-04
"signFlipRoundedEpsTenLaplaceAlphaTen","0\%",NA,2026-09-04
"epiParityEpsOneGaussianAlphaOne","89.3\%",NA,2026-09-04
"epiParityRoundedEpsOneGaussianAlphaOne","89\%",NA,2026-09-04
"epiDisparityEpsOneGaussianAlphaOne","10.7\%",NA,2026-09-04
"epiDisparityRoundedEpsOneGaussianAlphaOne","11\%",NA,2026-09-04
"epiParityEpsOneLaplaceAlphaOne","82.2\%",NA,2026-09-04
"epiParityRoundedEpsOneLaplaceAlphaOne","82\%",NA,2026-09-04
"epiDisparityEpsOneLaplaceAlphaOne","17.8\%",NA,2026-09-04
"epiDisparityRoundedEpsOneLaplaceAlphaOne","18\%",NA,2026-09-04
"epiSignParityEpsOneGaussianAlphaOne","89.3\%",NA,2026-09-04
"epiSignParityRoundedEpsOneGaussianAlphaOne","89\%",NA,2026-09-04
"epiSignDisparityEpsOneGaussianAlphaOne","10.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneGaussianAlphaOne","11\%",NA,2026-09-04
"epiSignParityEpsOneLaplaceAlphaOne","81.9\%",NA,2026-09-04
"epiSignParityRoundedEpsOneLaplaceAlphaOne","82\%",NA,2026-09-04
"epiSignDisparityEpsOneLaplaceAlphaOne","18.1\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneLaplaceAlphaOne","18\%",NA,2026-09-04
"ciCoverageEpsOneGaussianAlphaOne","94.0\%",NA,2026-09-04
"ciCoverageRoundedEpsOneGaussianAlphaOne","94\%",NA,2026-09-04
"ciCoverageEpsOneLaplaceAlphaOne","89.3\%",NA,2026-09-04
"ciCoverageRoundedEpsOneLaplaceAlphaOne","89\%",NA,2026-09-04
"epiSignParityFPREpsOneGaussianAlphaOne","0.3\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneGaussianAlphaOne","0\%",NA,2026-09-04
"epiSignParityFPREpsOneLaplaceAlphaOne","0.4\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneLaplaceAlphaOne","0\%",NA,2026-09-04
"signFlipEpsOneGaussianAlphaOne","0.3\%",NA,2026-09-04
"signFlipRoundedEpsOneGaussianAlphaOne","0\%",NA,2026-09-04
"signFlipEpsOneLaplaceAlphaOne","0.2\%",NA,2026-09-04
"signFlipRoundedEpsOneLaplaceAlphaOne","0\%",NA,2026-09-04
"epiParityEpsOneGaussianAlphaFive","89.7\%",NA,2026-09-04
"epiParityRoundedEpsOneGaussianAlphaFive","90\%",NA,2026-09-04
"epiDisparityEpsOneGaussianAlphaFive","10.3\%",NA,2026-09-04
"epiDisparityRoundedEpsOneGaussianAlphaFive","10\%",NA,2026-09-04
"epiParityEpsOneLaplaceAlphaFive","82.7\%",NA,2026-09-04
"epiParityRoundedEpsOneLaplaceAlphaFive","83\%",NA,2026-09-04
"epiDisparityEpsOneLaplaceAlphaFive","17.3\%",NA,2026-09-04
"epiDisparityRoundedEpsOneLaplaceAlphaFive","17\%",NA,2026-09-04
"epiSignParityEpsOneGaussianAlphaFive","89.3\%",NA,2026-09-04
"epiSignParityRoundedEpsOneGaussianAlphaFive","89\%",NA,2026-09-04
"epiSignDisparityEpsOneGaussianAlphaFive","10.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneGaussianAlphaFive","11\%",NA,2026-09-04
"epiSignParityEpsOneLaplaceAlphaFive","82.1\%",NA,2026-09-04
"epiSignParityRoundedEpsOneLaplaceAlphaFive","82\%",NA,2026-09-04
"epiSignDisparityEpsOneLaplaceAlphaFive","17.9\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneLaplaceAlphaFive","18\%",NA,2026-09-04
"ciCoverageEpsOneGaussianAlphaFive","92.2\%",NA,2026-09-04
"ciCoverageRoundedEpsOneGaussianAlphaFive","92\%",NA,2026-09-04
"ciCoverageEpsOneLaplaceAlphaFive","86.1\%",NA,2026-09-04
"ciCoverageRoundedEpsOneLaplaceAlphaFive","86\%",NA,2026-09-04
"epiSignParityFPREpsOneGaussianAlphaFive","0.9\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneGaussianAlphaFive","1\%",NA,2026-09-04
"epiSignParityFPREpsOneLaplaceAlphaFive","1.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneLaplaceAlphaFive","1\%",NA,2026-09-04
"signFlipEpsOneGaussianAlphaFive","0.4\%",NA,2026-09-04
"signFlipRoundedEpsOneGaussianAlphaFive","0\%",NA,2026-09-04
"signFlipEpsOneLaplaceAlphaFive","0.3\%",NA,2026-09-04
"signFlipRoundedEpsOneLaplaceAlphaFive","0\%",NA,2026-09-04
"epiParityEpsOneGaussianAlphaTen","90.9\%",NA,2026-09-04
"epiParityRoundedEpsOneGaussianAlphaTen","91\%",NA,2026-09-04
"epiDisparityEpsOneGaussianAlphaTen","9.1\%",NA,2026-09-04
"epiDisparityRoundedEpsOneGaussianAlphaTen","9\%",NA,2026-09-04
"epiParityEpsOneLaplaceAlphaTen","85.1\%",NA,2026-09-04
"epiParityRoundedEpsOneLaplaceAlphaTen","85\%",NA,2026-09-04
"epiDisparityEpsOneLaplaceAlphaTen","14.9\%",NA,2026-09-04
"epiDisparityRoundedEpsOneLaplaceAlphaTen","15\%",NA,2026-09-04
"epiSignParityEpsOneGaussianAlphaTen","90.3\%",NA,2026-09-04
"epiSignParityRoundedEpsOneGaussianAlphaTen","90\%",NA,2026-09-04
"epiSignDisparityEpsOneGaussianAlphaTen","9.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneGaussianAlphaTen","10\%",NA,2026-09-04
"epiSignParityEpsOneLaplaceAlphaTen","84.4\%",NA,2026-09-04
"epiSignParityRoundedEpsOneLaplaceAlphaTen","84\%",NA,2026-09-04
"epiSignDisparityEpsOneLaplaceAlphaTen","15.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneLaplaceAlphaTen","16\%",NA,2026-09-04
"ciCoverageEpsOneGaussianAlphaTen","91.2\%",NA,2026-09-04
"ciCoverageRoundedEpsOneGaussianAlphaTen","91\%",NA,2026-09-04
"ciCoverageEpsOneLaplaceAlphaTen","84.4\%",NA,2026-09-04
"ciCoverageRoundedEpsOneLaplaceAlphaTen","84\%",NA,2026-09-04
"epiSignParityFPREpsOneGaussianAlphaTen","1.2\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneGaussianAlphaTen","1\%",NA,2026-09-04
"epiSignParityFPREpsOneLaplaceAlphaTen","1.5\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneLaplaceAlphaTen","2\%",NA,2026-09-04
"signFlipEpsOneGaussianAlphaTen","0.4\%",NA,2026-09-04
"signFlipRoundedEpsOneGaussianAlphaTen","0\%",NA,2026-09-04
"signFlipEpsOneLaplaceAlphaTen","0.5\%",NA,2026-09-04
"signFlipRoundedEpsOneLaplaceAlphaTen","0\%",NA,2026-09-04
"epiParityEpsPointOneGaussianAlphaOne","76.3\%",NA,2026-09-04
"epiParityRoundedEpsPointOneGaussianAlphaOne","76\%",NA,2026-09-04
"epiDisparityEpsPointOneGaussianAlphaOne","23.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneGaussianAlphaOne","24\%",NA,2026-09-04
"epiParityEpsPointOneLaplaceAlphaOne","69.3\%",NA,2026-09-04
"epiParityRoundedEpsPointOneLaplaceAlphaOne","69\%",NA,2026-09-04
"epiDisparityEpsPointOneLaplaceAlphaOne","30.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneLaplaceAlphaOne","31\%",NA,2026-09-04
"epiSignParityEpsPointOneGaussianAlphaOne","76.4\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneGaussianAlphaOne","76\%",NA,2026-09-04
"epiSignDisparityEpsPointOneGaussianAlphaOne","23.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneGaussianAlphaOne","24\%",NA,2026-09-04
"epiSignParityEpsPointOneLaplaceAlphaOne","68.2\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneLaplaceAlphaOne","68\%",NA,2026-09-04
"epiSignDisparityEpsPointOneLaplaceAlphaOne","31.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneLaplaceAlphaOne","32\%",NA,2026-09-04
"ciCoverageEpsPointOneGaussianAlphaOne","83.1\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneGaussianAlphaOne","83\%",NA,2026-09-04
"ciCoverageEpsPointOneLaplaceAlphaOne","72.0\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneLaplaceAlphaOne","72\%",NA,2026-09-04
"epiSignParityFPREpsPointOneGaussianAlphaOne","0.3\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneGaussianAlphaOne","0\%",NA,2026-09-04
"epiSignParityFPREpsPointOneLaplaceAlphaOne","1.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneLaplaceAlphaOne","1\%",NA,2026-09-04
"signFlipEpsPointOneGaussianAlphaOne","0.3\%",NA,2026-09-04
"signFlipRoundedEpsPointOneGaussianAlphaOne","0\%",NA,2026-09-04
"signFlipEpsPointOneLaplaceAlphaOne","0.7\%",NA,2026-09-04
"signFlipRoundedEpsPointOneLaplaceAlphaOne","1\%",NA,2026-09-04
"epiParityEpsPointOneGaussianAlphaFive","76.3\%",NA,2026-09-04
"epiParityRoundedEpsPointOneGaussianAlphaFive","76\%",NA,2026-09-04
"epiDisparityEpsPointOneGaussianAlphaFive","23.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneGaussianAlphaFive","24\%",NA,2026-09-04
"epiParityEpsPointOneLaplaceAlphaFive","69.3\%",NA,2026-09-04
"epiParityRoundedEpsPointOneLaplaceAlphaFive","69\%",NA,2026-09-04
"epiDisparityEpsPointOneLaplaceAlphaFive","30.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneLaplaceAlphaFive","31\%",NA,2026-09-04
"epiSignParityEpsPointOneGaussianAlphaFive","77.0\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneGaussianAlphaFive","77\%",NA,2026-09-04
"epiSignDisparityEpsPointOneGaussianAlphaFive","23.0\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneGaussianAlphaFive","23\%",NA,2026-09-04
"epiSignParityEpsPointOneLaplaceAlphaFive","69.3\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneLaplaceAlphaFive","69\%",NA,2026-09-04
"epiSignDisparityEpsPointOneLaplaceAlphaFive","30.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneLaplaceAlphaFive","31\%",NA,2026-09-04
"ciCoverageEpsPointOneGaussianAlphaFive","79.8\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneGaussianAlphaFive","80\%",NA,2026-09-04
"ciCoverageEpsPointOneLaplaceAlphaFive","69.7\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneLaplaceAlphaFive","70\%",NA,2026-09-04
"epiSignParityFPREpsPointOneGaussianAlphaFive","1.2\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneGaussianAlphaFive","1\%",NA,2026-09-04
"epiSignParityFPREpsPointOneLaplaceAlphaFive","2.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneLaplaceAlphaFive","2\%",NA,2026-09-04
"signFlipEpsPointOneGaussianAlphaFive","0.5\%",NA,2026-09-04
"signFlipRoundedEpsPointOneGaussianAlphaFive","0\%",NA,2026-09-04
"signFlipEpsPointOneLaplaceAlphaFive","1.0\%",NA,2026-09-04
"signFlipRoundedEpsPointOneLaplaceAlphaFive","1\%",NA,2026-09-04
"epiParityEpsPointOneGaussianAlphaTen","77.4\%",NA,2026-09-04
"epiParityRoundedEpsPointOneGaussianAlphaTen","77\%",NA,2026-09-04
"epiDisparityEpsPointOneGaussianAlphaTen","22.6\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneGaussianAlphaTen","23\%",NA,2026-09-04
"epiParityEpsPointOneLaplaceAlphaTen","70.2\%",NA,2026-09-04
"epiParityRoundedEpsPointOneLaplaceAlphaTen","70\%",NA,2026-09-04
"epiDisparityEpsPointOneLaplaceAlphaTen","29.8\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneLaplaceAlphaTen","30\%",NA,2026-09-04
"epiSignParityEpsPointOneGaussianAlphaTen","77.7\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneGaussianAlphaTen","78\%",NA,2026-09-04
"epiSignDisparityEpsPointOneGaussianAlphaTen","22.3\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneGaussianAlphaTen","22\%",NA,2026-09-04
"epiSignParityEpsPointOneLaplaceAlphaTen","70.2\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneLaplaceAlphaTen","70\%",NA,2026-09-04
"epiSignDisparityEpsPointOneLaplaceAlphaTen","29.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneLaplaceAlphaTen","30\%",NA,2026-09-04
"ciCoverageEpsPointOneGaussianAlphaTen","77.7\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneGaussianAlphaTen","78\%",NA,2026-09-04
"ciCoverageEpsPointOneLaplaceAlphaTen","67.8\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneLaplaceAlphaTen","68\%",NA,2026-09-04
"epiSignParityFPREpsPointOneGaussianAlphaTen","1.8\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneGaussianAlphaTen","2\%",NA,2026-09-04
"epiSignParityFPREpsPointOneLaplaceAlphaTen","2.9\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneLaplaceAlphaTen","3\%",NA,2026-09-04
"signFlipEpsPointOneGaussianAlphaTen","0.7\%",NA,2026-09-04
"signFlipRoundedEpsPointOneGaussianAlphaTen","1\%",NA,2026-09-04
"signFlipEpsPointOneLaplaceAlphaTen","1.7\%",NA,2026-09-04
"signFlipRoundedEpsPointOneLaplaceAlphaTen","2\%",NA,2026-09-04
"epiParityEpsPointZeroOneGaussianAlphaOne","64.5\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneGaussianAlphaOne","65\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneGaussianAlphaOne","35.5\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneGaussianAlphaOne","35\%",NA,2026-09-04
"epiParityEpsPointZeroOneLaplaceAlphaOne","57.7\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneLaplaceAlphaOne","58\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneLaplaceAlphaOne","42.3\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneLaplaceAlphaOne","42\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneGaussianAlphaOne","62.3\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneGaussianAlphaOne","62\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneGaussianAlphaOne","37.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneGaussianAlphaOne","38\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneLaplaceAlphaOne","56.6\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneLaplaceAlphaOne","57\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneLaplaceAlphaOne","43.4\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneLaplaceAlphaOne","43\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneGaussianAlphaOne","67.8\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneGaussianAlphaOne","68\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneLaplaceAlphaOne","61.8\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneLaplaceAlphaOne","62\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneGaussianAlphaOne","1.5\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneGaussianAlphaOne","1\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneLaplaceAlphaOne","1.6\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneLaplaceAlphaOne","2\%",NA,2026-09-04
"signFlipEpsPointZeroOneGaussianAlphaOne","1.0\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneGaussianAlphaOne","1\%",NA,2026-09-04
"signFlipEpsPointZeroOneLaplaceAlphaOne","0.9\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneLaplaceAlphaOne","1\%",NA,2026-09-04
"epiParityEpsPointZeroOneGaussianAlphaFive","65.3\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneGaussianAlphaFive","65\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneGaussianAlphaFive","34.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneGaussianAlphaFive","35\%",NA,2026-09-04
"epiParityEpsPointZeroOneLaplaceAlphaFive","57.7\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneLaplaceAlphaFive","58\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneLaplaceAlphaFive","42.3\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneLaplaceAlphaFive","42\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneGaussianAlphaFive","64.4\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneGaussianAlphaFive","64\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneGaussianAlphaFive","35.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneGaussianAlphaFive","36\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneLaplaceAlphaFive","57.2\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneLaplaceAlphaFive","57\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneLaplaceAlphaFive","42.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneLaplaceAlphaFive","43\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneGaussianAlphaFive","64.6\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneGaussianAlphaFive","65\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneLaplaceAlphaFive","58.1\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneLaplaceAlphaFive","58\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneGaussianAlphaFive","2.4\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneGaussianAlphaFive","2\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneLaplaceAlphaFive","2.8\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneLaplaceAlphaFive","3\%",NA,2026-09-04
"signFlipEpsPointZeroOneGaussianAlphaFive","1.4\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneGaussianAlphaFive","1\%",NA,2026-09-04
"signFlipEpsPointZeroOneLaplaceAlphaFive","1.5\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneLaplaceAlphaFive","2\%",NA,2026-09-04
"epiParityEpsPointZeroOneGaussianAlphaTen","65.9\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneGaussianAlphaTen","66\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneGaussianAlphaTen","34.1\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneGaussianAlphaTen","34\%",NA,2026-09-04
"epiParityEpsPointZeroOneLaplaceAlphaTen","59.4\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneLaplaceAlphaTen","59\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneLaplaceAlphaTen","40.6\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneLaplaceAlphaTen","41\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneGaussianAlphaTen","65.3\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneGaussianAlphaTen","65\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneGaussianAlphaTen","34.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneGaussianAlphaTen","35\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneLaplaceAlphaTen","58.9\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneLaplaceAlphaTen","59\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneLaplaceAlphaTen","41.1\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneLaplaceAlphaTen","41\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneGaussianAlphaTen","62.5\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneGaussianAlphaTen","63\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneLaplaceAlphaTen","55.8\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneLaplaceAlphaTen","56\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneGaussianAlphaTen","3.8\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneGaussianAlphaTen","4\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneLaplaceAlphaTen","3.6\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneLaplaceAlphaTen","4\%",NA,2026-09-04
"signFlipEpsPointZeroOneGaussianAlphaTen","2.5\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneGaussianAlphaTen","2\%",NA,2026-09-04
"signFlipEpsPointZeroOneLaplaceAlphaTen","2.6\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneLaplaceAlphaTen","3\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneGaussianAlphaOne","51.9\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneGaussianAlphaOne","52\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneGaussianAlphaOne","48.1\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneGaussianAlphaOne","48\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneLaplaceAlphaOne","48.3\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneLaplaceAlphaOne","48\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneLaplaceAlphaOne","51.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaOne","52\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneGaussianAlphaOne","51.2\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneGaussianAlphaOne","51\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneGaussianAlphaOne","48.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneGaussianAlphaOne","49\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneLaplaceAlphaOne","47.9\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneLaplaceAlphaOne","48\%",NA,2026-09-04
