"name","value","note","date"
"signMismatchEpsTenLaplace","3.2\%",NA,2026-09-04
"signMismatchRoundedEpsTenLaplace","3\%",NA,2026-09-04
"signMatchEpsOneGaussian","95.6\%",NA,2026-09-04
"signMatchRoundedEpsOneGaussian","96\%",NA,2026-09-04
"signMismatchEpsOneGaussian","4.4\%",NA,2026-09-04
"signMismatchRoundedEpsOneGaussian","4\%",NA,2026-09-04
"signMatchEpsOneLaplace","94.1\%",NA,2026-09-04
"signMatchRoundedEpsOneLaplace","94\%",NA,2026-09-04
"signMismatchEpsOneLaplace","5.9\%",NA,2026-09-04
"signMismatchRoundedEpsOneLaplace","6\%",NA,2026-09-04
"signMatchEpsPointOneGaussian","89.7\%",NA,2026-09-04
"signMatchRoundedEpsPointOneGaussian","90\%",NA,2026-09-04
"signMismatchEpsPointOneGaussian","10.3\%",NA,2026-09-04
"signMismatchRoundedEpsPointOneGaussian","10\%",NA,2026-09-04
"signMatchEpsPointOneLaplace","85.0\%",NA,2026-09-04
"signMatchRoundedEpsPointOneLaplace","85\%",NA,2026-09-04
"signMismatchEpsPointOneLaplace","15.0\%",NA,2026-09-04
"signMismatchRoundedEpsPointOneLaplace","15\%",NA,2026-09-04
"signMatchEpsPointZeroOneGaussian","81.0\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroOneGaussian","81\%",NA,2026-09-04
"signMismatchEpsPointZeroOneGaussian","19.0\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroOneGaussian","19\%",NA,2026-09-04
"signMatchEpsPointZeroOneLaplace","77.6\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroOneLaplace","78\%",NA,2026-09-04
"signMismatchEpsPointZeroOneLaplace","22.4\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroOneLaplace","22\%",NA,2026-09-04
"signMatchEpsPointZeroZeroOneGaussian","73.6\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroZeroOneGaussian","74\%",NA,2026-09-04
"signMismatchEpsPointZeroZeroOneGaussian","26.4\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroZeroOneGaussian","26\%",NA,2026-09-04
"signMatchEpsPointZeroZeroOneLaplace","68.9\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroZeroOneLaplace","69\%",NA,2026-09-04
"signMismatchEpsPointZeroZeroOneLaplace","31.1\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroZeroOneLaplace","31\%",NA,2026-09-04
"signMatchEpsPointZeroZeroZeroOneGaussian","69.6\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroZeroZeroOneGaussian","70\%",NA,2026-09-04
"signMismatchEpsPointZeroZeroZeroOneGaussian","30.4\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroZeroZeroOneGaussian","30\%",NA,2026-09-04
"signMatchEpsPointZeroZeroZeroOneLaplace","66.5\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroZeroZeroOneLaplace","67\%",NA,2026-09-04
