"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"incumbent",".0492806",".0550719",".8948413",".3716378","","","","","","","","","","","","","-.0210154",".0613619","-.3424827",".7322455","-.0216239",".0612897","-.3528141",".7244961"
"eyear","","","","",".1090299",".0611862","1.781936",".0758394","","","","","","","","","-.0784361",".0977717","-.8022371",".4230986","-.0671378",".0973554","-.6896155",".4910133"
"GDP_percapt1","","","","","","","","",".0035969",".0099827",".3603111",".7188852","","","","","","","","",".0236699",".0125561","1.88513",".0604589"
"epopt1","","","","","","","","","","","","","-.0505443",".0309463","-1.633287",".1035286","","","","","-.0852609",".0392169","-2.174084",".0305455"
"eyearXincumbent","","","","","","","","","","","","","","","","",".2657565",".1090115","2.437876",".0153983",".2523174",".1087733","2.319662",".0210864"
"_cons",".1528863",".0440948","3.467214",".0006082",".1595936",".0262606","6.07731","3.97e-09","-.0018317",".5258944","-.003483",".9972235","2.113808","1.179594","1.791979",".0742122",".1756712",".0504238","3.483893",".0005736","2.179038","1.210015","1.800835",".0728165"
"N","336","","","","336","","","","336","","","","336","","","","336","","","","336","","",""
"r2",".1734699","","","",".1803763","","","",".1714974","","","",".1789095","","","",".1996819","","","",".214448","","",""
"df_m","1","","","","1","","","","1","","","","1","","","","3","","","","5","","",""
"df_r","281","","","","281","","","","281","","","","281","","","","279","","","","277","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
