"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"year2122","12.34984",".4699192","26.28077","1.1e-147","12.38181",".464639","26.64824","1.1e-151"
"share_alt",".0291321",".0068807","4.233879",".0000232","","","",""
"per_black","-.3884158",".2226929","-1.744177",".0811561","-.3048877",".258287","-1.180422",".2378578"
"per_asian","-.9823582",".2915829","-3.369053",".0007569","-.8800975",".2912789","-3.021495",".0025211"
"per_hispanic","-.2556142",".1716756","-1.488937",".1365326","-.2042023",".168068","-1.214998",".224393"
"per_other","-.1363341",".0723267","-1.884976",".0594594","-.0857667",".0683213","-1.255345",".2093803"
"single_parent",".0512893",".0334077","1.535256",".1247497",".034671",".0327026","1.060188",".2890821"
"high_school",".3974115",".1203209","3.30293",".0009599",".3252192",".1147693","2.833679",".0046099"
"some_college",".2725459",".1255067","2.171564",".0299098",".2695093",".1199431","2.246976",".0246613"
"college_deg",".1133392",".1240127",".9139321",".3607725",".0943538",".1191721",".791744",".428527"
"poverty","-.4301682",".0909592","-4.729242","2.28e-06","-.3356715",".087948","-3.816704",".000136"
"medhhincwkids_r","-9.44e-06",".0000207","-.4571471",".6475744","-.0000201",".0000214","-.9380097",".34826"
"share_hybrid","","","","","-.0030619",".0082348","-.3718277",".7100283"
"share_virtual","","","","",".0688086",".0104757","6.56837","5.32e-11"
"_cons","17.25083","11.63797","1.482289",".138292","16.67216","11.34726","1.469268",".1417887"
"N","22034","","","","22034","","",""
"r2",".8880613","","","",".8927337","","",""
"df_m","12","","","","13","","",""
"df_r","11016","","","","11016","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
