"","est1","","",""
"","b","se","t","p"
"kelurDum",".0552247",".0121071","4.56136","8.90e-06"
"urbDum_1996","-.0211805",".0107685","-1.966895",".0505924"
"perc_ruralHH_1996","-.0030264",".0028373","-1.06663",".2874377"
"perc_ruralHH_1996_2",".0000629",".000099",".635764",".5256644"
"perc_ruralHH_1996_3","-6.14e-07","1.37e-06","-.4488732",".654014"
"perc_ruralHH_1996_4","2.65e-09","6.41e-09",".4130381",".6800256"
"ShareRurLand_1996",".0002792",".0001903","1.467108",".1439332"
"altitude_high_1996",".0276223",".0105341","2.622175",".0094163"
"lpopulation_1996",".4583508",".4202725","1.090604",".2767727"
"lpopulation_1996_2","-.076583",".0826463","-.9266366",".3552434"
"lpopulation_1996_3",".0045399",".0071492",".6350239",".526146"
"lpopulation_1996_4","-.0000781",".0002253","-.3468124",".7291006"
"popdensity_1996","-.0009716",".0009443","-1.028881",".304791"
"dist_kecoffice_2000",".0002153",".0002495",".8629549",".3892063"
"dist_kab_kotacapital_2000",".0000166",".0000821",".2018868",".8402125"
"mosqueph_1996",".0173405",".0032994","5.255589","3.80e-07"
"prayerhouseph_1996","-.0005518",".001145","-.4818787",".6304243"
"churchesph_1996","-.0118174",".0045746","-2.583243",".0105082"
"viharaph_1996",".0156459",".0145631","1.074353",".283972"
"num_TVs_1996_pc",".0001828",".000096","1.904151",".0583404"
"num_hospitals_1996_pc",".051572",".0426249","1.209903",".2277588"
"num_maternhosp_1996_pc","-.0102412",".0198656","-.5155246",".6067616"
"num_polyclinic_1996_pc",".0575899",".0300817","1.914449",".0570045"
"num_puskesmas_1996_pc",".0279808",".0131645","2.125471",".0347867"
"num_kindgarden_1996_pc","-.0286788",".0076576","-3.745129",".0002363"
"num_primarysch_1996_pc",".0017941",".002291",".7831194",".4344927"
"num_HS_1996_pc","-.0002068",".0050802","-.0407137",".9675651"
"idkab_dum1","0",".",".","."
"idkab_dum2","-.4585927",".0212422","-21.58878","6.30e-54"
"idkab_dum3","-.289213",".0338213","-8.551219","3.30e-15"
"idkab_dum4","-.6083277",".0714603","-8.51281","4.20e-15"
"idkab_dum5","-.251806",".0429659","-5.860607","1.90e-08"
"idkab_dum6","-.4633815",".0401729","-11.53467","7.05e-24"
"idkab_dum7","-.6645669",".0138589","-47.95246","6.1e-111"
"idkab_dum8","-.0611624",".0203197","-3.009999",".0029524"
"idkab_dum9","-.4600213",".0235097","-19.56733","3.70e-48"
"idkab_dum10",".0515348",".0252331","2.042349",".0424425"
"idkab_dum11","-.0024265",".0211859","-.1145326",".9089316"
"idkab_dum12",".053115",".0225957","2.350663",".0197235"
"idkab_dum13","-.0239826",".0241283","-.9939617",".3214546"
"idkab_dum14","-.023046",".0249187","-.9248463",".3561716"
"idkab_dum15",".085577",".0193313","4.426865",".0000158"
"idkab_dum16","-.0093591",".020615","-.4539948",".6503298"
"idkab_dum17","-.2014845",".0250564","-8.041227","7.96e-14"
"idkab_dum18",".0024643",".0217387",".1133594",".9098605"
"idkab_dum19","-.0789141",".0237702","-3.319875",".001072"
"idkab_dum20",".0018193",".0194695",".0934433",".9256459"
