"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"idkab_dum130","-.0056813",".0244917","-.231967",".8172502",".0201054",".0341461",".5888063",".557914"
"idkab_dum131","-.0249632",".0248761","-1.003501",".3191257","-.0344056",".0346352","-.9933718",".3239997"
"idkab_dum132",".0582761",".0211183","2.759512",".0074068","-.0224112",".031355","-.7147575",".4771703"
"idkab_dum133","-.04168",".0198014","-2.104897",".0389439",".1246354",".0322119","3.869235",".0002446"
"idkab_dum134","-.007343",".0236632","-.3103134",".757258",".0840992",".0366121","2.297031",".0246564"
"idkab_dum135","-.0086502",".0181391","-.47688",".6349545",".0752572",".0277013","2.716742",".0083268"
"idkab_dum136","-.0565294",".0173119","-3.265356",".0017038",".0923288",".026935","3.427835",".0010299"
"idkab_dum137","-.0440721",".0243866","-1.807225",".0750866","-.0312029",".0337035","-.9258085",".3577723"
"idkab_dum138","-.0169818",".0221598","-.766333",".4460921",".0261132",".0339611",".7689171",".4445665"
"idkab_dum139","-.0412224",".0197056","-2.091909",".0401286","-.0018869",".0284608","-.0662987",".9473318"
"idkab_dum140","-.0411154",".0186462","-2.205026",".0307879","-.0215264",".0266962","-.8063459",".4228139"
"idkab_dum141",".1018539",".0224497","4.53698",".0000234","-.0554167",".0324832","-1.706011",".0925038"
"idkab_dum142","-.0625177",".026695","-2.341928",".0220772","-.0079354",".0325246","-.2439817",".807969"
"idkab_dum143","-.0129837",".018795","-.690809",".492003","-.008212",".0262667","-.3126389",".7554979"
"idkab_dum144","0",".",".",".","0",".",".","."
"idkab_dum145","-.0194001",".0125095","-1.550825",".1255186",".0169333",".0173688",".9749212",".333005"
"idkab_dum146","0",".",".",".","0",".",".","."
"idkab_dum147","0",".",".",".","0",".",".","."
"idkab_dum148","0",".",".",".","0",".",".","."
"idkab_dum149","0",".",".",".","0",".",".","."
"idkab_dum150",".1371826",".0217302","6.312994","2.28e-08","-.0995896",".0324178","-3.072063",".0030415"
"idkab_dum151",".1252967",".0216136","5.797132","1.85e-07","-.1345344",".0305813","-4.399235",".0000386"
"idkab_dum152","0",".",".",".","0",".",".","."
"idkab_dum153",".0051032",".0203885",".2502984",".8031004","-.0813475",".0302282","-2.691109",".008927"
"idkab_dum154",".0260703",".0214822","1.213575",".229048","-.0448448",".0318983","-1.405869",".1642502"
"idkab_dum155","0",".",".",".","0",".",".","."
"idkab_dum156","0",".",".",".","0",".",".","."
"idkab_dum157","0",".",".",".","0",".",".","."
"idkab_dum158",".094452",".0212199","4.451115",".000032","-.0775827",".0336177","-2.307794",".0240149"
"idkab_dum159","0",".",".",".","0",".",".","."
"idkab_dum160","0",".",".",".","0",".",".","."
"idkab_dum161","-.0311187",".0232421","-1.338898",".1849984",".0698119",".0349035","2.000143",".0494224"
"idkab_dum162","0",".",".",".","0",".",".","."
"idkab_dum163",".0461861",".024972","1.849512",".068667","-.0879684",".0371252","-2.369504",".0206146"
"idkab_dum164",".0904903",".024272","3.728181",".0003914","-.0783107",".0347706","-2.252209",".0274938"
"idkab_dum165","0",".",".",".","0",".",".","."
"idkab_dum166","0",".",".",".","0",".",".","."
