"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"statetimefe_148","-12.57758","9.064951","-1.387496",".171699","-2.882487",".3608782","-7.987423","2.30e-10","56.7169","62.77902",".9034372",".3662939",".0705738",".3664494",".1925881",".8472816","-13.34778","3.614079","-3.693272",".0002214","-31.43273","9.23849","-3.402367",".000668","91.34572","23.8984","3.822253",".0001322","25.86273","29.29704",".8827762",".3773572","-15.78163","10.9418","-1.442324",".1492109"
"statetimefe_149","0",".",".",".",".1918318",".0893536","2.146883",".0368835","199.9394","48.11911","4.155094",".0000325","1.82219",".3127039","5.827205","5.64e-09","23.55163","2.594684","9.07688","0","24.41647","8.163091","2.991081",".0027799","73.3654","16.56487","4.428976","9.47e-06","32.25175","28.89228","1.116276",".2643041","44.53201","7.523406","5.919129","3.24e-09"
"statetimefe_150","34.45903","56.8388",".6062589",".5471994","3.938895",".7807333","5.045122","6.91e-06","29.94943","59.00106",".5076084",".611728",".8772004",".3752237","2.337806",".0193973","-14.71446","4.505646","-3.265782",".0010916","7.998085","8.086065",".9891195",".3226047","18.3307","19.46418",".941766",".3463124","35.81548","35.61097","1.005743",".3145392","-18.35757","10.55659","-1.738968",".0820404"
"statetimefe_151","49.52594","107.0613",".4625942",".6457456","6.405076",".6133157","10.44336","6.00e-14","213.2249","134.1802","1.589093",".1120394",".4648353","1.074264",".4327013",".6652318","-2.257545","7.783626","-.2900377",".7717874","-.4405261","11.94599","-.0368765",".9705835","16.52851","24.09951",".685844",".4928115","178.7457","105.2512","1.698278",".0894553","20.18391","12.60713","1.600992",".1093788"
"statetimefe_152","-152.6033","38.68167","-3.945107",".0002592","-3.974185",".29991","-13.25126","1.18e-17","-56.60506","35.9517","-1.574475",".1153776","-1.195643",".2198535","-5.438362","5.38e-08","-15.22433","2.187223","-6.960572","3.39e-12","-7.16589","5.812482","-1.232845",".2176336","-24.32491","13.60086","-1.788484",".073698","19.35013","17.47224","1.107479",".268087","-28.04445","6.329975","-4.43042","9.40e-06"
"statetimefe_153","0",".",".",".","0",".",".",".","-237.4927","102.6068","-2.314591",".0206354","-.3216321",".6700334","-.480024",".6312103","-37.06779","7.026191","-5.275659","1.32e-07","6.697296","17.09952",".3916656",".6953053","15.09936","36.18592",".4172717",".6764797","-159.1265","58.69271","-2.71118",".0067044","-62.77339","16.95111","-3.703202",".0002129"
"statetimefe_154","140.9382","59.2727","2.377793",".0214472","5.602861",".6804391","8.234184","9.77e-11","260.6537","83.47807","3.122421",".0017937","1.278938",".4686489","2.728989",".0063529","-5.744279","7.64957","-.7509283",".4526958","11.56443","9.723961","1.189272",".2343327","39.10477","15.68289","2.493468",".0126502","204.19","47.71113","4.279713",".0000187","10.25985","11.54594",".8886108",".3742123"
"statetimefe_155","38.34412","35.43334","1.082148",".2845933","-1.941988",".1646637","-11.79366","8.73e-16","112.1206","18.23498","6.148654","7.81e-10","1.588473",".1440864","11.02445","0","7.921746","1.094578","7.237261","4.58e-13","1.723153","2.814947",".6121441",".5404424","20.52234","6.502098","3.156265",".001598","57.19604","8.833299","6.475048","9.48e-11","23.16883","2.502944","9.256631","0"
"statetimefe_156","-90.36272","17.1427","-5.271208","3.18e-06","-1.063678",".1923452","-5.530046","1.30e-06","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_157","-202.3039","119.9702","-1.686284",".0982314","11.82246",".7736064","15.28226","4.55e-20","259.6431","34.43302","7.540526","4.69e-14","1.545142",".3173717","4.868557","1.12e-06","16.62875","3.900192","4.263571",".0000201","8.712855","6.779627","1.285153",".198739","66.46144","12.36955","5.372989","7.74e-08","131.8991","20.41778","6.460015","1.05e-10","34.39574","8.138025","4.226546",".0000237"
"statetimefe_158","0",".",".",".","-3.206249",".2944216","-10.88999","1.44e-14","11.27254","47.75609",".236044",".8133986","-1.463829",".2797294","-5.233018","1.67e-07","-11.25357","2.873807","-3.915911",".0000901","-20.04851","7.624094","-2.629625",".0085479","-44.76884","17.73192","-2.52476",".0115777","97.47577","23.83992","4.088762",".0000434","-8.668514","8.464477","-1.024105",".3057857"
"statetimefe_159","334.3876","43.41483","7.702151","6.23e-10",".5548",".2142657","2.589309",".0126926","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_160","-277.1911","173.467","-1.597947",".1166179","2.410106",".9985964","2.413493",".0196659","-335.7514","224.3241","-1.496725",".1344648","-1.367582","1.024043","-1.335474",".1817214","-30.91403","6.85278","-4.511167","6.45e-06","-60.74585","11.9687","-5.075391","3.87e-07","-50.12543","73.23913","-.6844078",".4937177","-121.7756","136.2811","-.8935618",".3715564","-70.82291","24.35654","-2.907758",".0036403"
"statetimefe_161","-189.7883","52.34953","-3.625406",".0006963","-4.570284",".6877785","-6.644994","2.58e-08","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_162","-194.4706","125.8331","-1.545465",".128802","9.345739",".8425382","11.09236","7.63e-15","56.96963","26.00722","2.190531",".0284857",".3320891",".166609","1.993224",".0462369","-3.581537","1.341613","-2.669576",".0075947","-10.66793","3.82818","-2.786685",".005325","5.572108","10.11806",".5507089",".5818333","59.68613","12.33423","4.839063","1.30e-06","5.628753","3.651554","1.541468",".123203"
"statetimefe_163","196.9005","54.41081","3.618775",".0007104","-1.930784",".2185874","-8.833004","1.25e-11","-220.2664","21.55209","-10.22018","0","-1.040111",".1387338","-7.497165","6.53e-14","-3.426334","1.149225","-2.981431",".002869","-29.77805","3.485033","-8.544555","0","-26.62009","8.022384","-3.318227",".0009059","-143.2965","11.02962","-12.99196","0","-16.10536","3.560765","-4.523004","6.10e-06"
"statetimefe_164","42.89324","37.28966","1.150272",".2557305","5.673571",".9852648","5.758422","5.85e-07","149.269","61.31774","2.434352",".0149185","-.3284498",".2526468","-1.300036",".1935888","-2.596849","4.506565","-.576237",".564455","10.04084","7.658865","1.311009",".1898549","38.25939","9.6107","3.980916",".0000687","94.29399","33.42014","2.821472",".0047804","9.60006","11.02971",".8703819",".3840917"
"statetimefe_165","-13.60821","18.69774","-.7277998",".4702716","-2.787887",".3019952","-9.231558","3.25e-12","90.30999","45.13915","2.000702",".0454245",".3694605",".2672878","1.382258",".1668926","-10.62859","2.766695","-3.841618",".0001222","-30.6754","6.676433","-4.59458","4.34e-06","75.52283","17.32408","4.359413",".000013","61.81875","21.70118","2.848635",".0043907","-6.097091","8.066629","-.7558413",".4497444"
"statetimefe_166","-218.3656","38.68671","-5.64446","8.71e-07","-2.028342",".2667144","-7.604922","8.75e-10","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_167","-109.6827","47.02697","-2.332336",".0239244","4.164241",".6435944","6.470288","4.78e-08","-82.39403","50.68427","-1.625633",".1040277",".4456971",".3459716","1.288248",".1976597","-14.97899","3.767714","-3.975618",".0000702","-2.209777","6.299851","-.3507666",".7257635","-31.71636","15.84575","-2.001568",".0453312","-11.17588","31.45811","-.3552622",".7223932","-22.75872","7.452006","-3.054039",".0022578"
"statetimefe_168","-23.66913","88.26928","-.2681469",".7897353","5.330539",".5447158","9.785909","5.12e-13","91.86181","99.99308",".9186817",".3582621","2.038788",".6044112","3.373181",".0007431","-13.09641","4.920756","-2.661462",".0077802","12.62911","8.96246","1.409112",".158802","-2.103899","28.3712","-.0741561",".9408861","93.60886","65.52869","1.428517",".1531431","-1.214614","8.224537","-.1476818",".8825939"
"statetimefe_169","192.1856","21.55325","8.916781","9.40e-12","-.0728005",".0860774","-.8457568",".401885","-23.81604","96.23625","-.2474747",".8045409",".1688238",".6580971",".2565332",".7975391","-32.7635","6.699536","-4.890413","1.01e-06","26.4653","15.76253","1.679001",".0931519","87.90564","34.38342","2.556629",".0105692","-61.14089","54.68575","-1.118041",".2635496","-44.45144","15.81922","-2.809964",".0049547"
"statetimefe_170","23.56875","36.24214",".6503133",".5185905","-3.187237",".2221289","-14.34859","5.51e-19","40.00976","18.77924","2.130531",".0331278",".4625381",".1071724","4.315833",".0000159","1.611548","1.028689","1.566603",".1172075","-10.25121","2.889009","-3.54835",".0003877","8.348007","6.516087","1.281138",".2001452","35.48516","9.101219","3.898946",".0000966","4.353734","3.132141","1.390019",".1645232"
"statetimefe_171","-287.504","117.951","-2.437486",".0185448","16.5819",".7610102","21.78932","1.55e-26","479.3855","107.2071","4.471583","7.76e-06","2.633211",".7360858","3.577316",".0003471","48.87447","8.817963","5.542603","2.98e-08","36.10781","17.89198","2.0181",".0435809","65.67074","39.96091","1.643375",".1003055","226.9036","56.69993","4.001832",".0000629","99.19562","21.74603","4.561551","5.08e-06"
"statetimefe_172","-150.8372","62.94806","-2.396217",".0205106","2.167984",".6221878","3.484452",".0010634","-209.0276","83.91168","-2.491043",".0127369","-.1543145",".5625065","-.2743337",".7838282","-40.05537","5.908675","-6.779077","1.21e-11","-112.7679","11.2743","-10.00221","0","14.01647","26.48237",".5292755",".5966144","-3.438061","52.20504","-.0658569",".9474918","-66.62839","12.88066","-5.172747","2.31e-07"
"statetimefe_173","-195.9779","8.96099","-21.87011","1.32e-26","-2.704914",".2747135","-9.84631","4.20e-13","-121.055","26.00292","-4.655438","3.23e-06","-.9010667",".1600876","-5.628586","1.82e-08","-9.153894","1.605426","-5.701848","1.19e-08","-6.472369","3.845234","-1.683219",".0923328","-77.14892","10.03255","-7.689862","1.47e-14","-2.846059","13.1964","-.2156693",".8292456","-24.53269","4.615319","-5.31549","1.06e-07"
"statetimefe_174","370.4045","59.20336","6.256477","1.02e-07","-1.235764",".1965602","-6.286948","9.12e-08","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_175","203.4832","97.68617","2.08303",".0425992","1.374362",".9226607","1.489564",".1428807","95.32597","107.5446",".8863856",".3754098",".0042507",".650889",".0065306",".9947893","-25.59491","6.944523","-3.685625",".0002281","62.89425","12.29747","5.114404","3.15e-07","74.00659","33.97448","2.1783",".0293837","38.38922","67.14436",".5717415",".5674971","-54.3734","16.54189","-3.287013",".0010126"
"statetimefe_176","-258.433","28.56968","-9.045711","6.07e-12","-.3915358",".2519375","-1.554099",".1267302","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_177","-304.4719","124.1289","-2.452868",".0178567","9.081771",".8156215","11.13479","6.68e-15","-35.81369","16.71643","-2.142425",".0321593",".2579874",".1009687","2.555122",".0106151","-2.747367",".7399587","-3.712865",".0002049","-10.78598","2.382305","-4.527541","5.97e-06","-4.537223","6.529199","-.6949127",".48711","-19.9643","7.572034","-2.636584",".0083746","1.96318","2.322581",".8452578",".3979669"
"statetimefe_178","-91.35275","48.92171","-1.867325",".0679691","4.543797",".6605355","6.87896","1.13e-08","-32.85651","38.4042","-.8555448",".3922496","1.047923",".3307739","3.168094",".0015344","-10.99966","3.856496","-2.852243",".0043412","-3.435763","4.984993","-.6892213",".490684","-29.02268","11.07711","-2.620058",".0087915","24.80467","24.80928",".9998142",".3174004","-15.251","5.530073","-2.757829",".0058187"
"statetimefe_179","-12.52492","72.75793","-.172145",".8640473","6.334562",".6665365","9.503699","1.31e-12","175.8326","91.59856","1.9196",".0549085","1.864624",".5778074","3.227069",".0012507","-9.544155","6.134372","-1.555849",".119744","44.65206","10.26195","4.351225",".0000135","-33.2721","27.85137","-1.194631",".2322314","155.1979","54.09992","2.868727",".0041213","16.93432","12.51809","1.352788",".1761234"
"statetimefe_180","292.6665","23.63456","12.38299","1.48e-16","1.435679",".1368027","10.49453","5.09e-14","176.2958","71.61656","2.461663",".0138295","-.1600283",".5245819","-.3050587",".7603214","-20.95405","5.375415","-3.898128",".0000969","28.36746","11.82783","2.398366",".0164684","146.6281","24.98908","5.867689","4.42e-09","52.43682","42.22627","1.241806",".2143083","-30.02249","11.63297","-2.58081",".0098569"
"statetimefe_181","-69.09879","36.87213","-1.874011",".0670227","-2.394068",".2700134","-8.866478","1.12e-11","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_182","-166.7033","14.62813","-11.39608","2.96e-15","-1.382273",".265778","-5.200855","4.05e-06","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_183","-97.91991","101.8227","-.9616707",".3410347","2.075894",".9317711","2.227901",".0306083","-156.8758","102.8569","-1.525185",".127213","-2.719391",".666887","-4.077739",".0000455","-20.67792","6.54984","-3.157011",".001594",".9319278","11.58436",".080447",".9358817","24.69013","31.86615",".7748074",".4384535","-73.27681","64.40369","-1.137773",".2552151","-85.82368","15.19791","-5.647073","1.63e-08"
"statetimefe_184","-299.1928","119.6487","-2.500594",".0158662","9.417917",".7911283","11.90441","6.24e-16","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_185","-126.704","46.47851","-2.726078",".0089203","5.19272",".5694085","9.119497","4.73e-12","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"ltotal_cost",".6917142","1.18504",".5837053",".5621516","","","","","-59.29328","14.03973","-4.22325",".0000241","-.0634314",".0936792","-.6771128",".4983344","-6.10222","1.087526","-5.611105","2.01e-08","-5.305331","2.348295","-2.259227",".0238693","-8.749622","5.306917","-1.64872",".099205","-27.42874","7.217649","-3.800232",".0001446","-11.64394","2.80729","-4.147749",".0000336"
"milex_iv","","","","","17.58938","2.509925","7.007928","7.15e-09","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"_cons","6796.66","3439.861","1.975853",".0539349","-55.22618","12.18672","-4.53167",".0000389","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N","17822","","","","17822","","","","17807","","","","17807","","","","17807","","","","17807","","","","17807","","","","17807","","","","17807","","",""
"r2",".1212426","","","",".1590755","","","",".0171281","","","",".0184731","","","","-.3787959","","","",".0300319","","","",".0195876","","","",".0709813","","","","-.1611361","","",""
"df_m","46","","","","46","","","","180","","","","180","","","","180","","","","180","","","","180","","","","180","","","","180","","",""
"df_r","48","","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df_b","47","","","","47","","","","180","","","","180","","","","180","","","","180","","","","180","","","","180","","","","180","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
