"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"statetimefe_108","-238.745","74.96265","-3.184853",".0025446","-2.267452",".5768914","-3.930466",".0002714","-8.209256","38.28081","-.2144484",".8301974","-.1463652",".2838967","-.5155577",".6061633","12.05157","4.016283","3.000679",".0026938","-1.325901","5.306721","-.2498531",".8027009","-48.60595","16.45112","-2.954569",".0031311","-1.988604","20.92134","-.0950514",".924274","31.80598","8.324785","3.820636",".0001331"
"statetimefe_109","5.449229","30.4946",".1786949",".8589294","-4.028326",".0455522","-88.43311","8.11e-55","-76.50701","62.41474","-1.225784",".2202798","-1.587853",".4320631","-3.67505",".0002378","-30.03098","6.451149","-4.655137","3.24e-06","-29.87642","13.47994","-2.216363",".0266667","-79.6039","20.02581","-3.975064",".0000704","89.59099","39.65829","2.259074",".0238788","-24.99888","12.18737","-2.051212",".0402463"
"statetimefe_110","157.218","33.31376","4.719311",".0000208","4.191816",".3816922","10.98219","1.08e-14","139.6848","65.5241","2.131808",".0330226",".0897187",".4065847",".2206643",".8253539","-14.43337","5.678657","-2.541687",".0110319","26.33159","9.574754","2.750106",".0059576","53.82953","21.6161","2.490251",".0127653","84.32634","37.50795","2.248226",".0245618","-10.45899","10.85557","-.9634675",".335313"
"statetimefe_111","137.2759","28.85642","4.757207",".0000183","0",".",".",".","-140.8764","49.69592","-2.834767",".0045859","-.5106252",".371129","-1.37587",".1688619","10.18834","2.781653","3.662693",".0002496","-13.80744","6.27253","-2.201255",".027718","-10.74602","16.11192","-.6669612",".5047969","-116.6139","24.42963","-4.77346","1.81e-06","-9.3867","7.489104","-1.253381",".2100671"
"statetimefe_112","95.67043","99.20757",".9643461",".3397059","-.3990669","1.668376","-.2391948",".811973","-151.3114","155.8934","-.9706081",".3317435","-.0812588",".999877","-.0812688",".9352282","-39.81492","12.55231","-3.171919",".0015144","-22.47089","20.56639","-1.092603",".2745683","-52.68763","36.64813","-1.437662",".15053","9.606809","105.9629",".090662",".9277612","-45.86345","27.28005","-1.681208",".0927225"
"statetimefe_113","-344.8968","39.93894","-8.635601","2.45e-11","-3.567863",".4042673","-8.825504","1.28e-11","-256.9277","51.66571","-4.972887","6.60e-07",".2493458",".2909911",".8568846",".3915086","-14.69634","2.713539","-5.415932","6.10e-08","-27.59233","8.105016","-3.404353",".0006632","-48.02532","18.42678","-2.606279",".0091532","-148.1197","23.9558","-6.183042","6.29e-10","-18.74335","8.503025","-2.204315",".0275022"
"statetimefe_114","-163.1652","114.5839","-1.42398",".1609209","10.14906",".7728632","13.13177","1.66e-17","101.0595","29.16955","3.464554",".0005311","1.190713",".2885143","4.127052",".0000367","-7.973892","3.26355","-2.443318",".0145529","-8.839221","6.12299","-1.443612",".1488482","-38.35818","8.554889","-4.483773","7.33e-06","142.5853","19.04992","7.484823","7.17e-14","12.45476","3.970642","3.136713",".0017085"
"statetimefe_115","85.08909","79.43343","1.0712",".2894362","5.416363",".5873042","9.222415","3.35e-12","165.4453","61.65351","2.683469",".0072863","1.62029",".553906","2.925208",".0034423","-17.33006","6.342091","-2.732546",".0062847","19.79779","11.20717","1.766529",".0773071","23.60795","21.94774","1.075644",".2820867","134.378","34.84713","3.856214",".0001152","3.371339","8.533723",".3950608",".692798"
"statetimefe_116","17.3733","9.181119","1.892285",".0644928","0",".",".",".","175.9243","45.13587","3.89766",".0000971","1.497909",".3140398","4.769806","1.84e-06","25.30943","2.055631","12.31224","0","28.47472","7.496933","3.798183",".0001458","16.71683","14.90233","1.121759",".2619647","71.67004","27.50077","2.606111",".0091577","32.25536","6.571794","4.908151","9.19e-07"
"statetimefe_117","47.47524","9.724332","4.882108",".000012",".42343",".2350014","1.801819",".077856","-225.3064","40.31253","-5.588991","2.28e-08",".0733405",".2389832",".3068856",".7589305","-9.438667","2.305444","-4.094078",".0000424","-16.40822","5.695225","-2.881048",".0039635","-41.31364","15.09","-2.737815",".0061849","-134.6586","19.00308","-7.086145","1.38e-12","-23.56066","6.86518","-3.431907",".0005994"
