"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"CumWeightedAllImmPerCap","-4.525224","1.244812","-3.635266",".0002828","-4.018766","1.54351","-2.603653",".0096316","-1.333473","1.828968","-.7290846",".4660118","-4.022456","1.690472","-2.379487",".0174044"
"lpop","-.3550439",".0951056","-3.733154",".0001929","-.5360965",".3172068","-1.690053",".0919425","-.5636267",".1253338","-4.497005","7.18e-06","-.2461753",".1122222","-2.193642",".0283443"
"UnemploymentRate","-.0042347",".0025554","-1.657203",".0975922","-.0112134",".007425","-1.510229",".1319221","-.0110232",".0033932","-3.248626",".0011736",".005799",".0030153","1.923214",".054556"
"povrate","-.0020056",".0032344","-.6200885",".5352507","-.0286278",".0114796","-2.4938",".0131172","-.0147337",".0041375","-3.560992",".0003757","-.0079944",".0037714","-2.119772",".0341143"
"logincome","-.0057451",".0673256","-.0853338",".9320022","-.5199933",".293275","-1.773057",".0771225","-.2791244",".091694","-3.044088",".0023559",".0443532",".0822681",".5391297",".5898409"
"logemp",".257212",".0728871","3.528911",".0004241",".2595394",".2890761",".8978239",".3699204",".3688777",".1029107","3.584444",".0003437",".1132456",".0888615","1.274406",".2026269"
"OfficersPerCap","8.306046","5.123707","1.621101",".1051103",".9658806","20.49592",".0471255",".9624411","10.83973","5.176251","2.094128",".0363396","11.87048","5.367869","2.211396",".0270901"
"crack_index","-.0121409",".0080426","-1.509568",".1312683",".0126693",".0146908",".8623955",".3890832","-.0427005",".0101864","-4.191917",".0000285",".0080362",".0095934",".8376791",".4022835"
"NumberOfAbortionsLag14PerCap","3.019546","4.55838",".6624164",".5077597","3.31266","9.301954",".3561252",".7219696","-16.74373","6.04844","-2.768272",".0056731","-10.68242","5.483587","-1.948072",".0515077"
"yy1","-.2273475",".0699548","-3.249919",".0011682","-.7733058",".2894776","-2.671384",".0079206","-1.332812",".0955734","-13.94543","9.17e-43",".0266921",".0836267",".3191815",".749613"
"yy2","-.132343",".0627439","-2.109255",".0350125","-.5403193",".2576176","-2.09737",".0367055","-1.192293",".0848242","-14.05606","2.14e-43",".0958368",".0741263","1.292885",".1961591"
"yy3","-.1395875",".0593447","-2.352146",".0187354","-.4966693",".2400733","-2.068824",".0393248","-1.149387",".0796279","-14.43447","1.38e-45",".0182521",".0695757",".2623343",".7930833"
"yy4","-.1097195",".0569016","-1.928234",".0539285","-.371354",".2204946","-1.684186",".0930716","-1.080146",".0759796","-14.21627","2.57e-44",".0124724",".0668203",".1866557",".8519443"
"yy5","-.1530198",".0513857","-2.977866",".0029279","-.4048702",".203983","-1.984823",".0479747","-1.043307",".0686362","-15.20053","3.57e-50","-.0208162",".0606701","-.3431045",".731546"
"yy6","-.1358724",".0486859","-2.790797",".005294","-.2931762",".1909849","-1.535075",".1257037","-.9630279",".0661983","-14.54761","2.98e-46",".0423816",".0576398",".735283",".4622296"
"yy7","-.1589149",".0473462","-3.356444",".0008002","-.2832684",".1841197","-1.538501",".1248646","-.9135116",".0637569","-14.32804","5.77e-45",".0038408",".0559944",".0685927",".9453188"
"yy8","-.1306078",".0418839","-3.118326",".0018376","-.3022761",".1696707","-1.781546",".0757238","-.8155711",".0564118","-14.45746","1.01e-45",".0721752",".0500006","1.443487",".1489968"
"yy9","-.1098304",".0390085","-2.81555",".0049039","-.2799626",".1575277","-1.777228",".0764326","-.7116342",".0529527","-13.43906","6.26e-40",".0800711",".0471449","1.698403",".0895445"
"yy10","-.0846746",".0349949","-2.41963",".0156006","-.2180035",".1388973","-1.56953",".117463","-.5839571",".0476555","-12.25373","1.18e-33",".1175315",".0422845","2.779541",".0054805"
"yy11","-.004515",".031109","-.1451338",".8846158","-.0808957",".120104","-.6735468",".5010611","-.4464985",".0415803","-10.73822","2.22e-26",".1725104",".0373596","4.617562","4.06e-06"
"yy12","-.0061456",".0287519","-.2137449",".8307618","-.1441266",".1141062","-1.263093",".2074291","-.4108205",".0384884","-10.67389","4.32e-26",".1725158",".0348653","4.94807","7.95e-07"
"yy13","-.0197641",".0255828","-.7725541",".4398525","-.0625924",".0995214","-.6289344",".5298181","-.3307979",".0340561","-9.713309","5.92e-22",".141035",".0315568","4.469249","8.17e-06"
"yy14","-.0627184",".0244064","-2.569756",".0102291","-.0767366",".0916472","-.8373044",".4030149","-.2680332",".0320128","-8.372678","8.84e-17",".0904119",".0295804","3.056476",".002261"
"yy15","-.0648479",".0223597","-2.900211",".0037586","-.0851037",".0854706","-.9957081",".3201064","-.1984516",".0294841","-6.730797","2.04e-11",".1100397",".0272673","4.035587",".0000559"
"yy16","-.0309222",".021221","-1.457151",".1451884","-.1037724",".0797231","-1.30166",".1939217","-.1215173",".0276329","-4.397563",".0000114",".1533033",".0254213","6.030509","1.85e-09"
