"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"t_provc10","","","","","","","","",".0369585",".0056231","6.572668","1.08e-10",".0378407",".0058727","6.443449","2.40e-10","","","","","","","","",".0442363",".0048329","9.153169","1.77e-19",".0437674",".0050064","8.742329","6.06e-18"
"t_provc11","","","","","","","","",".0258546",".0054801","4.717879","2.97e-06",".0266911",".0056582","4.717226","2.98e-06","","","","","","","","",".0323004",".0045968","7.026664","3.21e-12",".0320814",".0046667","6.874488","9.13e-12"
"t_provc12","","","","","","","","",".0223627",".0054677","4.089956",".000049",".0226739",".0055233","4.105168",".000046","","","","","","","","",".0301459",".0052326","5.761138","1.01e-08",".0294415",".0052126","5.648088","1.94e-08"
"t_provc13","","","","","","","","",".0183363",".0054466","3.366577",".0008098",".0196089",".00577","3.398431",".0007227","","","","","","","","",".0222786",".0042157","5.284694","1.45e-07",".022549",".0043085","5.233542","1.90e-07"
"t_provc14","","","","","","","","",".0454975",".0050403","9.026684","2.40e-18",".0462408",".0052072","8.880101","7.74e-18","","","","","","","","",".053847",".0039959","13.47544","3.93e-39",".0538221",".0040548","13.27353","4.44e-38"
"t_provc15","","","","","","","","",".0319787",".0044196","7.23561","1.42e-12",".0326073",".0046002","7.088276","3.83e-12","","","","","","","","",".0443663",".0040138","11.05355","2.38e-27",".0438172",".004106","10.67142","1.15e-25"
"t_provc16","","","","","","","","",".0302304",".0054393","5.557743","4.12e-08",".0310742",".0056864","5.464655","6.81e-08","","","","","","","","",".0366137",".0041985","8.720674","7.27e-18",".0364557",".0042887","8.500343","4.53e-17"
"t_provc17","","","","","","","","",".0214623",".0052284","4.104927",".0000461",".0219654",".0053397","4.113579",".0000444","","","","","","","","",".0298217",".0041876","7.121462","1.66e-12",".0290853",".0042342","6.869144","9.47e-12"
"t_provc18","","","","","","","","",".0258457",".0052828","4.892398","1.28e-06",".0263294",".005368","4.904885","1.21e-06","","","","","","","","",".0342776",".004452","7.699405","2.48e-14",".0344652",".0044524","7.740738","1.82e-14"
"t_provc19","","","","","","","","",".0247973",".0051483","4.81664","1.85e-06",".0256649",".0053291","4.816019","1.86e-06","","","","","","","","",".0425831",".0052106","8.172457","6.40e-16",".0429731",".0052565","8.175197","6.27e-16"
"t_provc20","","","","","","","","",".0164748",".0044001","3.744157",".0001985",".0171007",".0044829","3.814636",".0001505","","","","","","","","",".0262922",".0039546","6.6486","4.15e-11",".0258969",".0039798","6.507093","1.04e-10"
"t_provc21","","","","","","","","",".0239005",".0048257","4.952771","9.53e-07",".0246738",".0049813","4.953257","9.51e-07","","","","","","","","",".0314555",".0040557","7.755952","1.62e-14",".0313977",".0040887","7.67916","2.89e-14"
"t_provc22","","","","","","","","",".0185841",".0046502","3.99642",".0000723",".0191871",".0047403","4.047656",".0000585","","","","","","","","",".0276528",".00411","6.728147","2.45e-11",".0276551",".00412","6.71238","2.72e-11"
"t_provc23","","","","","","","","",".0225742",".006372","3.542744",".0004268",".0230086",".0064908","3.544786",".0004236","","","","","","","","",".0323223",".0043707","7.395174","2.35e-13",".0315016",".0043953","7.167172","1.20e-12"
"t_provc24","","","","","","","","",".0316999",".0115702","2.739792",".006331",".0324226",".0117414","2.761384",".0059322","","","","","","","","",".0394373",".0060203","6.550768","7.87e-11",".0395052",".0060298","6.551655","7.82e-11"
"t_provc25","","","","","","","","",".0211742",".0062366","3.395131",".0007313",".0222302",".0064347","3.454748",".0005897","","","","","","","","",".0247422",".0081234","3.045791",".0023616",".0249529",".0080088","3.11568",".0018703"
"t_provc26","","","","","","","","",".0254305",".0068936","3.689013",".0002456",".0260411",".0070781","3.679118",".0002551","","","","","","","","",".0392091",".007549","5.193961","2.34e-07",".0393494",".0075083","5.240765","1.83e-07"
"t_provc27","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".",".","0",".",".","."
"y1964Xlnwords1","","","","","","","","","","","","",".0230725",".0376741",".6124236",".5404899","","","","","","","","","","","","","","","",""
"y1964Xlnwords2","","","","","","","","","","","","","-.0038472",".0071152","-.5407017",".5889142","","","","","","","","","","","","","","","",""
"y1982Xlnwords1","","","","","","","","","","","","","-.018691",".0487022","-.3837809",".701277","","","","","","","","","","","","","-.0297684",".0213217","-1.396154",".1628767"
"y1982Xlnwords2","","","","","","","","","","","","","-.0027572",".0103266","-.2670008",".7895605","","","","","","","","","","","","","-.0038695",".0058452","-.662002",".5080727"
"y1990Xlnwords1","","","","","","","","","","","","","-.0027716",".0449724","-.0616297",".9508783","","","","","","","","","","","","","-.0455111",".019554","-2.327452",".020075"
"y1990Xlnwords2","","","","","","","","","","","","","-.0008197",".0088631","-.0924838",".9263446","","","","","","","","","","","","","-.0030685",".0046941","-.6536823",".5134177"
"y2000Xlnwords1","","","","","","","","","","","","","-.0184654",".0361671","-.5105565",".6098498","","","","","","","","","","","","","-.0290247",".0254411","-1.140857",".2541133"
"y2000Xlnwords2","","","","","","","","","","","","",".0063203",".0097626",".6474014",".5176202","","","","","","","","","","","","",".0093052",".0051636","1.802086",".0717346"
"y1964Xdeng","","","","","","","","","","","","",".0133901",".0734894",".1822043",".855484","","","","","","","","","","","","","","","",""
"y1982Xdeng","","","","","","","","","","","","",".0701971",".1084661",".6471805",".5177631","","","","","","","","","","","","","-.0023004",".0593219","-.0387779",".9690727"
"y1990Xdeng","","","","","","","","","","","","",".0768043",".0908427",".8454642",".3981893","","","","","","","","","","","","",".0179278",".0470525",".3810173",".7032449"
"y2000Xdeng","","","","","","","","","","","","","-.0004759",".0807809","-.0058915",".9953012","","","","","","","","","","","","","-.071341",".0498834","-1.430156",".1528825"
"_cons","1.783674",".0233811","76.28707","1.1e-310","1.783674",".0225871","78.9686","7.4e-319","-53.20048","8.020427","-6.633123","7.35e-11","-54.44081","8.305267","-6.554974","1.20e-10","1.898698",".0142203","133.5207","0","1.898698",".0139785","135.8295","0","-67.56583","7.134626","-9.470129","1.06e-20","-67.15863","7.226408","-9.2935","5.15e-20"
"N","3000","","","","3000","","","","3000","","","","3000","","","","5944","","","","5944","","","","5944","","","","5944","","",""
"r2",".8044556","","","",".8129923","","","",".8481167","","","",".8486275","","","",".824833","","","",".8300693","","","",".8684245","","","",".8692452","","",""
"df_m","20","","","","32","","","","55","","","","67","","","","15","","","","24","","","","49","","","","58","","",""
"df_r","599","","","","599","","","","599","","","","599","","","","1485","","","","1485","","","","1485","","","","1485","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
