"","col3aa","","","","col3ab","","","","col3ba","","","","col3bb","","","","col4ab","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Idistrict_11010",".182936",".0963366","1.898924",".0653934","-.2006431",".1347286","-1.489239",".1448996","","","","","","","","","-.2899799",".0712858","-4.067847",".0002387"
"_Idistrict_11011",".1907919",".1370509","1.392124",".1721964","-.1605271",".2182304","-.7355853",".4666208","","","","","","","","","-.2537898",".1695993","-1.496408",".1430296"
"_Idistrict_11012",".0138792",".0113119","1.226957",".2275891","-.0833322",".0495077","-1.683217",".1007538","","","","","","","","","-.1212007",".0310388","-3.904813",".0003855"
"_Idistrict_11013","-.0762026",".0651503","-1.169643",".2496245",".0081284",".1106473",".0734622",".941834","","","","","","","","","-.0066234",".104133","-.063605",".9496271"
"_Idistrict_11014",".1309096",".0217246","6.025866","5.79e-07","-.180525",".0588849","-3.065726",".0040421","","","","","","","","","-.1806753",".0517219","-3.493206",".0012548"
"_Idistrict_11015",".0015395",".0251201",".061284",".9514629","-.0505603",".1104148","-.4579123",".6496934","","","","","","","","","-.0522668",".0908852","-.5750855",".5687144"
"_Idistrict_11016","-.1700622",".0232173","-7.324789","1.05e-08",".2199769",".0948208","2.319922",".0259675","","","","","","","","",".1977592",".0956331","2.067895",".0456951"
"_Idistrict_11017",".0479049",".0875369",".547254",".5874903","-.0725889",".1118749","-.6488405",".5204487","","","","","","","","","-.0856263",".1055066","-.8115727",".4222273"
"_Idistrict_11018","-.1202651",".0573571","-2.096779",".0429072",".1724066",".0852817","2.021614",".0504935","","","","","","","","",".1509042",".0844579","1.786738",".0821756"
"_Idistrict_11019","-.0509074",".0422557","-1.204746",".235951","-.0222399",".0601412","-.3697948",".7136436","","","","","","","","","-.039231",".045485","-.8625052",".3939657"
"_Idistrict_11020","-.0294699",".0107229","-2.74832",".0092051","-.086715",".1103066","-.7861272",".4367989","","","","","","","","","-.0979826",".105748","-.9265673",".360156"
"_Idistrict_11021",".2300462",".2448271",".9396275",".3535028","-.3755342",".2531901","-1.48321",".1464874","","","","","","","","","-.3586901",".2830559","-1.267206",".2129998"
"_Idistrict_11022",".0660594",".0117159","5.638455","1.94e-06","-.0045967",".0659289","-.0697218",".9447906","","","","","","","","","-.0088979",".0488486","-.1821525",".8564574"
"_Idistrict_11023","-.119969",".0251364","-4.772722",".0000284",".2485796",".1307046","1.901842",".0649993","","","","","","","","",".198892",".0863464","2.303419",".0269754"
"_Idistrict_11024",".074579",".0565409","1.319028",".1952654","-.1532014",".0745488","-2.05505",".0469851","","","","","","","","","-.1504735",".056033","-2.685444",".0107786"
"_Idistrict_11025","-.0871436",".0686452","-1.269479",".2121974","-.0672522",".0745453","-.9021661",".3728044","","","","","","","","","-.0818477",".0661527","-1.237254",".2237879"
"_Idistrict_11026","-.0016108",".0297294","-.0541807",".9570827","-.0643359",".0682977","-.941992",".3523069","","","","","","","","","-.0795683",".0538324","-1.478076",".1478504"
"_Idistrict_11027","-.0714549",".0378082","-1.889932",".0666207","-.0779628",".1002696","-.7775313",".4417888","","","","","","","","","-.0849929",".0975628","-.8711612",".3892837"
"_Idistrict_11028",".3003889",".0130031","23.1013","1.40e-23","-.4018849",".057382","-7.003675","2.80e-08","","","","","","","","","-.4160241",".0360288","-11.54698","7.90e-14"
"_Idistrict_11029",".0810927",".058744","1.380441",".1757342","-.1538882",".1016327","-1.51416",".1384819","","","","","","","","","-.1710507",".0892672","-1.916165",".0630944"
"_Idistrict_11030",".0034457",".0809982",".0425409",".9662963","-.1028815",".0683465","-1.505292",".140739","","","","","","","","","-.1193448",".0549161","-2.173219",".036239"
"_Idistrict_11031",".2244701",".1277064","1.757704",".0870694","-.3401345",".1504015","-2.261509",".0296946","","","","","","","","","-.3556514",".1425618","-2.494716",".017197"
"_Idistrict_11032",".2005053",".1288286","1.556373",".1281327","-.2108496",".1450464","-1.45367",".154468","","","","","","","","","-.2403902",".123779","-1.942093",".0597679"
"_Idistrict_11033",".0611382",".049742","1.229105",".2267921","-.086741",".0598927","-1.448271",".155963","","","","","","","","","-.1335566",".0299348","-4.461579",".0000734"
"_Idistrict_11034",".0963135",".0326814","2.947044",".005526","-.1497936",".1269393","-1.180041",".2455151","","","","","","","","","-.1707834",".1138446","-1.500145",".1420625"
"_Idistrict_11035",".2343594",".020042","11.69343","5.47e-14","-.2604524",".0891747","-2.920699",".0059185","","","","","","","","","-.2576559",".0691721","-3.724852",".0006495"
"_Idistrict_11036",".2449748",".0568869","4.306346",".0001172","-.3535791",".0801356","-4.412262",".0000852","","","","","","","","","-.3519771",".0843215","-4.174226",".000174"
"_Idistrict_11037",".1120172",".0225614","4.964996",".0000157","-.1688895",".0591157","-2.856933",".0069795","","","","","","","","","-.171311",".04333","-3.953638",".0003341"
"_Idistrict_11038",".0905216",".0744522","1.215835",".2317482","-.2122225",".1038197","-2.044146",".0481051","","","","","","","","","-.2418469",".1093445","-2.211789",".0332368"
"_Idistrict_11039",".2333865",".0238571","9.782704","8.32e-12","-.2837526",".0588178","-4.824266",".0000242","","","","","","","","","-.2695141",".0510064","-5.28393","5.85e-06"
"_Idistrict_11040",".1196631",".0535439","2.23486",".0315489","-.238096",".0794219","-2.997863",".0048369","","","","","","","","","-.2497155",".068594","-3.640486",".000827"
"_Idistrict_11041",".2295238",".0117695","19.50161","4.65e-21","-.3224847",".0565183","-5.705847","1.57e-06","","","","","","","","","-.3265625",".0421972","-7.738961","3.01e-09"
"_Idistrict_11042",".1225518",".0518378","2.36414",".023432","-.1892196",".0820942","-2.304908",".0268831","","","","","","","","","-.2029764",".0721213","-2.814375",".0077839"
"_Idistrict_11043",".0115636",".0697973",".1656737",".8693157","-.0880193",".0628969","-1.399421",".1700151","","","","","","","","","-.1136711",".0568936","-1.99796",".0531116"
"_Idistrict_11044",".0683954",".0567261","1.205713",".2355822","-.1640574",".0602723","-2.721935",".0098375","","","","","","","","","-.1858601",".0490728","-3.787436",".0005422"
"_Idistrict_11045",".3161913",".053877","5.868758","9.45e-07","-.3838778",".0605258","-6.342387","2.16e-07","","","","","","","","","-.3709756",".0521083","-7.119323","1.97e-08"
"_Idistrict_12001","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_12002",".021851",".0978619",".2232845",".8245423",".0098826",".0766928",".1288597",".8981666","","","","","","","","","-.0547186",".1016234","-.538445",".5934947"
"_Idistrict_12003","-.1289718",".0356961","-3.61305",".0008942",".1970192",".0501372","3.929598",".0003585","","","","","","","","",".123116",".0681016","1.807828",".078768"
"_Idistrict_12004",".1547881",".0705986","2.192508",".0347088","-.0998943",".1531244","-.6523735",".518193","","","","","","","","","-.1439951",".1147715","-1.254624",".217483"
"_Idistrict_12005",".2234759",".0147116","15.19044","1.75e-17","-.1709336",".081592","-2.094979",".0430764","","","","","","","","","-.1983991",".0584908","-3.391969",".0016648"
"_Idistrict_12006",".1519536",".059462","2.555474",".0148476","-.0608985",".0545451","-1.116478",".2714157","","","","","","","","","-.0574783",".0406071","-1.415472",".1652927"
"_Idistrict_12007",".1052346",".0318131","3.3079",".0021",".0144543",".0889736",".1624565",".8718304","","","","","","","","","-.0068053",".0839617","-.081053",".9358367"
"_Idistrict_12008",".0471404",".0287594","1.639127",".1096636",".128177",".0626421","2.046181",".0478943","","","","","","","","",".091324",".0331652","2.753604",".0090831"
"_Idistrict_12009","-.0180571",".0813081","-.222083",".8254705",".4787146",".0612341","7.817773","2.37e-09","","","","","","","","",".4148121",".0377812","10.97933","3.38e-13"
"_Idistrict_12010",".0922695",".0515603","1.789544",".0817152",".0438542",".0998173",".4393449",".662967","","","","","","","","","-.0224",".0526481","-.4254662",".6729614"
"_Idistrict_12011","-.0027687",".0315591","-.087732",".9305628",".0841941",".081668","1.030932",".3092651","","","","","","","","",".035781",".0610521",".5860723",".5613854"
"_Idistrict_12012","-.0217774",".0239124","-.9107185",".368339",".0660684",".0888891",".7432679",".4620132","","","","","","","","",".0348657",".0628753",".5545217",".5825585"
"_Idistrict_12013",".0060088",".020619",".29142",".7723577",".0566362",".080437",".7041061",".4857748","","","","","","","","","-.0030645",".0439398","-.0697442",".9447728"
"_Idistrict_12014",".2050014",".069265","2.959668",".0053467","-.109311",".0849964","-1.286067",".2064097","","","","","","","","","-.126438",".0717892","-1.76124",".0864607"
"_Idistrict_12015",".2238227",".0159759","14.01005","2.27e-16","-.1219893",".0514313","-2.371887",".0230115","","","","","","","","","-.1352266",".0391718","-3.452138",".0014079"
"_Idistrict_12016",".0701924",".0237695","2.953047",".00544","-.0008373",".0938858","-.0089183",".9929322","","","","","","","","","-.0099861",".0803213","-.1243274",".9017291"
"_Idistrict_12017",".2236593",".0373917","5.981517","6.65e-07","-.137931",".075534","-1.826078",".0759167","","","","","","","","","-.1562747",".0404584","-3.862599",".000436"
"_Idistrict_12018",".0879191",".0439675","1.999638",".052922",".0065133",".0547",".1190729",".9058618","","","","","","","","","-.0108152",".0383531","-.2819909",".7795218"
"_Idistrict_12019",".2135672",".0978587","2.182405",".035503","-.1869454",".1297555","-1.440752",".1580644","","","","","","","","","-.1983885",".1249608","-1.587606",".1208856"
"_Idistrict_12020",".1800427",".1190856","1.511876",".1390603","-.1345278",".1471427","-.9142679",".366496","","","","","","","","","-.1506943",".1422673","-1.059233",".2963598"
"_Idistrict_12021",".1220465",".0654172","1.865663",".0700322","-.1103452",".0796387","-1.385573",".1741734","","","","","","","","","-.1316855",".0623079","-2.113465",".0413658"
"_Idistrict_12022",".1190696",".0109577","10.86629","4.54e-13","-.064497",".0548486","-1.17591",".2471418","","","","","","","","","-.0733291",".0481839","-1.521859",".1365457"
"_Idistrict_12023",".1363035",".0432999","3.147893",".0032447","-.1154986",".0806509","-1.432081",".160515","","","","","","","","","-.1499768",".0929886","-1.612851",".1152751"
"_Idistrict_12024",".1387888",".0278647","4.980821",".000015","-.0230049",".1716973","-.133985",".8941406","","","","","","","","","-.0616968",".1446759","-.4264488",".6722518"
"_Idistrict_12025",".2428688",".0591299","4.107376",".0002123","-.2340013",".0589675","-3.968312",".00032","","","","","","","","","-.2847374",".0707644","-4.023739",".0002719"
"_Idistrict_12026",".1205123",".0270631","4.453008",".0000753","-.0568282",".0549567","-1.034053",".307823","","","","","","","","","-.0644944",".0421496","-1.530129",".1344905"
"_Idistrict_12027",".1743848",".0524428","3.32524",".0020022","-.1298845",".0862194","-1.506441",".1404449","","","","","","","","","-.1286812",".0864132","-1.489138",".1449261"
"_Idistrict_12028",".0713879",".0837108",".8527926",".3992612","-.0512114",".1107662","-.4623378",".6465465","","","","","","","","","-.1060545",".0733214","-1.446433",".1564748"
"_Idistrict_12029",".1218489",".0432876","2.814867",".0077741",".0573908",".0941031",".6098716",".5456744","","","","","","","","",".0505726",".0795772",".6355156",".5290035"
"_Idistrict_16001",".1410228",".0223213","6.317864","2.33e-07","-.1645529",".0844156","-1.949319",".0588683","","","","","","","","","-.1536405",".0521554","-2.945821",".0055436"
"_Idistrict_16002",".1919291",".0116028","16.54165","1.11e-18","-.2768733",".051149","-5.413077","3.91e-06","","","","","","","","","-.2480057",".0760399","-3.261519",".0023845"
"_Idistrict_16003",".2953663",".0579742","5.094785",".0000105","-.3334157",".1613847","-2.065969",".0458865","","","","","","","","","-.2900701",".1032121","-2.810428",".0078627"
"_Idistrict_16004",".277543",".066971","4.144224",".0001903","-.3130423",".1205285","-2.597248",".013407","","","","","","","","","-.3023964",".0849496","-3.559717",".0010403"
"_Idistrict_16005",".0661864",".045433","1.456791",".1536089","-.2010787",".0702539","-2.86217",".0068861","","","","","","","","","-.1843227",".0347544","-5.303584","5.50e-06"
"_Idistrict_16006","-.0051825",".0161037","-.3218185",".7494013","-.0846106",".055133","-1.534664",".133374","","","","","","","","","-.0645295",".0361009","-1.787473",".0820548"
"_Idistrict_16007",".1773362",".0130906","13.54681","6.47e-16","-.2326103",".0647682","-3.591428",".0009509","","","","","","","","","-.2236938",".0315699","-7.085663","2.18e-08"
"_Idistrict_16008",".3385077",".0268719","12.59709","5.97e-15","-.4510147",".1301792","-3.464567",".0013598","","","","","","","","","-.4017096",".0854934","-4.698721",".0000356"
"_Idistrict_16009",".1795063",".0665247","2.698341",".0104368","-.2984714",".1180404","-2.528552",".0158498","","","","","","","","","-.2906425",".0868798","-3.34534",".0018942"
"_Idistrict_16010",".3249386",".0124569","26.08511","2.02e-25","-.4442427",".0625924","-7.097391","2.10e-08","","","","","","","","","-.413044",".0420594","-9.820502","7.50e-12"
"_Idistrict_16011",".4713262",".027988","16.84027","6.19e-19","-.6229827",".0798747","-7.7995","2.51e-09","","","","","","","","","-.5719153",".0526278","-10.86717","4.53e-13"
"_Idistrict_16012",".1117352",".025308","4.415011",".0000845","-.2417169",".0553289","-4.368731",".0000971","","","","","","","","","-.2031191",".0381376","-5.325947","5.13e-06"
"_Idistrict_16013",".0509414",".0167107","3.048431",".0042321","-.1326227",".0700793","-1.892466",".0662729","","","","","","","","","-.1251761",".0344684","-3.631616",".0008482"
"_Idistrict_17001","-.2296329",".0261707","-8.774424","1.43e-10",".4190212",".2340157","1.790569",".0815476","","","","","","","","",".3878837",".2162173","1.793953",".0809961"
"_Idistrict_17002","-.280508",".0724782","-3.870239",".0004264",".5024359",".0638288","7.871619","2.02e-09","","","","","","","","",".4774916",".0596714","8.002022","1.37e-09"
"_Idistrict_17003","-.2449343",".0510037","-4.802289",".0000259",".3774358",".0590851","6.388007","1.88e-07","","","","","","","","",".3710214",".0420866","8.815674","1.27e-10"
"_Idistrict_17004","-.2471199",".0530529","-4.657993",".0000404",".5097295",".0701842","7.262735","1.27e-08","","","","","","","","",".4452251",".1088947","4.088584",".0002245"
"_Idistrict_17005","-.2407696",".0748605","-3.216243",".0026974",".501822",".0525292","9.553205","1.57e-11","","","","","","","","",".4295237",".0538023","7.983371","1.45e-09"
"_Idistrict_17006","-.2116621",".0561496","-3.769612",".0005709",".3789843",".0590745","6.415357","1.72e-07","","","","","","","","",".3220439",".0336404","9.573121","1.49e-11"
"_Idistrict_17007","-.2470833",".0335513","-7.364333","9.32e-09",".5354546",".1861681","2.876188",".0066417","","","","","","","","",".507278",".1750511","2.897885",".0062794"
"_Idistrict_17008","-.2548352",".0651205","-3.913285",".000376",".4495185",".0725112","6.199298","3.37e-07","","","","","","","","",".4099934",".0934837","4.385721",".0000923"
"_Idistrict_17009","-.2347857",".0254085","-9.240457","3.78e-11",".3926443",".117593","3.33901",".0019276","","","","","","","","",".3475058",".0835733","4.158096",".0001826"
"_Idistrict_17010","-.2431695",".0371406","-6.547263","1.15e-07",".4678784",".1432594","3.265953",".0023558","","","","","","","","",".4513811",".1361239","3.315958",".002054"
"_Idistrict_17011","-.2706188",".071465","-3.786732",".0005433",".4967062",".0580548","8.555814","2.69e-10","","","","","","","","",".4949475",".0437816","11.30493","1.46e-13"
"_Idistrict_17012","-.2607341",".0574594","-4.537706",".0000582",".5376516",".0746636","7.200988","1.53e-08","","","","","","","","",".5406108",".0750737","7.201064","1.53e-08"
"_Idistrict_18001","-.164683",".0883649","-1.86367",".070319",".3249915",".1023736","3.174565",".0030197","","","","","","","","",".3264957",".0818289","3.989981",".0003003"
"_Idistrict_18002",".083595",".0816426","1.023914",".3125238",".0294375",".0588885",".4998844",".6201165","","","","","","","","",".011482",".044968",".2553371",".7998768"
"_Idistrict_18003","-.1014263",".0239416","-4.23641",".0001445",".2617987",".0933037","2.805876",".0079545","","","","","","","","",".2530818",".0810626","3.122054",".0034778"
"_Idistrict_18004","-.194951",".0272303","-7.159352","1.74e-08",".302247",".0728476","4.149029",".0001876","","","","","","","","",".2965773",".0515803","5.749823","1.37e-06"
"_Idistrict_18005","-.0209245",".0233608","-.8957081",".3761993",".0524571",".0542647",".9666901",".3399755","","","","","","","","",".0250971",".0319743",".7849132",".4375016"
"_Idistrict_18006","-.0346881",".0118862","-2.918343",".0059549",".2010146",".1315224","1.528367",".1349262","","","","","","","","",".1816731",".1329007","1.366983",".1798791"
"_Idistrict_18007",".0109235",".0344925",".3166918",".7532575",".0294889",".1487207",".1982838",".8439085","","","","","","","","",".0212094",".1397234",".1517955",".8801729"
"_Idistrict_18008","-.096374",".0419893","-2.295205",".0274901",".21117",".0588915","3.58575",".0009663","","","","","","","","",".1468629",".0427457","3.435734",".0014739"
"_Idistrict_18009","-.1878776",".0615029","-3.054776",".0041614",".2786834",".1395421","1.997127",".0532059","","","","","","","","",".2430781",".1588642","1.5301",".1344976"
"_Idistrict_18010","-.0343209",".0193811","-1.770841",".0848256",".1073815",".0665556","1.613411",".115153","","","","","","","","",".0510383",".0336638","1.516118",".1379873"
"_Idistrict_18011","-.0716872",".0910962","-.7869387",".4363296",".0977565",".1420402",".688231",".4955999","","","","","","","","",".0756023",".1354287",".5582443",".5800403"
"_Idistrict_18012",".0837091",".1890407",".4428101",".6604812","-.086387",".1632057","-.5293136",".5997496","","","","","","","","","-.1538624",".1353103","-1.137108",".2628039"
"_Idistrict_18013",".0075419",".0741323",".1017352",".9195162",".0166384",".0937736",".1774314",".8601373","","","","","","","","",".00238",".0849264",".0280246",".9777931"
"_Idistrict_18014","-.1135253",".0164818","-6.887909","4.00e-08",".2518876",".0775292","3.248937",".0024678","","","","","","","","",".2357145",".065942","3.574575",".0009975"
"_Idistrict_18015","-.0477031",".0476614","-1.000875",".3233882",".0209578",".114282",".1833869",".8554957","","","","","","","","","-.0000576",".1094536","-.0005265",".9995828"
"_Idistrict_18016","-.067044",".0757556","-.8850042",".3818698","-.008383",".0559554","-.1498152",".8817241","","","","","","","","","-.0203462",".0369235","-.5510363",".5849211"
"_Idistrict_18017",".041543",".0323725","1.283279",".207374","-.0180746",".0521617","-.346511",".7309216","","","","","","","","","-.0158028",".034945","-.4522181",".6537521"
"_Idistrict_18018",".0962569",".0890788","1.080582",".2868766","-.0894788",".0713486","-1.254108",".2176683","","","","","","","","","-.110111",".071226","-1.545939",".1306306"
"_Idistrict_18019",".0003732",".0235196",".0158658",".9874267",".0473611",".0698226",".6783062",".5017981","","","","","","","","",".0278236",".0556727",".4997715",".6201952"
"_Idistrict_18020",".1050338",".1478622",".7103492",".4819413","-.1288933",".1783437","-.7227244",".4743931","","","","","","","","","-.1437416",".1800792","-.7982129",".4298406"
"_Idistrict_18021","-.0053983",".0779709","-.0692352",".9451752",".1148637",".0992398","1.157435",".2545122","","","","","","","","",".1035875",".0945854","1.095175",".2805181"
"_Idistrict_18022",".1246813",".2460573",".5067168",".6153601","-.1283357",".3042008","-.4218782",".6755552","","","","","","","","","-.106136",".3424055","-.3099715",".7583218"
"_Idistrict_18023",".0688101",".1493162",".4608349",".6476144","-.0448731",".1773466","-.253025",".8016494","","","","","","","","","-.022582",".2082258","-.1084496",".9142251"
"_Idistrict_18024","-.0259466",".0329483","-.7874943",".4360084",".0531615",".0764833",".6950736",".4913515","","","","","","","","",".0488513",".0438666","1.113632",".2726194"
"_Idistrict_18025","-.0249927",".0466521","-.5357252",".5953545",".1016472",".0504874","2.013318",".0513987","","","","","","","","",".1118978",".0429084","2.60783",".0130631"
"_Idistrict_18026","-.1763811",".1334583","-1.321619",".1944089",".1768067",".1894004",".9335072",".3566105","","","","","","","","",".1719427",".1758006",".9780552",".334399"
"_Idistrict_18027",".0227299",".0430748",".5276846",".6008687","-.0050585",".0581483","-.0869937",".9311456","","","","","","","","","-.0039274",".048938","-.0802536",".9364681"
"_Idistrict_20001","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_20002",".1006637",".1203411",".8364868",".4082512","-.0040641",".1667702","-.0243693",".980689","","","","","","","","","-.0733453",".1177807","-.6227279",".5372828"
"_Idistrict_20003",".2302163",".0652442","3.528536",".0011361","-.1366648",".0799762","-1.70882",".0958614","","","","","","","","","-.1940671",".0383812","-5.056301",".0000119"
"_Idistrict_20004",".2426707",".1145148","2.11912",".0408545","-.2258145",".1155321","-1.954561",".0582229","","","","","","","","","-.2467369",".1060601","-2.326388",".025582"
"_Idistrict_20005",".0913886",".0542577","1.684343",".1005343","-.0223974",".0628492","-.3563665",".7235903","","","","","","","","","-.0458576",".0379663","-1.207849",".2347694"
"_Idistrict_20006",".0657345",".0569334","1.154587",".2556624",".0717289",".0746983",".9602482",".3431638","","","","","","","","","-.0168552",".0324475","-.5194599",".6065338"
"_Idistrict_20007","-.1172235",".0654878","-1.790004",".08164",".3714712",".1602785","2.317661",".0261036","","","","","","","","",".2812213",".2123526","1.324313",".1935219"
"_Idistrict_20008","-.1096661",".0115382","-9.504575","1.80e-11",".4558901",".0610183","7.471371","6.74e-09","","","","","","","","",".3568364",".0637514","5.597309","2.20e-06"
"_Idistrict_20009",".0075008",".1036348",".0723773",".9426915",".4182165",".1434951","2.914501",".0060146","","","","","","","","",".3201538",".0817745","3.91508",".0003741"
"_Idistrict_20010",".0711305",".0336692","2.11263",".0414417",".0526078",".058376",".9011897",".3733164","","","","","","","","",".032558",".0353027",".9222529",".3623717"
"_Idistrict_20011",".0709414",".0610261","1.162476",".2524854",".0010898",".0955538",".0114048",".9909618","","","","","","","","","-.0521848",".0571574","-.9130022",".3671525"
"_Idistrict_20012",".0257451",".0161235","1.596749",".1188284",".066445",".0525808","1.263673",".2142515","","","","","","","","",".045147",".0344602","1.310119",".1982313"
"_Idistrict_20013",".0608608",".0174724","3.483262",".0012904","-.0263813",".0582674","-.4527616",".6533642","","","","","","","","","-.0371335",".0429296","-.8649855",".3926205"
"_Idistrict_20014",".0934753",".0905928","1.031818",".3088551",".0559665",".0706327",".7923602",".4332019","","","","","","","","",".0532267",".0675629",".7878093",".4358264"
"_Idistrict_20015",".2306901",".1366786","1.687829",".0998576","-.2110832",".1550323","-1.361544",".1815758","","","","","","","","","-.2826471",".1109653","-2.547167",".0151504"
"_Idistrict_20016",".0124076",".0315013",".3938753",".695934",".0428313",".0594059",".720994",".4754444","","","","","","","","","-.0549999",".1139321","-.4827427",".6321225"
"_Idistrict_20017",".1069953",".0575109","1.860433",".0707867","-.0411221",".0651354","-.6313318",".5317048","","","","","","","","","-.0710737",".0381592","-1.862558",".0704793"
"_Idistrict_20018",".2528289",".200809","1.259052",".2158973","-.1729801",".2836168","-.6099077",".5456508","","","","","","","","","-.2548601",".2394463","-1.064373",".2940571"
"_Idistrict_20019",".1200568",".1167197","1.02859",".3103498","-.0779295",".1129653","-.6898535",".4945907","","","","","","","","","-.1015668",".1008827","-1.006781",".3205789"
"_Idistrict_22001","-.2503051",".1255247","-1.99407",".0535533",".2119033",".0682598","3.104366",".0036465","","","","","","","","",".2241523",".0526343","4.258677",".0001352"
"_Idistrict_22002","-.1491352",".1433991","-1.040001",".3050881",".0649703",".1212478",".5358474",".5952709","","","","","","","","",".0735886",".0946981",".7770857",".4420484"
"_Idistrict_22003","-.2930367",".0910252","-3.219294",".0026752",".2034563",".1044359","1.948145",".0590136","","","","","","","","",".1963133",".0952735","2.060523",".0464316"
"_Idistrict_22004","-.2698504",".0889674","-3.033139",".004407",".4441783",".0989219","4.490192",".0000673","","","","","","","","",".4243227",".0925854","4.58304",".0000507"
"_Idistrict_22005","-.2719964",".0940935","-2.890703",".0063973",".4427399",".1687503","2.623639",".0125644","","","","","","","","",".4709655",".1199161","3.927459",".0003608"
"_Idistrict_22006","-.0624756",".186117","-.3356789",".7390091","-.0409722",".2278946","-.179786",".8583016","","","","","","","","",".0128339",".1742483",".0736529",".9416833"
"_Idistrict_22007","-.1012722",".1538946","-.6580617",".5145723","-.0543296",".1334168","-.4072171",".6861949","","","","","","","","","-.0385752",".1023926","-.3767378",".7085205"
"_Idistrict_22008","-.1303624",".111237","-1.171934",".2487148",".1090951",".1270369",".8587674",".3959984","","","","","","","","",".0828867",".1312925",".6313132",".5317168"
"_Idistrict_22009","-.1114524",".0367374","-3.03376",".0043998",".134618",".0867486","1.551817",".1292187","","","","","","","","",".1060497",".0716474","1.48016",".1472959"
"_Idistrict_22010",".0694502",".0525983","1.320388",".1948154","-.0282202",".1891384","-.149204",".882203","","","","","","","","","-.0844129",".1402278","-.6019695",".5508657"
"_Idistrict_22011","-.0653589",".0583784","-1.119573",".2701113",".11367",".1814167",".6265681",".5347894","","","","","","","","",".0844195",".1711869",".4931422",".6248264"
"_Idistrict_22012","-.1848079",".0343551","-5.379347","4.35e-06",".2583189",".0887122","2.911874",".0060558","","","","","","","","",".2301122",".0888201","2.590765",".0136218"
"_Idistrict_22013","-.2109195",".0583469","-3.614921",".0008895",".2395055",".0945891","2.532062",".0157157","","","","","","","","",".2174128",".0841183","2.584607",".0138288"
"_Idistrict_22014",".0019403",".0277719",".0698649",".9446774","-.0560955",".0847135","-.6621789",".5119602","","","","","","","","","-.0624574",".083588","-.7472049",".4596623"
"_Idistrict_22015",".0321379",".1411352",".2277098",".8211255","-.1037324",".2398962","-.4324055",".6679566","","","","","","","","","-.1082451",".2488643","-.4349565",".6661206"
"_Idistrict_22016","-.0144921",".1555558","-.0931633",".9262765","-.0072375",".2331787","-.0310384",".9754057","","","","","","","","","-.0054354",".2434434","-.022327",".9823071"
"_Idistrict_22017","-.2038214",".0792727","-2.571144",".0142913",".1602768",".1079416","1.484848",".1460547","","","","","","","","",".1865216",".0711229","2.622527",".0125989"
"_Idistrict_22018","-.115477",".0349325","-3.305715",".0021126",".1730713",".0945038","1.831369",".0751067","","","","","","","","",".1809621",".1008002","1.795257",".0807846"
"_Idistrict_22019","-.1600988",".0175147","-9.140841","5.01e-11",".2119127",".0641818","3.301755",".0021357","","","","","","","","",".2143619",".0461747","4.642406",".0000423"
"_Idistrict_22020","-.2052943",".0520933","-3.940899",".0003468",".1801845",".0673839","2.674",".0110904","","","","","","","","",".1909896",".0413082","4.623525",".0000448"
"_Idistrict_22021","-.0691929",".010161","-6.809625","5.09e-08",".0662072",".0561856","1.178368",".2461733","","","","","","","","",".0536443",".0363183","1.477057",".1481222"
"_Idistrict_22022","-.1069798",".0178901","-5.979838","6.69e-07",".0184212",".1199419",".153584",".8787724","","","","","","","","",".009543",".1220503",".0781891",".938099"
"_Idistrict_22023",".0345288",".0697541",".4950076",".6235217","-.0464782",".1122625","-.4140131",".6812548","","","","","","","","","-.0730057",".0961945","-.7589384",".4526974"
"_Idistrict_22024","-.0154617",".0696923","-.2218568",".8256454","-.056888",".0798217","-.712688",".4805095","","","","","","","","","-.0472571",".0826847","-.5715337",".5710938"
"_Idistrict_22025","-.1832322",".0902615","-2.030014",".0495912",".1006222",".1190741",".845038",".4035211","","","","","","","","",".095817",".10238",".9358949",".3553959"
"_Idistrict_22026","-.2021936",".1179617","-1.714062",".0948845",".1518124",".1043696","1.454565",".1542211","","","","","","","","",".1478242",".0840917","1.757893",".0870368"
"_Idistrict_22027","-.0692179",".0363539","-1.904001",".064709","-.0171875",".0599807","-.2865511",".7760545","","","","","","","","","-.0156508",".0455131","-.3438742",".7328875"
"_Idistrict_22028","-.0884559",".0994074","-.8898329",".379305","-.0290663",".0890009","-.3265848",".7458223","","","","","","","","","-.0235353",".0593633","-.3964623",".6940414"
"_Idistrict_22029",".0921964",".0444604","2.073674",".0451248","-.1214661",".0933506","-1.301181",".2012412","","","","","","","","","-.1117895",".1066732","-1.047963",".3014533"
"_Idistrict_22030",".0316818",".0593635",".5336925",".5967462","-.0748145",".0652063","-1.147351",".2586018","","","","","","","","","-.0787022",".0614258","-1.281256",".2080759"
"_Idistrict_22031",".0021034",".1426418",".014746",".9883141","-.0186804",".1968389","-.0949022",".9249046","","","","","","","","","-.0128728",".2104183","-.061177",".9515475"
"_Idistrict_22032",".0648421",".1479004",".4384173",".6636331","-.1732233",".2522542","-.6867011",".4965526","","","","","","","","","-.1887073",".2516196","-.7499706",".458015"
