"","col3aa","","","","col3ab","","","","col3ba","","","","col3bb","","","","col4ab","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Idistrict_2021","-.0249129",".0884002","-.2818192",".7796524",".0195985",".1157428",".1693277",".8664612","","","","","","","","","-.0054484",".1543238","-.0353048",".9720265"
"_Idistrict_2022",".0105983",".0542896",".1952173",".8462909",".1257279",".0342606","3.669747",".0007607","","","","","","","","",".1221254",".0501089","2.437201",".0197289"
"_Idistrict_2023",".0429477",".0573046",".7494626",".4583173","-.0854377",".0496423","-1.721065",".0935923","","","","","","","","","-.1279504",".1063134","-1.203521",".2364188"
"_Idistrict_3001",".0581284",".0414562","1.402166",".1692001","-.1099646",".0837175","-1.31352",".1970949","","","","","","","","","-.0795169",".0414046","-1.920486",".0625292"
"_Idistrict_3002","-.0287209",".0622465","-.4614066",".6472081","-.0162048",".0905605","-.1789394",".8589616","","","","","","","","","-.0084335",".0611893","-.1378261",".8911252"
"_Idistrict_3003",".3193662",".0714359","4.470669",".0000714","-.3034806",".0616601","-4.92183",".000018","","","","","","","","","-.2866287",".0916354","-3.127925",".0034235"
"_Idistrict_3004",".2595792",".059943","4.33043",".000109","-.2847892",".0838612","-3.395958",".0016465","","","","","","","","","-.248002",".0424053","-5.848368","1.01e-06"
"_Idistrict_3005",".1206277",".0374275","3.222972",".0026486","-.1841487",".098742","-1.864949",".0701349","","","","","","","","","-.1831274",".0969101","-1.889663",".0666578"
"_Idistrict_3006",".0215354",".0663881",".3243866",".7474722",".0352668",".0831124",".4243262",".6737851","","","","","","","","",".0331604",".0374512",".8854295",".3816434"
"_Idistrict_3007",".0684144",".10015",".683119",".4987871","-.0638495",".1705599","-.3743523",".7102792","","","","","","","","","-.0518731",".1393402","-.3722767",".7118107"
"_Idistrict_3008",".0485427",".1909985",".2541523",".800785","-.0508065",".2018937","-.2516499",".8027042","","","","","","","","","-.0284048",".1642845","-.1729001",".8636723"
"_Idistrict_3009",".295834",".1581565","1.870515",".0693386","-.3256655",".1501317","-2.169199",".0365654","","","","","","","","","-.271639",".134112","-2.025463",".0500783"
"_Idistrict_3010",".0462422",".1523759",".3034746",".7632282","-.0662904",".1774596","-.373552",".7108695","","","","","","","","","-.0779803",".1535695","-.507785",".614618"
"_Idistrict_4001",".2055046",".0578866","3.550122",".0010689","-.2865112",".0551853","-5.1918","7.79e-06","","","","","","","","","-.269179",".0428208","-6.286178","2.58e-07"
"_Idistrict_4002",".2801557",".0698716","4.009577",".0002835","-.3468363",".1104238","-3.140955",".0033058","","","","","","","","","-.3209306",".0689341","-4.655617",".0000407"
"_Idistrict_4003",".1779166",".0399762","4.450568",".0000759","-.2351705",".0868907","-2.706511",".0102256","","","","","","","","","-.2204297",".0495236","-4.451001",".0000758"
"_Idistrict_4004",".0916712",".0196677","4.660989",".00004","-.1442515",".0906656","-1.591029",".1201121","","","","","","","","","-.1238936",".0509123","-2.433472",".0199042"
"_Idistrict_4005",".1345164",".1016585","1.323219",".1938819","-.1865244",".063097","-2.956151",".0053961","","","","","","","","","-.166551",".0709453","-2.347596",".0243533"
"_Idistrict_4006",".1330331",".0183085","7.266204","1.26e-08","-.1902946",".0974187","-1.953368",".0583693","","","","","","","","","-.1692877",".0528637","-3.20234",".0028011"
"_Idistrict_4007",".1840567",".0385619","4.773022",".0000284","-.2769948",".0888163","-3.11874",".0035089","","","","","","","","","-.2398484",".0395549","-6.063681","5.15e-07"
"_Idistrict_4008",".1745574",".0306388","5.697265","1.61e-06","-.2461309",".0574058","-4.287561",".000124","","","","","","","","","-.2287987",".0456485","-5.012189",".0000136"
"_Idistrict_4009",".1291029",".0997955","1.293675",".2037956","-.1715947",".0758922","-2.261033",".0297269","","","","","","","","","-.1672137",".076545","-2.184514",".0353358"
"_Idistrict_4010",".0985118",".1120094",".8794961",".3848089","-.1420745",".0965356","-1.471731",".1495487","","","","","","","","","-.1156958",".1147177","-1.008526",".3197521"
"_Idistrict_4011",".1966551",".0560384","3.509292",".0011994","-.2221353",".0624281","-3.558258",".0010446","","","","","","","","","-.1995066",".0459032","-4.346243",".000104"
"_Idistrict_4012",".1131428",".0191374","5.912118","8.26e-07","-.1102088",".0609065","-1.809476",".078507","","","","","","","","","-.0976079",".0414967","-2.352182",".0240947"
"_Idistrict_4013",".0601611",".2249024",".2674988",".7905707","-.0766067",".3304737","-.2318086",".817964","","","","","","","","","-.062014",".3057671","-.2028147",".8403911"
"_Idistrict_4014",".1677187",".1522877","1.101328",".2778671","-.2111847",".2148242","-.9830585",".3319636","","","","","","","","","-.2063643",".2004642","-1.029432",".3099593"
"_Idistrict_4015",".1830025",".0387466","4.723063",".0000331","-.2220397",".0620409","-3.578923",".0009852","","","","","","","","","-.2131425",".0354626","-6.010346","6.08e-07"
"_Idistrict_4016",".0763997",".150536",".5075181",".6148034","-.1778838",".1828142","-.9730304",".3368569","","","","","","","","","-.1816518",".1678643","-1.082135",".2861951"
"_Idistrict_4017",".2078661",".0373537","5.564811","2.44e-06","-.2315349",".0909573","-2.545533",".0152107","","","","","","","","","-.2239884",".060667","-3.692093",".0007135"
"_Idistrict_4018",".0385882",".0187899","2.053668",".0471257","-.1040404",".065937","-1.577876",".1231066","","","","","","","","","-.0916121",".0370661","-2.471588",".0181772"
"_Idistrict_4019","-.0155814",".015285","-1.019394",".3146355",".1181949",".1924338",".6142105",".5428348","","","","","","","","",".1325821",".1611868",".8225372",".4160409"
"_Idistrict_4020",".2088355",".0711009","2.937168",".0056702","-.2429473",".0613039","-3.963002",".0003251","","","","","","","","","-.2186699",".0506486","-4.317391",".0001134"
"_Idistrict_4021",".1739842",".1001734","1.736831",".0907371","-.1975856",".0939459","-2.103186",".0423094","","","","","","","","","-.1655255",".1187272","-1.394167",".1715835"
"_Idistrict_4022",".1154482",".0467354","2.47025",".0182355","-.1763608",".0653955","-2.696831",".0104763","","","","","","","","","-.1447361",".0763525","-1.895631",".0658406"
"_Idistrict_4023",".2145734",".0995513","2.155406",".037705","-.2834115",".1656056","-1.711365",".0953861","","","","","","","","","-.2799281",".1520808","-1.840654",".0737029"
"_Idistrict_4024",".1665317",".0134521","12.37961","1.01e-14","-.1732675",".1449871","-1.195054",".2396698","","","","","","","","","-.1644254",".1187431","-1.384715",".1744335"
"_Idistrict_4025",".3359133",".0451395","7.441671","7.37e-09","-.4098933",".0714296","-5.738422","1.42e-06","","","","","","","","","-.4041562",".0780822","-5.176032","8.18e-06"
"_Idistrict_4026",".2555845",".1329163","1.922897",".0622157","-.2257442",".0569761","-3.962086",".0003259","","","","","","","","","-.2094599",".0891881","-2.348518",".0243011"
"_Idistrict_4027",".3173562",".0335977","9.445773","2.12e-11","-.3528216",".1063955","-3.316132",".002053","","","","","","","","","-.3564468",".0900891","-3.956602",".0003312"
"_Idistrict_4028",".1454072",".105331","1.380478",".1757229","-.2247383",".1461165","-1.538075",".1325392","","","","","","","","","-.2303551",".1327845","-1.734804",".0911"
"_Idistrict_4029",".0492877",".1985935",".2481839",".8053644","-.0356773",".3058345","-.1166557",".9077638","","","","","","","","","-.0145629",".2701523","-.0539063",".9572999"
