"","m1_math","","","","m2_math","","","","m3_math","","","","m1_ela","","","","m2_ela","","","","m3_ela","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"inperson_2021",".0960315",".0173799","5.525441","3.65e-08",".1556096",".0196173","7.932242","3.32e-15",".0872371",".0387837","2.249323",".0245985",".0686239",".0138186","4.966064","7.33e-07",".0783586",".0122733","6.384491","2.07e-10",".0729039",".0276221","2.639333",".0083702"
"hybrid_2021",".0379196",".0168961","2.244285",".0249079",".0907484",".0205036","4.425986",".00001",".0280333",".0388234",".7220729",".4703326",".0380652",".0128588","2.960244",".0031051",".0409304",".0122845","3.331876",".0008761",".0360268",".0279096","1.29084",".1969056"
"c_black_yr_ip",".0943441",".0398012","2.370383",".0178509","","","","","","","","",".0193459",".0240375",".8048232",".421004","","","","","","","",""
"c_black_yr_hybrid",".0855205",".0471563","1.813554",".0698754","","","","","","","","",".0507874",".0278949","1.820667",".068786","","","","","","","",""
"c_hisp_yr_ip","","","","","-.1348604",".0680293","-1.982385",".0475539","","","","","","","","","-.0178473",".0482206","-.3701185",".7113279","","","",""
"c_hisp_yr_hybrid","","","","","-.0664334",".0734111","-.9049515",".365585","","","","","","","","",".0247181",".0420728",".5875077",".5569198","","","",""
"c_lunch_yr_ip","","","","","","","","",".081014",".0582111","1.391728",".1641568","","","","","","","","",".0002588",".0371088",".0069728",".9944372"
"c_lunch_yr_hybrid","","","","","","","","",".0689188",".0604894","1.139354",".2546895","","","","","","","","",".0153398",".0379799",".4038919",".6863346"
"N","11041","","","","11041","","","","9620","","","","11064","","","","11064","","","","9643","","",""
"r2",".9851795","","","",".9850393","","","",".9853451","","","",".9874161","","","",".9873991","","","",".9876083","","",""
"df_m","511","","","","511","","","","494","","","","513","","","","513","","","","496","","",""
"df_r","2322","","","","2322","","","","2035","","","","2324","","","","2324","","","","2038","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
