"","b1","","","","b2","","","","w1","","","","w2","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"lynchcapitamob","-.4692258",".1436818","-3.265728",".0012427","","","","","-.0533554",".0891303","-.5986232",".5499597","","","",""
"lynchcapitawhite","","","","","-.0205372",".2277431","-.0901772",".9282177","","","","","-.0152443",".1384862","-.1100783",".9124345"
"N","267","","","","267","","","","267","","","","267","","",""
"r2",".5479143","","","",".5288722","","","",".5854467","","","",".5848794","","",""
"df_m","13","","","","13","","","","13","","","","13","","",""
"df_r","253","","","","253","","","","253","","","","253","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
