	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	lP_tot	lP_tot	lP_tot	lP_sworn	lP_sworn	lP_sworn
						
_Ojoint_2	-0.00365	0.0182	0.0188	-0.0927	-0.0586*	-0.0485
	[0.0272]	[0.0214]	[0.0212]	[0.0655]	[0.0349]	[0.0348]
_Ojoint_4	0.0141	-0.00720	-0.00512	-0.00320	0.0143	0.0173
	[0.0273]	[0.0161]	[0.0163]	[0.0331]	[0.0229]	[0.0226]
_Ojoint_5	0.0424	-0.0174	-0.0129	0.0195	-0.00604	0.00430
	[0.0557]	[0.0296]	[0.0299]	[0.0393]	[0.0370]	[0.0371]
_Ojoint_6	0.00717	-0.0317	-0.0256	-0.0543	-0.0736*	-0.0471
	[0.0527]	[0.0347]	[0.0336]	[0.0374]	[0.0390]	[0.0393]
						
Observations	80,525	80,525	80,525	75,570	75,570	75,570
R-squared	0.663	0.698	0.719	0.531	0.611	0.635
Number of fips	3,060	3,060	3,060	3,060	3,060	3,060
Robust standard errors in brackets						
*** p<0.01, ** p<0.05, * p<0.1						
