t	assoc	assoc_se	bach	bach_se
-4	-.0017524	.0149943	-.0154506	.0059533
-3	.0108303	.0068225	-.0064988	.0042467
-2	-.0018123	.008074	-.007855	.004345
-1	0	0	0	0
0	-.0230383	.0067212	.0334875	.0321101
1	-.0505954	.015836	.0238435	.0189348
2	-.0461867	.013849	.0182023	.0183817
3	-.0624198	.0204094	.0163456	.0186746
4	-.0530213	.0184008	.0178438	.0194567
5	-.0655581	.0310345	.0168066	.0215883
