t	assoc	assoc_se	bach	bach_se
-4	-.0043411	.0155198	-.0186676	.0083452
-3	.0085337	.0087108	-.0099295	.004555
-2	-.0075502	.0089369	-.0095749	.0052031
-1	0	0	0	0
0	-.028993	.007942	.0497686	.0494212
1	-.0601678	.0186484	.0354497	.0279789
2	-.0573188	.0157167	.0221318	.021562
3	-.0784977	.0236946	.0183045	.0237501
4	-.073411	.0206942	.0187052	.0229098
5	-.0975071	.0391594	.0132689	.0237771
