t	assoc	assoc_se	bach	bach_se
-4	-.0017524	.0149943	-.0139197	.0050743
-3	.0108303	.0068225	-.0069166	.0030728
-2	-.0018123	.008074	-.007613	.0040487
-1	0	0	0	0
0	-.0230383	.0067212	.0330004	.0323747
1	-.0505954	.015836	.0229644	.0188996
2	-.0461867	.013849	.0154653	.0179738
3	-.0624198	.0204094	.0111279	.0188878
4	-.0530213	.0184008	.0098272	.0180778
5	-.0655581	.0310345	.0070259	.0171718
