	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)
	OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS
VARIABLES	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr No FE
																																																		
kelurDum	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0739***
ShareRurLand_1996			0.0003	0.0003	0.0003			0.0010	.	0.0010	.	0.0010	.			0.0003	0.0003	0.0003			0.0010	.	0.0010	.	0.0010	.			0.0003	0.0003	0.0003			0.0010	.	0.0010	.	0.0010	.			0.0003	0.0003	0.0003			0.0003	0.0003	0.0003	
			(0.000)	(0.000)	(0.000)			(0.001)	(.)	(0.001)	(.)	(0.001)	(.)			(0.000)	(0.000)	(0.000)			(0.001)	(.)	(0.001)	(.)	(0.001)	(.)			(0.000)	(0.000)	(0.000)			(0.001)	(.)	(0.001)	(.)	(0.001)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(0.000)	(0.000)	
altitude_high_1996			0.0255**	0.0274**	0.0276***			0.1084**	.	0.1183***	.	0.1204***	.			0.0255**	0.0274**	0.0276***			0.1084**	.	0.1183***	.	0.1204***	.			0.0255**	0.0274**	0.0276***			0.1084**	.	0.1183***	.	0.1204***	.			0.0255**	0.0274**	0.0276***			0.0255**	0.0274**	0.0276***	
			(0.011)	(0.011)	(0.011)			(0.043)	(.)	(0.041)	(.)	(0.041)	(.)			(0.011)	(0.011)	(0.011)			(0.043)	(.)	(0.041)	(.)	(0.041)	(.)			(0.011)	(0.011)	(0.011)			(0.043)	(.)	(0.041)	(.)	(0.041)	(.)			(0.011)	(0.011)	(0.011)			(0.011)	(0.011)	(0.011)	
lpopulation_1996			0.0348	0.4695	0.4584			-0.7170	.	0.3169	.	0.2805	.			0.0348	0.4695	0.4584			-0.7170	.	0.3169	.	0.2805	.			0.0348	0.4695	0.4584			-0.7170	.	0.3169	.	0.2805	.			0.0348	0.4695	0.4584			0.0348	0.4695	0.4584	
			(0.569)	(0.415)	(0.420)			(1.746)	(.)	(1.579)	(.)	(1.593)	(.)			(0.569)	(0.415)	(0.420)			(1.746)	(.)	(1.579)	(.)	(1.593)	(.)			(0.569)	(0.415)	(0.420)			(1.746)	(.)	(1.579)	(.)	(1.593)	(.)			(0.569)	(0.415)	(0.420)			(0.569)	(0.415)	(0.420)	
lpopulation_1996_2			0.0007	-0.0792	-0.0766			0.2268	.	0.0394	.	0.0475	.			0.0007	-0.0792	-0.0766			0.2268	.	0.0394	.	0.0475	.			0.0007	-0.0792	-0.0766			0.2268	.	0.0394	.	0.0475	.			0.0007	-0.0792	-0.0766			0.0007	-0.0792	-0.0766	
			(0.102)	(0.082)	(0.083)			(0.329)	(.)	(0.317)	(.)	(0.320)	(.)			(0.102)	(0.082)	(0.083)			(0.329)	(.)	(0.317)	(.)	(0.320)	(.)			(0.102)	(0.082)	(0.083)			(0.329)	(.)	(0.317)	(.)	(0.320)	(.)			(0.102)	(0.082)	(0.083)			(0.102)	(0.082)	(0.083)	
lpopulation_1996_3			-0.0016	0.0048	0.0045			-0.0291	.	-0.0142	.	-0.0149	.			-0.0016	0.0048	0.0045			-0.0291	.	-0.0142	.	-0.0149	.			-0.0016	0.0048	0.0045			-0.0291	.	-0.0142	.	-0.0149	.			-0.0016	0.0048	0.0045			-0.0016	0.0048	0.0045	
			(0.008)	(0.007)	(0.007)			(0.028)	(.)	(0.028)	(.)	(0.028)	(.)			(0.008)	(0.007)	(0.007)			(0.028)	(.)	(0.028)	(.)	(0.028)	(.)			(0.008)	(0.007)	(0.007)			(0.028)	(.)	(0.028)	(.)	(0.028)	(.)			(0.008)	(0.007)	(0.007)			(0.008)	(0.007)	(0.007)	
