	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)
	OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS
VARIABLES	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr No FE
																																																		
kelurDum	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0739***
idkab_dum3		-0.1979***	-0.3191***	-0.2856***	-0.2892***	1.1076***	.	1.0144***	.	1.2211***	.	1.2056***	.		-0.1979***	-0.3191***	-0.2856***	-0.2892***	1.1076***	.	1.0144***	.	1.2211***	.	1.2056***	.		-0.1979***	-0.3191***	-0.2856***	-0.2892***	1.1076***	.	1.0144***	.	1.2211***	.	1.2056***	.		-0.1979***	-0.3191***	-0.2856***	-0.2892***		-0.1979***	-0.3191***	-0.2856***	-0.2892***	
		(0.008)	(0.038)	(0.034)	(0.034)	(0.000)	(.)	(0.063)	(.)	(0.066)	(.)	(0.065)	(.)		(0.008)	(0.038)	(0.034)	(0.034)	(0.000)	(.)	(0.063)	(.)	(0.066)	(.)	(0.065)	(.)		(0.008)	(0.038)	(0.034)	(0.034)	(0.000)	(.)	(0.063)	(.)	(0.066)	(.)	(0.065)	(.)		(0.008)	(0.038)	(0.034)	(0.034)		(0.008)	(0.038)	(0.034)	(0.034)	
idkab_dum4		-0.4635***	-0.6128***	-0.6011***	-0.6083***	0.4288***	.	0.2423	.	0.3606**	.	0.3290*	.		-0.4635***	-0.6128***	-0.6011***	-0.6083***	0.4288***	.	0.2423	.	0.3606**	.	0.3290*	.		-0.4635***	-0.6128***	-0.6011***	-0.6083***	0.4288***	.	0.2423	.	0.3606**	.	0.3290*	.		-0.4635***	-0.6128***	-0.6011***	-0.6083***		-0.4635***	-0.6128***	-0.6011***	-0.6083***	
		(0.008)	(0.076)	(0.072)	(0.071)	(0.000)	(.)	(0.188)	(.)	(0.171)	(.)	(0.172)	(.)		(0.008)	(0.076)	(0.072)	(0.071)	(0.000)	(.)	(0.188)	(.)	(0.171)	(.)	(0.172)	(.)		(0.008)	(0.076)	(0.072)	(0.071)	(0.000)	(.)	(0.188)	(.)	(0.171)	(.)	(0.172)	(.)		(0.008)	(0.076)	(0.072)	(0.071)		(0.008)	(0.076)	(0.072)	(0.071)	
idkab_dum5		-0.1626***	-0.2837***	-0.2438***	-0.2518***	1.2020***	.	1.0728***	.	1.2962***	.	1.2641***	.		-0.1626***	-0.2837***	-0.2438***	-0.2518***	1.2020***	.	1.0728***	.	1.2962***	.	1.2641***	.		-0.1626***	-0.2837***	-0.2438***	-0.2518***	1.2020***	.	1.0728***	.	1.2962***	.	1.2641***	.		-0.1626***	-0.2837***	-0.2438***	-0.2518***		-0.1626***	-0.2837***	-0.2438***	-0.2518***	
		(0.008)	(0.046)	(0.043)	(0.043)	(0.000)	(.)	(0.103)	(.)	(0.100)	(.)	(0.098)	(.)		(0.008)	(0.046)	(0.043)	(0.043)	(0.000)	(.)	(0.103)	(.)	(0.100)	(.)	(0.098)	(.)		(0.008)	(0.046)	(0.043)	(0.043)	(0.000)	(.)	(0.103)	(.)	(0.100)	(.)	(0.098)	(.)		(0.008)	(0.046)	(0.043)	(0.043)		(0.008)	(0.046)	(0.043)	(0.043)	
idkab_dum6		-0.3635***	-0.4963***	-0.4626***	-0.4634***	0.6878***	.	0.5516***	.	0.7546***	.	0.7459***	.		-0.3635***	-0.4963***	-0.4626***	-0.4634***	0.6878***	.	0.5516***	.	0.7546***	.	0.7459***	.		-0.3635***	-0.4963***	-0.4626***	-0.4634***	0.6878***	.	0.5516***	.	0.7546***	.	0.7459***	.		-0.3635***	-0.4963***	-0.4626***	-0.4634***		-0.3635***	-0.4963***	-0.4626***	-0.4634***	
		(0.008)	(0.043)	(0.040)	(0.040)	(0.001)	(.)	(0.085)	(.)	(0.082)	(.)	(0.082)	(.)		(0.008)	(0.043)	(0.040)	(0.040)	(0.001)	(.)	(0.085)	(.)	(0.082)	(.)	(0.082)	(.)		(0.008)	(0.043)	(0.040)	(0.040)	(0.001)	(.)	(0.085)	(.)	(0.082)	(.)	(0.082)	(.)		(0.008)	(0.043)	(0.040)	(0.040)		(0.008)	(0.043)	(0.040)	(0.040)	
idkab_dum7		-0.6615***	-0.6513***	-0.6643***	-0.6646***	-0.2067***	.	0.1691*	.	0.2237***	.	0.2168**	.		-0.6615***	-0.6513***	-0.6643***	-0.6646***	-0.2067***	.	0.1691*	.	0.2237***	.	0.2168**	.		-0.6615***	-0.6513***	-0.6643***	-0.6646***	-0.2067***	.	0.1691*	.	0.2237***	.	0.2168**	.		-0.6615***	-0.6513***	-0.6643***	-0.6646***		-0.6615***	-0.6513***	-0.6643***	-0.6646***	
		(0.004)	(0.013)	(0.014)	(0.014)	(0.021)	(.)	(0.087)	(.)	(0.085)	(.)	(0.086)	(.)		(0.004)	(0.013)	(0.014)	(0.014)	(0.021)	(.)	(0.087)	(.)	(0.085)	(.)	(0.086)	(.)		(0.004)	(0.013)	(0.014)	(0.014)	(0.021)	(.)	(0.087)	(.)	(0.085)	(.)	(0.086)	(.)		(0.004)	(0.013)	(0.014)	(0.014)		(0.004)	(0.013)	(0.014)	(0.014)	
idkab_dum8		0.0301***	-0.0443**	-0.0609***	-0.0612***	1.8310***	.	1.8601***	.	1.8947***	.	1.8912***	.		0.0301***	-0.0443**	-0.0609***	-0.0612***	1.8310***	.	1.8601***	.	1.8947***	.	1.8912***	.		0.0301***	-0.0443**	-0.0609***	-0.0612***	1.8310***	.	1.8601***	.	1.8947***	.	1.8912***	.		0.0301***	-0.0443**	-0.0609***	-0.0612***		0.0301***	-0.0443**	-0.0609***	-0.0612***	
		(0.006)	(0.020)	(0.020)	(0.020)	(0.013)	(.)	(0.038)	(.)	(0.041)	(.)	(0.041)	(.)		(0.006)	(0.020)	(0.020)	(0.020)	(0.013)	(.)	(0.038)	(.)	(0.041)	(.)	(0.041)	(.)		(0.006)	(0.020)	(0.020)	(0.020)	(0.013)	(.)	(0.038)	(.)	(0.041)	(.)	(0.041)	(.)		(0.006)	(0.020)	(0.020)	(0.020)		(0.006)	(0.020)	(0.020)	(0.020)	
idkab_dum9		-0.3896***	-0.4508***	-0.4612***	-0.4600***	0.6215***	.	0.7190***	.	0.7785***	.	0.7799***	.		-0.3896***	-0.4508***	-0.4612***	-0.4600***	0.6215***	.	0.7190***	.	0.7785***	.	0.7799***	.		-0.3896***	-0.4508***	-0.4612***	-0.4600***	0.6215***	.	0.7190***	.	0.7785***	.	0.7799***	.		-0.3896***	-0.4508***	-0.4612***	-0.4600***		-0.3896***	-0.4508***	-0.4612***	-0.4600***	
		(0.008)	(0.023)	(0.023)	(0.024)	(0.001)	(.)	(0.031)	(.)	(0.031)	(.)	(0.031)	(.)		(0.008)	(0.023)	(0.023)	(0.024)	(0.001)	(.)	(0.031)	(.)	(0.031)	(.)	(0.031)	(.)		(0.008)	(0.023)	(0.023)	(0.024)	(0.001)	(.)	(0.031)	(.)	(0.031)	(.)	(0.031)	(.)		(0.008)	(0.023)	(0.023)	(0.024)		(0.008)	(0.023)	(0.023)	(0.024)	
idkab_dum10		0.1238***	0.0848***	0.0568**	0.0515**	2.3821***	.	2.5475***	.	2.5550***	.	2.5323***	.		0.1238***	0.0848***	0.0568**	0.0515**	2.3821***	.	2.5475***	.	2.5550***	.	2.5323***	.		0.1238***	0.0848***	0.0568**	0.0515**	2.3821***	.	2.5475***	.	2.5550***	.	2.5323***	.		0.1238***	0.0848***	0.0568**	0.0515**		0.1238***	0.0848***	0.0568**	0.0515**	
		(0.007)	(0.023)	(0.024)	(0.025)	(0.004)	(.)	(0.049)	(.)	(0.043)	(.)	(0.044)	(.)		(0.007)	(0.023)	(0.024)	(0.025)	(0.004)	(.)	(0.049)	(.)	(0.043)	(.)	(0.044)	(.)		(0.007)	(0.023)	(0.024)	(0.025)	(0.004)	(.)	(0.049)	(.)	(0.043)	(.)	(0.044)	(.)		(0.007)	(0.023)	(0.024)	(0.025)		(0.007)	(0.023)	(0.024)	(0.025)	
idkab_dum11		0.0992***	0.0305	-0.0011	-0.0024	2.1933***	.	2.2499***	.	2.2459***	.	2.2379***	.		0.0992***	0.0305	-0.0011	-0.0024	2.1933***	.	2.2499***	.	2.2459***	.	2.2379***	.		0.0992***	0.0305	-0.0011	-0.0024	2.1933***	.	2.2499***	.	2.2459***	.	2.2379***	.		0.0992***	0.0305	-0.0011	-0.0024		0.0992***	0.0305	-0.0011	-0.0024	
		(0.008)	(0.019)	(0.020)	(0.021)	(0.000)	(.)	(0.036)	(.)	(0.034)	(.)	(0.035)	(.)		(0.008)	(0.019)	(0.020)	(0.021)	(0.000)	(.)	(0.036)	(.)	(0.034)	(.)	(0.035)	(.)		(0.008)	(0.019)	(0.020)	(0.021)	(0.000)	(.)	(0.036)	(.)	(0.034)	(.)	(0.035)	(.)		(0.008)	(0.019)	(0.020)	(0.021)		(0.008)	(0.019)	(0.020)	(0.021)	
idkab_dum12		0.1096***	0.0700***	0.0437**	0.0531**	2.2685***	.	2.4126***	.	2.4211***	.	2.4550***	.		0.1096***	0.0700***	0.0437**	0.0531**	2.2685***	.	2.4126***	.	2.4211***	.	2.4550***	.		0.1096***	0.0700***	0.0437**	0.0531**	2.2685***	.	2.4126***	.	2.4211***	.	2.4550***	.		0.1096***	0.0700***	0.0437**	0.0531**		0.1096***	0.0700***	0.0437**	0.0531**	
		(0.006)	(0.020)	(0.022)	(0.023)	(0.009)	(.)	(0.044)	(.)	(0.039)	(.)	(0.041)	(.)		(0.006)	(0.020)	(0.022)	(0.023)	(0.009)	(.)	(0.044)	(.)	(0.039)	(.)	(0.041)	(.)		(0.006)	(0.020)	(0.022)	(0.023)	(0.009)	(.)	(0.044)	(.)	(0.039)	(.)	(0.041)	(.)		(0.006)	(0.020)	(0.022)	(0.023)		(0.006)	(0.020)	(0.022)	(0.023)	
idkab_dum13		0.0433***	0.0011	-0.0280	-0.0240	1.8916***	.	2.0435***	.	2.0411***	.	2.0561***	.		0.0433***	0.0011	-0.0280	-0.0240	1.8916***	.	2.0435***	.	2.0411***	.	2.0561***	.		0.0433***	0.0011	-0.0280	-0.0240	1.8916***	.	2.0435***	.	2.0411***	.	2.0561***	.		0.0433***	0.0011	-0.0280	-0.0240		0.0433***	0.0011	-0.0280	-0.0240	
		(0.006)	(0.022)	(0.024)	(0.024)	(0.009)	(.)	(0.044)	(.)	(0.039)	(.)	(0.040)	(.)		(0.006)	(0.022)	(0.024)	(0.024)	(0.009)	(.)	(0.044)	(.)	(0.039)	(.)	(0.040)	(.)		(0.006)	(0.022)	(0.024)	(0.024)	(0.009)	(.)	(0.044)	(.)	(0.039)	(.)	(0.040)	(.)		(0.006)	(0.022)	(0.024)	(0.024)		(0.006)	(0.022)	(0.024)	(0.024)	
idkab_dum14		0.0356***	0.0045	-0.0252	-0.0230	1.8557***	.	2.0598***	.	2.0671***	.	2.0731***	.		0.0356***	0.0045	-0.0252	-0.0230	1.8557***	.	2.0598***	.	2.0671***	.	2.0731***	.		0.0356***	0.0045	-0.0252	-0.0230	1.8557***	.	2.0598***	.	2.0671***	.	2.0731***	.		0.0356***	0.0045	-0.0252	-0.0230		0.0356***	0.0045	-0.0252	-0.0230	
		(0.007)	(0.024)	(0.024)	(0.025)	(0.005)	(.)	(0.055)	(.)	(0.058)	(.)	(0.060)	(.)		(0.007)	(0.024)	(0.024)	(0.025)	(0.005)	(.)	(0.055)	(.)	(0.058)	(.)	(0.060)	(.)		(0.007)	(0.024)	(0.024)	(0.025)	(0.005)	(.)	(0.055)	(.)	(0.058)	(.)	(0.060)	(.)		(0.007)	(0.024)	(0.024)	(0.025)		(0.007)	(0.024)	(0.024)	(0.025)	
idkab_dum15		0.1196***	0.1116***	0.0739***	0.0856***	2.3502***	.	2.6033***	.	2.5776***	.	2.6321***	.		0.1196***	0.1116***	0.0739***	0.0856***	2.3502***	.	2.6033***	.	2.5776***	.	2.6321***	.		0.1196***	0.1116***	0.0739***	0.0856***	2.3502***	.	2.6033***	.	2.5776***	.	2.6321***	.		0.1196***	0.1116***	0.0739***	0.0856***		0.1196***	0.1116***	0.0739***	0.0856***	
		(0.004)	(0.017)	(0.018)	(0.019)	(0.025)	(.)	(0.055)	(.)	(0.055)	(.)	(0.059)	(.)		(0.004)	(0.017)	(0.018)	(0.019)	(0.025)	(.)	(0.055)	(.)	(0.055)	(.)	(0.059)	(.)		(0.004)	(0.017)	(0.018)	(0.019)	(0.025)	(.)	(0.055)	(.)	(0.055)	(.)	(0.059)	(.)		(0.004)	(0.017)	(0.018)	(0.019)		(0.004)	(0.017)	(0.018)	(0.019)	
idkab_dum16		0.0344***	0.0031	-0.0129	-0.0094	1.8506***	.	2.0388***	.	2.0903***	.	2.0988***	.		0.0344***	0.0031	-0.0129	-0.0094	1.8506***	.	2.0388***	.	2.0903***	.	2.0988***	.		0.0344***	0.0031	-0.0129	-0.0094	1.8506***	.	2.0388***	.	2.0903***	.	2.0988***	.		0.0344***	0.0031	-0.0129	-0.0094		0.0344***	0.0031	-0.0129	-0.0094	
		(0.007)	(0.020)	(0.020)	(0.021)	(0.005)	(.)	(0.054)	(.)	(0.062)	(.)	(0.063)	(.)		(0.007)	(0.020)	(0.020)	(0.021)	(0.005)	(.)	(0.054)	(.)	(0.062)	(.)	(0.063)	(.)		(0.007)	(0.020)	(0.020)	(0.021)	(0.005)	(.)	(0.054)	(.)	(0.062)	(.)	(0.063)	(.)		(0.007)	(0.020)	(0.020)	(0.021)		(0.007)	(0.020)	(0.020)	(0.021)	
idkab_dum17		-0.1797***	-0.2274***	-0.2023***	-0.2015***	1.1544***	.	1.2835***	.	1.4541***	.	1.4526***	.		-0.1797***	-0.2274***	-0.2023***	-0.2015***	1.1544***	.	1.2835***	.	1.4541***	.	1.4526***	.		-0.1797***	-0.2274***	-0.2023***	-0.2015***	1.1544***	.	1.2835***	.	1.4541***	.	1.4526***	.		-0.1797***	-0.2274***	-0.2023***	-0.2015***		-0.1797***	-0.2274***	-0.2023***	-0.2015***	
		(0.006)	(0.023)	(0.025)	(0.025)	(0.008)	(.)	(0.091)	(.)	(0.110)	(.)	(0.108)	(.)		(0.006)	(0.023)	(0.025)	(0.025)	(0.008)	(.)	(0.091)	(.)	(0.110)	(.)	(0.108)	(.)		(0.006)	(0.023)	(0.025)	(0.025)	(0.008)	(.)	(0.091)	(.)	(0.110)	(.)	(0.108)	(.)		(0.006)	(0.023)	(0.025)	(0.025)		(0.006)	(0.023)	(0.025)	(0.025)	
idkab_dum18		0.0736***	0.0265	0.0019	0.0025	2.0404***	.	2.1835***	.	2.1977***	.	2.1947***	.		0.0736***	0.0265	0.0019	0.0025	2.0404***	.	2.1835***	.	2.1977***	.	2.1947***	.		0.0736***	0.0265	0.0019	0.0025	2.0404***	.	2.1835***	.	2.1977***	.	2.1947***	.		0.0736***	0.0265	0.0019	0.0025		0.0736***	0.0265	0.0019	0.0025	
		(0.008)	(0.021)	(0.021)	(0.022)	(0.000)	(.)	(0.043)	(.)	(0.048)	(.)	(0.048)	(.)		(0.008)	(0.021)	(0.021)	(0.022)	(0.000)	(.)	(0.043)	(.)	(0.048)	(.)	(0.048)	(.)		(0.008)	(0.021)	(0.021)	(0.022)	(0.000)	(.)	(0.043)	(.)	(0.048)	(.)	(0.048)	(.)		(0.008)	(0.021)	(0.021)	(0.022)		(0.008)	(0.021)	(0.021)	(0.022)	
idkab_dum19		0.0245***	-0.0270	-0.0802***	-0.0789***	1.8086***	.	1.9104***	.	1.8280***	.	1.8280***	.		0.0245***	-0.0270	-0.0802***	-0.0789***	1.8086***	.	1.9104***	.	1.8280***	.	1.8280***	.		0.0245***	-0.0270	-0.0802***	-0.0789***	1.8086***	.	1.9104***	.	1.8280***	.	1.8280***	.		0.0245***	-0.0270	-0.0802***	-0.0789***		0.0245***	-0.0270	-0.0802***	-0.0789***	
		(0.007)	(0.021)	(0.023)	(0.024)	(0.004)	(.)	(0.066)	(.)	(0.072)	(.)	(0.075)	(.)		(0.007)	(0.021)	(0.023)	(0.024)	(0.004)	(.)	(0.066)	(.)	(0.072)	(.)	(0.075)	(.)		(0.007)	(0.021)	(0.023)	(0.024)	(0.004)	(.)	(0.066)	(.)	(0.072)	(.)	(0.075)	(.)		(0.007)	(0.021)	(0.023)	(0.024)		(0.007)	(0.021)	(0.023)	(0.024)	
idkab_dum20		0.0551***	0.0337*	0.0035	0.0018	1.9456***	.	2.1749***	.	2.1748***	.	2.1641***	.		0.0551***	0.0337*	0.0035	0.0018	1.9456***	.	2.1749***	.	2.1748***	.	2.1641***	.		0.0551***	0.0337*	0.0035	0.0018	1.9456***	.	2.1749***	.	2.1748***	.	2.1641***	.		0.0551***	0.0337*	0.0035	0.0018		0.0551***	0.0337*	0.0035	0.0018	
		(0.004)	(0.019)	(0.019)	(0.019)	(0.019)	(.)	(0.054)	(.)	(0.052)	(.)	(0.053)	(.)		(0.004)	(0.019)	(0.019)	(0.019)	(0.019)	(.)	(0.054)	(.)	(0.052)	(.)	(0.053)	(.)		(0.004)	(0.019)	(0.019)	(0.019)	(0.019)	(.)	(0.054)	(.)	(0.052)	(.)	(0.053)	(.)		(0.004)	(0.019)	(0.019)	(0.019)		(0.004)	(0.019)	(0.019)	(0.019)	
idkab_dum21		0.1559***	0.1199***	0.0915***	0.0947***	2.7950***	.	2.9669***	.	2.9775***	.	2.9809***	.		0.1559***	0.1199***	0.0915***	0.0947***	2.7950***	.	2.9669***	.	2.9775***	.	2.9809***	.		0.1559***	0.1199***	0.0915***	0.0947***	2.7950***	.	2.9669***	.	2.9775***	.	2.9809***	.		0.1559***	0.1199***	0.0915***	0.0947***		0.1559***	0.1199***	0.0915***	0.0947***	
		(0.004)	(0.020)	(0.021)	(0.021)	(0.017)	(.)	(0.051)	(.)	(0.048)	(.)	(0.048)	(.)		(0.004)	(0.020)	(0.021)	(0.021)	(0.017)	(.)	(0.051)	(.)	(0.048)	(.)	(0.048)	(.)		(0.004)	(0.020)	(0.021)	(0.021)	(0.017)	(.)	(0.051)	(.)	(0.048)	(.)	(0.048)	(.)		(0.004)	(0.020)	(0.021)	(0.021)		(0.004)	(0.020)	(0.021)	(0.021)	
idkab_dum22		0.0745***	0.0543***	0.0259	0.0298	2.0457***	.	2.2960***	.	2.2965***	.	2.3088***	.		0.0745***	0.0543***	0.0259	0.0298	2.0457***	.	2.2960***	.	2.2965***	.	2.3088***	.		0.0745***	0.0543***	0.0259	0.0298	2.0457***	.	2.2960***	.	2.2965***	.	2.3088***	.		0.0745***	0.0543***	0.0259	0.0298		0.0745***	0.0543***	0.0259	0.0298	
		(0.008)	(0.018)	(0.019)	(0.020)	(0.002)	(.)	(0.047)	(.)	(0.044)	(.)	(0.046)	(.)		(0.008)	(0.018)	(0.019)	(0.020)	(0.002)	(.)	(0.047)	(.)	(0.044)	(.)	(0.046)	(.)		(0.008)	(0.018)	(0.019)	(0.020)	(0.002)	(.)	(0.047)	(.)	(0.044)	(.)	(0.046)	(.)		(0.008)	(0.018)	(0.019)	(0.020)		(0.008)	(0.018)	(0.019)	(0.020)	
idkab_dum23		0.1790***	0.1750***	0.1432***	0.1461***										0.1790***	0.1750***	0.1432***	0.1461***										0.1790***	0.1750***	0.1432***	0.1461***										0.1790***	0.1750***	0.1432***	0.1461***		0.1790***	0.1750***	0.1432***	0.1461***	
		(0.005)	(0.019)	(0.020)	(0.020)										(0.005)	(0.019)	(0.020)	(0.020)										(0.005)	(0.019)	(0.020)	(0.020)										(0.005)	(0.019)	(0.020)	(0.020)		(0.005)	(0.019)	(0.020)	(0.020)	
idkab_dum24		0.1693***	0.1248***	0.0919***	0.0944***	3.0752***	.	3.2353***	.	3.2292***	.	3.2348***	.		0.1693***	0.1248***	0.0919***	0.0944***	3.0752***	.	3.2353***	.	3.2292***	.	3.2348***	.		0.1693***	0.1248***	0.0919***	0.0944***	3.0752***	.	3.2353***	.	3.2292***	.	3.2348***	.		0.1693***	0.1248***	0.0919***	0.0944***		0.1693***	0.1248***	0.0919***	0.0944***	
		(0.008)	(0.020)	(0.021)	(0.022)	(0.001)	(.)	(0.048)	(.)	(0.045)	(.)	(0.045)	(.)		(0.008)	(0.020)	(0.021)	(0.022)	(0.001)	(.)	(0.048)	(.)	(0.045)	(.)	(0.045)	(.)		(0.008)	(0.020)	(0.021)	(0.022)	(0.001)	(.)	(0.048)	(.)	(0.045)	(.)	(0.045)	(.)		(0.008)	(0.020)	(0.021)	(0.022)		(0.008)	(0.020)	(0.021)	(0.022)	
idkab_dum25		0.1495***	0.1357***	0.1027***	0.0988***	2.6814***	.	2.9521***	.	2.9399***	.	2.9135***	.		0.1495***	0.1357***	0.1027***	0.0988***	2.6814***	.	2.9521***	.	2.9399***	.	2.9135***	.		0.1495***	0.1357***	0.1027***	0.0988***	2.6814***	.	2.9521***	.	2.9399***	.	2.9135***	.		0.1495***	0.1357***	0.1027***	0.0988***		0.1495***	0.1357***	0.1027***	0.0988***	
		(0.005)	(0.019)	(0.020)	(0.020)	(0.013)	(.)	(0.053)	(.)	(0.052)	(.)	(0.056)	(.)		(0.005)	(0.019)	(0.020)	(0.020)	(0.013)	(.)	(0.053)	(.)	(0.052)	(.)	(0.056)	(.)		(0.005)	(0.019)	(0.020)	(0.020)	(0.013)	(.)	(0.053)	(.)	(0.052)	(.)	(0.056)	(.)		(0.005)	(0.019)	(0.020)	(0.020)		(0.005)	(0.019)	(0.020)	(0.020)	
idkab_dum26		0.1429***	0.1230***	0.0917***	0.0892***	2.5919***	.	2.8229***	.	2.8180***	.	2.8068***	.		0.1429***	0.1230***	0.0917***	0.0892***	2.5919***	.	2.8229***	.	2.8180***	.	2.8068***	.		0.1429***	0.1230***	0.0917***	0.0892***	2.5919***	.	2.8229***	.	2.8180***	.	2.8068***	.		0.1429***	0.1230***	0.0917***	0.0892***		0.1429***	0.1230***	0.0917***	0.0892***	
		(0.004)	(0.019)	(0.019)	(0.019)	(0.018)	(.)	(0.054)	(.)	(0.052)	(.)	(0.053)	(.)		(0.004)	(0.019)	(0.019)	(0.019)	(0.018)	(.)	(0.054)	(.)	(0.052)	(.)	(0.053)	(.)		(0.004)	(0.019)	(0.019)	(0.019)	(0.018)	(.)	(0.054)	(.)	(0.052)	(.)	(0.053)	(.)		(0.004)	(0.019)	(0.019)	(0.019)		(0.004)	(0.019)	(0.019)	(0.019)	
idkab_dum27		0.1044***	0.0824***	0.0436**	0.0429**	2.2310***	.	2.4718***	.	2.4439***	.	2.4317***	.		0.1044***	0.0824***	0.0436**	0.0429**	2.2310***	.	2.4718***	.	2.4439***	.	2.4317***	.		0.1044***	0.0824***	0.0436**	0.0429**	2.2310***	.	2.4718***	.	2.4439***	.	2.4317***	.		0.1044***	0.0824***	0.0436**	0.0429**		0.1044***	0.0824***	0.0436**	0.0429**	
		(0.005)	(0.018)	(0.019)	(0.019)	(0.014)	(.)	(0.053)	(.)	(0.055)	(.)	(0.057)	(.)		(0.005)	(0.018)	(0.019)	(0.019)	(0.014)	(.)	(0.053)	(.)	(0.055)	(.)	(0.057)	(.)		(0.005)	(0.018)	(0.019)	(0.019)	(0.014)	(.)	(0.053)	(.)	(0.055)	(.)	(0.057)	(.)		(0.005)	(0.018)	(0.019)	(0.019)		(0.005)	(0.018)	(0.019)	(0.019)	
idkab_dum28		0.1799***	0.1462***	0.1029***	0.1081***										0.1799***	0.1462***	0.1029***	0.1081***										0.1799***	0.1462***	0.1029***	0.1081***										0.1799***	0.1462***	0.1029***	0.1081***		0.1799***	0.1462***	0.1029***	0.1081***	
		(0.006)	(0.021)	(0.023)	(0.024)										(0.006)	(0.021)	(0.023)	(0.024)										(0.006)	(0.021)	(0.023)	(0.024)										(0.006)	(0.021)	(0.023)	(0.024)		(0.006)	(0.021)	(0.023)	(0.024)	
idkab_dum29		0.1558***	0.1511***	0.1157***	0.1152***	2.7738***	.	3.0833***	.	3.0647***	.	3.0567***	.		0.1558***	0.1511***	0.1157***	0.1152***	2.7738***	.	3.0833***	.	3.0647***	.	3.0567***	.		0.1558***	0.1511***	0.1157***	0.1152***	2.7738***	.	3.0833***	.	3.0647***	.	3.0567***	.		0.1558***	0.1511***	0.1157***	0.1152***		0.1558***	0.1511***	0.1157***	0.1152***	
		(0.006)	(0.017)	(0.018)	(0.019)	(0.011)	(.)	(0.057)	(.)	(0.058)	(.)	(0.059)	(.)		(0.006)	(0.017)	(0.018)	(0.019)	(0.011)	(.)	(0.057)	(.)	(0.058)	(.)	(0.059)	(.)		(0.006)	(0.017)	(0.018)	(0.019)	(0.011)	(.)	(0.057)	(.)	(0.058)	(.)	(0.059)	(.)		(0.006)	(0.017)	(0.018)	(0.019)		(0.006)	(0.017)	(0.018)	(0.019)	
idkab_dum30		0.1504***	0.1493***	0.1177***	0.1160***	2.6873***	.	2.9915***	.	2.9782***	.	2.9709***	.		0.1504***	0.1493***	0.1177***	0.1160***	2.6873***	.	2.9915***	.	2.9782***	.	2.9709***	.		0.1504***	0.1493***	0.1177***	0.1160***	2.6873***	.	2.9915***	.	2.9782***	.	2.9709***	.		0.1504***	0.1493***	0.1177***	0.1160***		0.1504***	0.1493***	0.1177***	0.1160***	
		(0.005)	(0.018)	(0.019)	(0.019)	(0.014)	(.)	(0.054)	(.)	(0.053)	(.)	(0.054)	(.)		(0.005)	(0.018)	(0.019)	(0.019)	(0.014)	(.)	(0.054)	(.)	(0.053)	(.)	(0.054)	(.)		(0.005)	(0.018)	(0.019)	(0.019)	(0.014)	(.)	(0.054)	(.)	(0.053)	(.)	(0.054)	(.)		(0.005)	(0.018)	(0.019)	(0.019)		(0.005)	(0.018)	(0.019)	(0.019)	
idkab_dum31		0.0994***	0.0808***	0.0489**	0.0540***	2.1975***	.	2.4413***	.	2.4304***	.	2.4485***	.		0.0994***	0.0808***	0.0489**	0.0540***	2.1975***	.	2.4413***	.	2.4304***	.	2.4485***	.		0.0994***	0.0808***	0.0489**	0.0540***	2.1975***	.	2.4413***	.	2.4304***	.	2.4485***	.		0.0994***	0.0808***	0.0489**	0.0540***		0.0994***	0.0808***	0.0489**	0.0540***	
