"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"lmargin","-.0045544",".0026573","-1.713938",".0873186","-.0082779",".0032025","-2.584846",".0100972"
"gov_age",".0032967",".0023269","1.4168",".1573237",".0030334",".002331","1.301353",".1938903"
"pop_1000",".2093154",".1963491","1.066037",".2870532",".2136053",".1955117","1.092545",".2752545"
"aged",".0015106",".0712776",".0211926",".9831026","-.0066016",".07146","-.0923816",".9264413"
"kids",".0343304",".0201989","1.69962",".0899837",".0350165",".0204564","1.711768",".0877185"
"_Istate_4","51.98603","48.50101","1.071855",".2844349","52.37928","48.29871","1.084486",".2788058"
"_Istate_5","-13.71497","29.10236","-.4712667",".6377085","-11.71023","29.79228","-.3930626",".6944837"
"_Istate_6","272.3669","166.9698","1.631234",".1036319","275.0639","166.1747","1.65527",".098658"
"_Istate_8","83.76884","33.91278","2.470126",".013925","88.19623","32.82751","2.686656",".0075195"
"_Istate_9","39.64301","24.06593","1.647267",".1002924","35.82888","24.71461","1.449705",".1479284"
"_Istate_10","-21.9252","31.72305","-.6911443",".4898778","-28.74765","32.66335","-.8801197",".3793256"
"_Istate_11","0",".",".",".","0",".",".","."
"_Istate_12","145.5225","112.5796","1.292619",".1968929","147.1937","112.111","1.312928",".1899638"
"_Istate_13","64.18596","52.45997","1.223523",".2218562","58.90785","52.00363","1.132764",".2579953"
"_Istate_16","-15.16318","25.81966","-.5872725",".5573537","-20.88986","26.26877","-.7952356",".4269504"
"_Istate_17","60.7324","30.14506","2.014672",".0446112","60.05337","30.19349","1.988951",".0473909"
"_Istate_18","7.029449","26.6944",".2633304",".7924322","5.257321","26.77669",".1963394",".8444447"
"_Istate_19","11.48802","24.38362",".4711367",".6378012","9.589943","24.46357",".3920091",".6952613"
"_Istate_20","10.46019","25.10534",".416652",".6771576","10.78725","25.32485",".4259553",".6703707"
"_Istate_21","19.80188","29.51775",".6708464",".5027075","16.54906","29.07836",".5691196",".569596"
"_Istate_22","-7.005444","28.53835","-.2454748",".8062154","-12.85884","29.05961","-.4424988",".6583687"
"_Istate_23","13.06417","21.663",".6030637",".5468098","11.49249","21.93449",".5239459",".6006078"
"_Istate_24","12.34775","40.4868",".3049822",".7605391","12.53121","40.3887",".3102652",".7565217"
"_Istate_25","21.50898","25.48734",".8439085",".3992275","20.61243","25.07291",".8220994",".4115126"
"_Istate_26","-1.400278","26.40908","-.0530226",".9577405","-2.786227","26.63924","-.1045911",".916753"
